date,total,Meru County,Migori County,Nairobi County,Nakuru County,Uasin Gishu County,Vihiga County
2020-02-29,5.115125013734334,-2.999692991980352,2.378342276583319,5.451957124160698,5.381079363505302,5.7500736,NA
2020-03-01,6.0395743538604245,-5.672909163066187,2.867761667402637,6.635756206015171,6.124203988727844,2.05344,NA
2020-03-02,5.567669585995012,-6.411226010318465,2.9328548532140175,4.907714551101999,6.778699071492651,0.6968448,NA
2020-03-03,6.623606921269928,2.2606273446801506,2.052876347526416,5.850369375541672,8.893146727270029,5.0678016,NA
2020-03-04,5.9209931557814235,1.05431046747587,2.612270913092968,5.699773357077094,7.643567573717576,2.6831615999999996,NA
2020-03-05,7.121325283274987,NA,2.1842832163831405,6.761570601188111,7.776998862912187,4.1475072,NA
2020-03-06,8.527359489068859,-3.8046530434977957,1.8767179134243672,7.912962944891977,8.36331737455566,8.7123264,NA
2020-03-07,5.138518583423388,6.000134784008627,3.6757308362863985,5.227969375178572,3.3240948176730485,10.7335296,NA
2020-03-08,7.351227606081213,5.672909163066187,3.504861223531525,6.209702913270445,6.922843821863472,2.874816,NA
2020-03-09,7.424635014415834,5.342688341932055,0.29332616856253385,6.459425424901582,7.813035050504892,2.090976,NA
2020-03-10,7.161659024118185,10.173946251132561,NA,6.3622052104497655,8.542524361503167,8.1863808,NA
2020-03-11,7.592423376323537,2.107872134903817,-1.3063388727521446,6.743460953398066,7.643567573717576,5.7500736,NA
2020-03-12,7.372201151319676,1.05431046747587,-1.456460032529641,7.01510567024873,7.776998862912187,6.786950399999999,NA
2020-03-13,9.221099831571859,5.707353965270655,0.31285412430594806,8.249421138043854,8.969114906519515,5.2272191999999995,NA
2020-03-14,4.686780685979573,4.000089856005752,1.2973885597030796,4.103264933481085,3.7984089624743302,3.4497792,NA
2020-03-15,6.662327312479397,4.254681872299641,1.5931557227335402,6.351720677518687,8.521097439150749,-1.642752,NA
2020-03-16,-0.5106251590748829,7.479763678704877,-2.3462025160889497,-2.68880612714289,3.216960205910952,-1.0452672,NA
2020-03-17,-9.408248389084298,4.522003489408224,-6.305495543066176,-11.26420092540754,-3.7448416565932825,7.796448000000001,NA
2020-03-18,-12.733361984197517,-6.324365204759374,-7.4015020591652965,-14.259917925623812,-9.14929584448304,6.1333823999999995,NA
2020-03-19,-15.392162180581108,-6.324365204759374,-9.611415717461668,-16.659922827483364,-9.518423279554264,4.1475072,NA
2020-03-20,-14.062762082389312,-0.9509760608624681,-8.600844007739983,-15.767784388984339,-9.939170118474498,NA,NA
2020-03-21,-8.019154354444568,6.999782847986104,-4.756684553166638,-8.78794487495833,-5.381079363505302,-1.1499264,NA
2020-03-22,-8.278096970657899,2.8364545815330935,-6.372622890934161,-6.99032404695709,-5.591452782965418,-9.8569536,NA
2020-03-23,-24.54469465271953,-2.137075336772822,-10.851034074757148,-27.182581332856458,-18.153472987579242,-10.8028608,NA
2020-03-24,-30.2632124294681,-4.522003489408224,-12.464124585645424,-33.03009129032602,-21.648009233055628,-12.0848256,NA
2020-03-25,-33.8730822349343,-6.324365204759374,-13.642311248831412,-37.03613600935529,-26.405759946308727,-12.6500736,NA
2020-03-26,-36.36812744349451,-5.2700547372835045,-14.999911005410018,-39.77164596500934,-29.83211962066378,-13.573900799999999,NA
2020-03-27,-36.75613803040607,-17.122061895811964,-13.917736791295816,-40.05282207543372,-30.06002415841224,-19.1667648,NA
2020-03-28,-25.379603088173724,-12.000269568017254,-8.648443399864556,-28.854387765684756,-22.632673710250895,-18.0168384,NA
2020-03-29,-21.986728808443935,-18.436205979917187,-10.514990503005896,-24.5547761245853,-18.10672333881033,-20.9464128,NA
2020-03-30,-38.20815270076119,-12.82170322058901,-15.39697943885944,-42.05727414398441,-32.17057601012554,-19.8636096,NA
2020-03-31,-38.667150671556776,-5.651942761724338,-15.250519770783832,-42.60532927447259,-29.838937277775912,-17.9320512,NA
2020-04-01,-38.85429922906921,-8.43223733966319,-15.238721630855522,-43.00755408328305,-30.575244245886324,-16.8664704,NA
2020-04-02,-38.70103101386506,-14.756602544422567,-15.873787024927804,-42.75401901422243,-30.993069231758497,-18.098534400000002,NA
2020-04-03,-35.45093817672019,-16.171085834949498,-13.448659021042555,-40.36640492400869,-27.272576350565693,-18.121056,NA
2020-04-04,-22.857130935840143,-14.00031449602013,-7.567489682984316,-27.05581379832615,-19.783866988395147,-18.4001472,NA
2020-04-05,-19.854687267472503,-12.763296816851,-9.240384558336798,-23.10028546523753,-16.775332299912275,-21.357100799999998,NA
2020-04-06,-37.82417548793395,-12.82170322058901,-14.224081597020627,-42.50524964194866,-30.677509102568326,-21.2577408,NA
2020-04-07,-39.82230900930596,-6.7826308340883745,-14.077215096533697,-44.587859137803754,-30.073659472636507,-19.4913408,NA
2020-04-08,-39.28506358127457,-12.648730409518748,-14.368100270628306,-43.910177054713145,-30.343443904073787,-19.9333824,NA
2020-04-09,-39.05516125846834,-14.756602544422567,-14.708618998904091,-43.50604596718795,-31.34174369549332,-20.737536,NA
2020-04-10,-56.694719478832425,-26.634068904580417,-17.983619910039177,-63.85080555026663,-43.99921109967701,-25.439251199999998,NA
2020-04-11,-28.999959666259155,-19.000052416003356,-7.999952536218677,-35.000230342011356,-21.999605549838506,-22.9998528,NA
