date,RW
2020-02-15,-2
2020-02-16,-1
2020-02-17,0
2020-02-18,0
2020-02-19,1
2020-02-20,1
2020-02-21,0
2020-02-22,-2
2020-02-23,-1
2020-02-24,1
2020-02-25,0
2020-02-26,-2
2020-02-27,-1
2020-02-28,1
2020-02-29,1
2020-03-01,-1
2020-03-02,1
2020-03-03,1
2020-03-04,-1
2020-03-05,0
2020-03-06,-1
2020-03-07,-3
2020-03-08,-1
2020-03-09,1
2020-03-10,0
2020-03-11,-2
2020-03-12,1
2020-03-13,0
2020-03-14,-1
2020-03-15,6
2020-03-16,7
2020-03-17,9
2020-03-18,8
2020-03-19,10
2020-03-20,10
2020-03-21,8
2020-03-22,16
2020-03-23,26
2020-03-24,29
2020-03-25,28
2020-03-26,29
2020-03-27,34
2020-03-28,22
2020-03-29,22
2020-03-30,29
2020-03-31,29
2020-04-01,27
2020-04-02,29
2020-04-03,32
2020-04-04,22
2020-04-05,21
2020-04-06,30
2020-04-07,36
2020-04-08,28
2020-04-09,32
2020-04-10,38
2020-04-11,25
