date,SV
2020-02-15,0
2020-02-16,1
2020-02-17,-3
2020-02-18,0
2020-02-19,-1
2020-02-20,-4
2020-02-21,-4
2020-02-22,-3
2020-02-23,0
2020-02-24,-3
2020-02-25,-3
2020-02-26,3
2020-02-27,-2
2020-02-28,-3
2020-02-29,-2
2020-03-01,2
2020-03-02,-1
2020-03-03,-3
2020-03-04,0
2020-03-05,-3
2020-03-06,-2
2020-03-07,-3
2020-03-08,-3
2020-03-09,-4
2020-03-10,-4
2020-03-11,1
2020-03-12,-9
2020-03-13,-11
2020-03-14,-15
2020-03-15,-22
2020-03-16,-17
2020-03-17,-23
2020-03-18,-25
2020-03-19,-35
2020-03-20,-44
2020-03-21,-50
2020-03-22,-74
2020-03-23,-66
2020-03-24,-69
2020-03-25,-67
2020-03-26,-68
2020-03-27,-67
2020-03-28,-70
2020-03-29,-72
2020-03-30,-60
2020-03-31,-61
2020-04-01,-60
2020-04-02,-62
2020-04-03,-64
2020-04-04,-68
2020-04-05,-70
2020-04-06,-62
2020-04-07,-66
2020-04-08,-66
2020-04-09,-70
2020-04-10,-77
2020-04-11,-76
