date,OM
2020-02-15,0
2020-02-16,-1
2020-02-17,-1
2020-02-18,-2
2020-02-19,-3
2020-02-20,-1
2020-02-21,-2
2020-02-22,0
2020-02-23,-1
2020-02-24,0
2020-02-25,1
2020-02-26,0
2020-02-27,0
2020-02-28,2
2020-02-29,1
2020-03-01,0
2020-03-02,-1
2020-03-03,-2
2020-03-04,-6
2020-03-05,-5
2020-03-06,-9
2020-03-07,-6
2020-03-08,-8
2020-03-09,-9
2020-03-10,-8
2020-03-11,-12
2020-03-12,-11
2020-03-13,-15
2020-03-14,-15
2020-03-15,-16
2020-03-16,-16
2020-03-17,-23
2020-03-18,-33
2020-03-19,-40
2020-03-20,-52
2020-03-21,-48
2020-03-22,-60
2020-03-23,-54
2020-03-24,-57
2020-03-25,-61
2020-03-26,-63
2020-03-27,-69
2020-03-28,-63
2020-03-29,-64
2020-03-30,-65
2020-03-31,-64
2020-04-01,-70
2020-04-02,-72
2020-04-03,-77
2020-04-04,-73
2020-04-05,-69
2020-04-06,-69
2020-04-07,-69
2020-04-08,-70
2020-04-09,-68
2020-04-10,-75
2020-04-11,-71
