date,BR,Federal District,State of Acre,State of Alagoas,State of Amapá,State of Amazonas,State of Bahia,State of Ceará,State of Espírito Santo,State of Goiás,State of Maranhão,State of Mato Grosso,State of Mato Grosso do Sul,State of Minas Gerais,State of Pará,State of Paraíba,State of Paraná,State of Pernambuco,State of Piauí,State of Rio de Janeiro,State of Rio Grande do Norte,State of Rio Grande do Sul,State of Rondônia,State of Roraima,State of Santa Catarina,State of São Paulo,State of Sergipe,State of Tocantins
2020-02-15,-5,-8,-2,1,-10,-2,-17,-23,-21,-7,-8,-12,1,11,-5,-20,-4,3,6,4,-14,-8,3,-2,-15,6,-22,9
2020-02-16,-13,-10,0,-21,2,-10,-11,-29,-28,-7,-8,-6,-5,2,-8,-26,-12,-12,2,-14,-24,-15,-3,-11,-23,9,-1,3
2020-02-17,-12,-1,0,-20,11,0,-22,-27,-19,-6,-6,-5,0,1,-8,-13,-19,-4,-10,-13,-27,-14,6,-6,-30,-13,-19,-2
2020-02-18,-11,2,-2,-18,5,7,-18,-28,-8,-1,1,-5,5,2,-10,-16,-13,0,-11,-4,-22,-20,-3,0,-32,-13,-16,-14
2020-02-19,-5,-3,0,-10,-1,-5,-12,-27,-10,-7,-8,-6,-6,5,-8,-14,-7,6,-9,-6,-31,1,-10,-2,-8,-11,-12,-7
2020-02-20,2,15,0,-23,-11,0,3,-22,-6,2,-2,-1,-20,12,-16,-22,4,6,1,11,-24,-4,5,-1,-5,4,-3,-7
2020-02-21,1,-1,0,-23,8,-2,-2,-16,-5,2,-14,-7,1,19,-6,-20,-10,32,-11,5,9,-8,-11,1,-28,-6,-11,-6
2020-02-22,12,-13,16,-4,3,-11,15,-18,19,19,-4,-16,19,70,17,-11,11,48,3,11,15,4,10,55,9,2,-1,49
2020-02-23,32,-18,33,18,15,1,35,13,34,54,47,-9,23,91,33,0,40,47,19,53,41,19,3,89,16,43,39,61
2020-02-24,69,-16,47,50,0,25,58,55,144,45,71,12,36,71,53,61,57,118,22,96,111,68,12,97,68,43,93,137
2020-02-25,51,14,71,44,4,30,56,39,147,41,68,12,18,61,48,76,10,104,29,112,104,18,19,144,-3,22,83,78
2020-02-26,-8,-14,1,-10,-3,-10,6,-18,31,-15,12,-11,-22,-14,-9,-5,-20,19,-3,7,4,-10,-5,45,-31,-33,-5,30
2020-02-27,-11,16,-13,-15,-4,-12,-7,-26,-17,-8,-8,-1,-7,-9,-11,-17,3,-8,-8,-27,-23,-5,-11,-10,-8,-13,-8,-4
2020-02-28,-17,-14,-18,-30,-1,-12,-21,-30,-42,-16,-16,-9,1,-16,-21,-26,-11,-16,-20,-26,-25,-8,-11,-14,-28,-20,-23,-17
2020-02-29,-23,-25,-12,-30,-8,-13,-29,-39,-36,-23,-24,-16,-1,-16,-12,-26,-14,-21,-19,-29,-32,-10,-6,-9,-24,-21,-29,-9
2020-03-01,-34,-26,-16,-32,-6,-12,-28,-42,-51,-15,-16,-12,-6,-26,-6,-42,-25,-34,-19,-65,-44,-14,-9,-14,-36,-26,-22,2
2020-03-02,-25,-15,5,-26,-7,-5,-24,-30,-39,-12,-4,-6,1,-12,-9,-30,-31,-12,-18,-46,-29,-13,0,-8,-52,-27,-15,-16
2020-03-03,-21,0,-4,-22,-5,6,-19,-27,-22,-4,-9,-6,6,-11,-14,-21,-18,-11,-15,-29,-24,-13,-11,-5,-50,-25,-12,-27
2020-03-04,-11,1,5,-18,0,-6,-13,-28,-31,-6,-10,-4,7,-5,-5,-21,-3,-8,-14,-27,-28,-2,-7,-6,-19,-13,-6,-13
2020-03-05,-5,14,-1,-13,0,-4,-14,-19,-33,-5,-5,4,1,-1,-2,-14,1,0,-5,-11,-18,-3,-1,-3,-21,2,-1,-5
2020-03-06,-7,-15,-10,-21,1,-5,-30,-22,-31,-7,-9,0,14,-1,-12,-20,-9,-10,-16,-7,-19,-7,-1,-6,-36,2,-15,-15
2020-03-07,-14,-18,4,-22,-10,-4,-33,-38,-52,-6,-20,4,11,-2,-18,-26,-6,-16,-19,-11,-27,-8,-4,-4,-27,0,-16,7
2020-03-08,-17,3,-3,-21,11,-3,-35,-26,-50,0,-13,0,3,0,-14,-22,-8,-22,-9,-10,-24,-14,1,-7,-27,0,0,5
2020-03-09,-12,-3,2,-16,-4,5,-27,-24,-23,-1,-15,-2,8,3,-14,-23,-17,-4,-16,-12,-25,-7,1,-8,-30,-11,-15,-6
2020-03-10,-11,6,1,-16,-4,6,-24,-23,-20,3,-2,1,11,1,-7,-16,-8,-7,-10,-7,-19,-14,-4,-5,-37,-14,-9,-25
2020-03-11,-6,1,2,-15,-2,2,-16,-20,-20,-4,-10,-4,9,1,-11,-17,3,-6,-10,-12,-23,-3,-8,-1,-14,-6,-8,0
2020-03-12,-5,9,5,-14,2,1,-20,-28,-28,0,-7,0,1,2,-17,-25,5,-8,-4,-4,-33,-8,-3,-3,-20,5,1,-1
2020-03-13,-8,-1,-19,-27,0,0,-25,-33,-31,-7,-17,-5,7,3,-15,-30,-10,-15,-26,-5,-31,-12,-5,-7,-35,-2,-17,-10
2020-03-14,-15,-6,-5,-27,-14,-30,-31,-41,-34,-8,-27,-5,4,5,-21,-30,-2,-22,-16,-13,-29,-13,-6,-4,-26,-3,-23,-7
2020-03-15,-21,-9,-11,-37,-30,-10,-34,-38,-35,-1,-22,-6,-1,4,-32,-40,-7,-42,-17,-17,-36,-32,4,-17,-29,4,-20,-10
2020-03-16,-23,10,-9,-31,-3,-4,-30,-32,-25,-6,-12,-11,-6,-5,-8,-32,-29,-24,-25,-25,-33,-31,-1,-17,-53,-21,-29,-4
2020-03-17,-28,4,-11,-26,-10,-8,-29,-32,-27,-9,-11,-14,-8,-15,-11,-25,-24,-28,-20,-40,-26,-25,-5,-20,-57,-32,-23,-13
2020-03-18,-28,-6,-22,-36,-16,-20,-30,-33,-31,-16,-19,-16,-14,-19,-16,-30,-31,-30,-20,-43,-32,-32,-18,-19,-54,-28,-26,-11
2020-03-19,-34,-25,-26,-25,-35,-34,-38,-45,-39,-22,-25,-19,-33,-25,-26,-32,-30,-34,-24,-45,-33,-35,-10,-25,-63,-28,-27,-19
2020-03-20,-45,-44,-48,-42,-46,-27,-51,-54,-52,-38,-40,-38,-30,-34,-34,-47,-45,-44,-44,-55,-42,-49,-28,-35,-81,-42,-45,-36
2020-03-21,-66,-66,-55,-61,-60,-43,-64,-72,-75,-49,-51,-46,-51,-49,-48,-65,-63,-60,-52,-76,-62,-69,-42,-48,-87,-64,-61,-44
2020-03-22,-75,-77,-65,-73,-60,-60,-72,-76,-83,-56,-56,-56,-59,-59,-59,-76,-74,-73,-56,-81,-75,-81,-53,-63,-91,-70,-70,-50
2020-03-23,-61,-59,-48,-64,-53,-55,-66,-66,-66,-42,-43,-53,-52,-48,-42,-66,-61,-60,-51,-66,-67,-63,-36,-48,-86,-60,-58,-33
2020-03-24,-62,-62,-48,-64,-50,-44,-65,-66,-64,-42,-49,-53,-50,-50,-46,-60,-60,-60,-51,-68,-65,-65,-43,-54,-85,-65,-59,-46
2020-03-25,-57,-62,-48,-62,-44,-52,-61,-66,-61,-45,-53,-47,-49,-47,-43,-60,-53,-59,-49,-66,-66,-58,-37,-45,-75,-59,-53,-35
2020-03-26,-54,-56,-48,-57,-51,-50,-60,-60,-60,-36,-46,-44,-51,-44,-43,-56,-49,-56,-40,-62,-60,-58,-36,-39,-74,-51,-58,-34
2020-03-27,-56,-54,-51,-66,-49,-51,-65,-63,-62,-42,-51,-44,-45,-44,-47,-61,-56,-60,-51,-61,-61,-60,-33,-43,-79,-55,-57,-39
2020-03-28,-64,-66,-54,-67,-55,-56,-67,-70,-68,-51,-51,-43,-54,-44,-49,-67,-59,-64,-50,-67,-66,-67,-32,-48,-81,-63,-67,-37
2020-03-29,-70,-63,-56,-79,-51,-62,-71,-71,-69,-44,-48,-44,-56,-46,-53,-73,-70,-72,-49,-74,-74,-73,-42,-51,-84,-71,-77,-35
2020-03-30,-55,-46,-43,-60,-49,-52,-61,-62,-54,-31,-40,-40,-44,-41,-41,-62,-56,-58,-46,-64,-63,-54,-35,-38,-76,-57,-51,-19
