date,MK
2020-02-15,7
2020-02-16,9
2020-02-17,8
2020-02-18,8
2020-02-19,6
2020-02-20,0
2020-02-21,6
2020-02-22,2
2020-02-23,5
2020-02-24,5
2020-02-25,7
2020-02-26,9
2020-02-27,3
2020-02-28,-2
2020-02-29,9
2020-03-01,12
2020-03-02,10
2020-03-03,8
2020-03-04,4
2020-03-05,12
2020-03-06,8
2020-03-07,6
2020-03-08,21
2020-03-09,3
2020-03-10,14
2020-03-11,10
2020-03-12,12
2020-03-13,8
2020-03-14,7
2020-03-15,2
2020-03-16,2
2020-03-17,-7
2020-03-18,-2
2020-03-19,-18
2020-03-20,-23
2020-03-21,-24
2020-03-22,-29
2020-03-23,-31
2020-03-24,-31
2020-03-25,-28
2020-03-26,-32
2020-03-27,-30
2020-03-28,-43
2020-03-29,-41
2020-03-30,-22
2020-03-31,-25
2020-04-01,-32
2020-04-02,-22
2020-04-03,-19
2020-04-04,-43
2020-04-05,-41
2020-04-06,-7
2020-04-07,-1
2020-04-08,-30
2020-04-09,-26
2020-04-10,-9
2020-04-11,-95
