date,VN
2020-02-15,-4
2020-02-16,-7
2020-02-17,5
2020-02-18,7
2020-02-19,7
2020-02-20,5
2020-02-21,-5
2020-02-22,-3
2020-02-23,-5
2020-02-24,6
2020-02-25,9
2020-02-26,8
2020-02-27,7
2020-02-28,-3
2020-02-29,-2
2020-03-01,-3
2020-03-02,12
2020-03-03,14
2020-03-04,11
2020-03-05,11
2020-03-06,3
2020-03-07,4
2020-03-08,-2
2020-03-09,10
2020-03-10,13
2020-03-11,11
2020-03-12,8
2020-03-13,-2
2020-03-14,0
2020-03-15,-5
2020-03-16,8
2020-03-17,8
2020-03-18,7
2020-03-19,5
2020-03-20,-4
2020-03-21,-3
2020-03-22,-7
2020-03-23,4
2020-03-24,6
2020-03-25,3
2020-03-26,-1
2020-03-27,-12
2020-03-28,-15
2020-03-29,-20
2020-03-30,-11
2020-03-31,-11
2020-04-01,-23
2020-04-02,-58
2020-04-03,-36
2020-04-04,-33
2020-04-05,-32
2020-04-06,-25
2020-04-07,-23
2020-04-08,-23
2020-04-09,-24
2020-04-10,-30
2020-04-11,-29
