date,EE,Harju County,Hiiu County,Ida-Viru County,Järva County,Jõgeva County,Lääne County,Lääne-Viru County,Pärnu County,Põlva County,Rapla County,Saare County,Tartu County,Valga County,Viljandi County,Võru County
2020-02-15,-8,-15,NA,0,0,0,0,0,-13,0,0,0,-14,0,0,0
2020-02-16,-17,-21,NA,0,0,0,0,0,-14,0,0,0,-13,0,0,0
2020-02-17,-3,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,3,4,NA,0,0,0,0,0,0,0,0,0,-21,0,0,0
2020-02-19,15,16,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,22,28,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,-5,-10,NA,0,0,0,0,0,0,0,0,0,-6,0,0,0
2020-02-22,-30,-39,NA,-23,0,0,0,0,0,0,0,0,-42,0,0,0
2020-02-23,33,37,NA,0,0,0,0,0,0,0,0,0,-11,0,0,0
2020-02-24,155,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,27,25,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,8,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,12,15,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,12,12,NA,0,0,0,0,0,0,0,0,0,6,0,0,0
2020-02-29,15,12,NA,0,0,0,0,0,2,0,0,0,13,0,0,0
2020-03-01,-4,-7,NA,0,0,0,0,0,0,0,0,0,4,0,0,0
2020-03-02,13,12,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,-3,-13,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,-7,-10,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,3,5,NA,0,0,0,0,0,0,0,0,0,-7,0,0,0
2020-03-06,22,23,NA,0,0,0,0,0,0,0,0,0,6,0,0,0
2020-03-07,18,23,NA,0,0,0,0,0,8,0,0,0,-10,0,0,0
2020-03-08,91,103,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0
2020-03-09,17,12,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,-1,-8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,-10,-12,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,-5,-3,NA,0,0,0,0,0,0,0,0,0,-7,0,0,0
2020-03-13,-11,-13,NA,0,0,0,0,0,-12,0,0,0,-19,0,0,0
2020-03-14,-4,-5,NA,0,0,0,0,0,-28,0,0,0,-20,0,0,0
2020-03-15,51,46,NA,0,0,0,0,0,0,0,0,0,43,0,0,0
2020-03-16,-21,-25,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,20,12,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,-27,-34,NA,0,0,0,0,0,0,0,0,0,-20,0,0,0
2020-03-19,52,49,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,19,15,NA,0,0,0,0,0,0,0,0,0,6,0,0,0
2020-03-21,13,3,NA,0,0,0,0,0,-5,0,0,0,13,0,0,0
2020-03-22,75,74,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,27,17,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,12,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,13,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,23,16,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,8,-10,NA,0,0,0,0,0,0,0,0,0,26,0,0,0
2020-03-28,28,18,NA,0,0,0,0,0,7,0,0,0,18,0,0,0
2020-03-29,4,2,NA,0,0,0,0,0,-17,0,0,0,-13,0,0,0
2020-03-30,-9,-23,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,-11,-29,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,4,-3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,-15,-18,NA,0,0,0,0,0,0,0,0,0,-21,0,0,0
2020-04-03,-40,-43,NA,-39,0,0,0,0,-60,0,0,0,-40,0,0,0
2020-04-04,7,6,NA,0,0,0,0,0,-21,0,0,0,-13,0,0,0
2020-04-05,49,42,NA,0,0,0,0,0,0,0,0,0,39,0,0,0
2020-04-06,38,36,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,51,32,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,61,51,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,13,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,42,25,NA,0,0,0,0,0,0,0,0,0,42,0,0,0
2020-04-11,11,1,NA,0,NA,NA,NA,0,-10,NA,NA,NA,6,NA,0,NA
