date,EG,Al Qalyubia Governorate,Alexandria Governorate,Ash Sharqia Governorate,Assiut Governorate,Aswan Governorate,Beni Suef Governorate,Cairo Governorate,Dakahlia Governorate,Damietta Governorate,El Beheira Governorate,Faiyum Governorate,Gharbia Governorate,Giza Governorate,Ismailia Governorate,Kafr El Sheikh Governorate,Luxor Governorate,Matrouh Governorate,Menia Governorate,Menofia Governorate,New Valley Governorate,North Sinai Governorate,Port Said Governorate,Qena Governorate,Red Sea Governorate,Sohag Governorate,South Sinai Governorate,Suez Governorate
2020-02-15,8,15,14,10,8,14,12,7,11,0,20,0,5,14,22,5,-22,0,25,3,0,0,-10,8,-1,-3,-5,0
2020-02-16,7,14,1,10,10,4,28,8,9,0,6,0,3,10,15,7,-29,0,14,1,0,0,-13,3,1,-5,2,0
2020-02-17,4,12,5,11,4,7,22,4,6,0,7,0,1,6,14,8,-14,0,14,-2,0,0,-17,-1,2,-4,-9,0
2020-02-18,5,13,0,8,5,3,20,5,12,0,1,0,0,10,12,10,-6,0,14,1,0,0,-19,10,2,-9,-11,0
2020-02-19,2,5,0,6,4,4,13,2,7,0,2,0,-4,10,6,0,-13,0,2,-4,0,0,-32,3,4,-12,-2,0
2020-02-20,0,7,0,1,7,-1,14,0,0,0,-5,0,-4,2,2,-5,-19,0,3,-7,0,0,-20,-3,7,-14,-6,0
2020-02-21,8,12,7,15,4,7,12,5,3,0,24,0,3,9,10,0,-20,0,2,2,0,0,-10,11,7,-5,-10,0
2020-02-22,5,16,11,6,14,3,11,4,8,0,19,0,0,10,10,-2,-27,0,20,2,0,0,-15,11,0,-3,-1,0
2020-02-23,4,15,1,8,7,-3,31,3,-1,0,0,0,-5,8,8,-3,-28,0,13,0,0,0,-13,6,3,-6,1,0
2020-02-24,2,7,3,5,-2,-3,3,5,-8,0,1,0,-15,4,5,-2,-24,0,9,-13,0,0,-23,-1,4,-4,-10,0
2020-02-25,-9,-19,-4,-13,2,-2,-13,-9,-5,0,-2,0,-15,-14,-2,-12,-12,0,6,-13,0,0,-21,5,5,-6,-1,0
2020-02-26,6,12,7,18,9,-3,21,4,11,0,9,0,5,8,17,8,-22,0,10,3,0,0,-10,7,8,-5,13,0
2020-02-27,6,17,1,16,15,0,16,7,12,0,-2,0,4,2,10,-6,-19,0,6,8,0,0,-15,-2,5,-5,4,0
2020-02-28,11,14,11,26,13,13,20,8,14,0,22,0,9,10,13,0,-29,0,6,18,0,0,0,2,1,-7,-5,0
2020-02-29,8,19,9,12,17,2,8,7,8,0,11,0,7,8,22,0,-32,0,20,11,0,0,-4,0,4,0,0,0
2020-03-01,8,22,4,18,15,-4,26,8,8,0,2,0,4,9,24,4,-30,0,12,9,0,0,-12,0,9,-3,10,0
2020-03-02,6,19,13,16,10,-5,21,6,7,0,4,0,5,7,11,7,-38,0,11,11,0,0,-12,-6,7,-1,-7,0
2020-03-03,8,27,12,17,12,-7,30,8,20,0,5,0,3,10,11,14,-14,0,15,13,0,0,-11,3,3,2,-4,0
2020-03-04,8,24,9,20,13,-2,24,6,22,0,11,0,4,8,22,12,-22,0,5,10,0,0,-11,4,12,-1,7,0
2020-03-05,5,21,3,16,17,-6,21,5,22,0,2,0,4,3,3,2,-31,0,15,3,0,0,-12,-5,7,-6,1,0
2020-03-06,10,19,12,25,14,3,24,7,12,0,25,0,3,7,12,0,-44,0,8,14,0,0,-3,4,1,-7,-16,0
2020-03-07,6,22,11,12,15,-5,13,4,20,0,15,0,2,4,22,14,-47,0,15,8,0,0,-7,-1,1,-4,-3,0
2020-03-08,5,25,-1,15,8,-12,30,3,12,0,6,0,4,7,11,0,-51,0,15,10,0,0,-11,5,3,-5,2,0
2020-03-09,2,23,1,16,7,-8,30,1,16,0,10,0,-2,3,8,-2,-48,0,11,2,0,0,-13,0,10,-9,-11,0
2020-03-10,5,22,3,19,10,-14,27,5,22,0,2,0,1,8,8,5,-55,0,9,15,0,0,-13,10,-1,-8,-8,0
2020-03-11,10,34,7,30,20,-5,50,6,32,0,13,0,16,9,38,12,-37,0,12,20,0,0,-7,4,8,-5,2,0
2020-03-12,-66,-68,-57,-70,-54,-45,-63,-71,-64,0,-60,0,-71,-75,-58,-68,-70,0,-63,-75,0,0,-70,-49,-14,-59,-22,0
2020-03-13,-48,-48,-32,-53,-41,-13,-56,-55,-37,0,-43,0,-54,-57,-52,0,-69,0,-56,-52,0,0,-70,-20,-14,-39,-30,0
2020-03-14,-22,-12,-11,-31,-6,-12,-45,-24,-11,0,-11,0,-28,-31,-20,-9,-47,0,-19,-33,0,0,-39,0,-6,-6,-29,0
2020-03-15,-8,2,-16,-3,10,-12,7,-9,-4,0,2,0,-10,-14,7,-6,-32,0,5,-5,0,0,-22,6,-3,-10,-38,0
2020-03-16,-11,-2,-13,-2,-4,-18,11,-11,-4,0,-2,0,-17,-19,-8,-15,-55,0,5,-8,0,0,-31,-5,1,-9,-27,0
2020-03-17,-17,-8,-24,-11,-14,-24,-4,-16,-13,0,-12,0,-27,-23,-18,-22,-44,0,-8,-15,0,0,-39,-12,5,-18,-17,0
2020-03-18,-21,-12,-28,-11,-16,-25,-3,-23,-20,0,-13,0,-26,-27,-14,-23,-53,0,-12,-18,0,0,-39,-15,18,-24,-13,0
2020-03-19,-31,-18,-39,-17,-19,-37,-11,-34,-23,0,-25,0,-31,-34,-18,-32,-48,0,-22,-22,0,0,-51,-15,-28,-33,-37,0
2020-03-20,-36,-26,-44,-17,-25,-39,-1,-43,-28,0,-18,0,-33,-30,-18,0,-64,0,-23,-30,0,0,-58,-22,-32,-31,-60,0
2020-03-21,-39,-25,-43,-27,-23,-43,-22,-44,-33,0,-22,0,-38,-35,-19,-29,-78,0,-23,-30,0,0,-49,-32,-54,-32,-68,0
2020-03-22,-44,-35,-48,-30,-30,-44,-15,-48,-38,0,-26,0,-43,-42,-23,-38,-75,0,-30,-32,0,0,-54,-30,-55,-36,-69,0
2020-03-23,-48,-38,-47,-29,-37,-47,-24,-53,-42,0,-28,0,-46,-50,-26,-42,-81,0,-32,-41,0,0,-58,-36,-62,-36,-82,0
2020-03-24,-47,-42,-48,-30,-34,-44,-23,-52,-38,0,-28,0,-45,-48,-21,-36,-69,0,-27,-33,0,0,-54,-30,-67,-34,-78,0
2020-03-25,-56,-50,-56,-41,-51,-54,-33,-60,-47,0,-41,0,-54,-55,-31,-47,-78,0,-45,-49,0,0,-64,-42,-74,-48,-83,0
2020-03-26,-57,-50,-59,-41,-45,-54,-37,-61,-45,0,-49,0,-55,-57,-35,-42,-81,0,-42,-49,0,0,-60,-41,-78,-46,-83,0
2020-03-27,-76,-71,-73,-65,-68,-77,-65,-80,-67,0,-64,0,-77,-75,-61,0,-91,0,-70,-71,0,0,-78,-67,-84,-72,-87,0
2020-03-28,-74,-69,-71,-66,-67,-74,-66,-77,-71,0,-64,0,-75,-72,-57,-74,-89,0,-65,-68,0,0,-75,-68,-88,-69,-89,0
2020-03-29,-52,-41,-52,-37,-42,-48,-27,-57,-42,0,-37,0,-50,-54,-30,-39,-80,0,-35,-41,0,0,-65,-39,-77,-41,-86,0
2020-03-30,-56,-47,-54,-41,-46,-58,-34,-60,-45,0,-38,0,-52,-58,-35,-43,-83,0,-41,-51,0,0,-71,-44,-77,-48,-85,0
2020-03-31,-56,-45,-54,-42,-46,-57,-37,-60,-43,0,-40,0,-53,-56,-44,-45,-81,0,-39,-43,0,0,-71,-40,-76,-48,-84,0
2020-04-01,-54,-44,-52,-36,-49,-54,-37,-59,-43,0,-40,0,-52,-55,-40,-47,-78,0,-41,-41,0,0,-68,-45,-76,-48,-81,0
2020-04-02,-54,-40,-55,-37,-43,-55,-38,-58,-42,0,-43,0,-50,-53,-42,-46,-78,0,-38,-45,0,0,-70,-40,-79,-46,-84,0
2020-04-03,-68,-57,-67,-51,-55,-74,-52,-73,-59,0,-51,0,-67,-64,-60,0,-88,0,-63,-60,0,0,-78,-60,-83,-69,-88,0
2020-04-04,-67,-55,-67,-57,-58,-71,-57,-72,-61,0,-51,0,-67,-65,-58,-64,-88,0,-55,-61,0,0,-70,-61,-88,-64,-87,0
2020-04-05,-51,-34,-50,-30,-40,-50,-25,-57,-35,0,-25,0,-45,-52,-34,-37,-86,0,-38,-41,0,0,-61,-39,-78,-43,-88,0
2020-04-06,-51,-35,-50,-34,-43,-58,-29,-56,-39,0,-29,0,-49,-52,-38,-37,-87,0,-35,-46,0,0,-64,-44,-76,-43,-87,0
2020-04-07,-50,-35,-53,-33,-41,-50,-32,-54,-38,0,-32,0,-50,-50,-35,-38,-86,0,-39,-40,0,0,-65,-40,-75,-44,-86,0
