date,SE,Blekinge County,Dalarna County,Gavleborg County,Gotland County,Halland County,Jamtland County,Jonkoping County,Kalmar County,Kronoberg County,Norrbotten County,Örebro County,Östergötland County,Skåne County,Södermanland County,Stockholm County,Uppsala County,Varmland County,Västerbotten County,Västernorrland County,Västmanland County,Västra Götaland County
2020-02-15,-2,-5,-2,-2,0,-1,0,-5,-2,-3,0,-1,-3,-2,-2,-1,-5,0,3,0,0,-4
2020-02-16,-5,-8,-4,-3,0,-5,-1,-7,-3,-7,-2,-3,-4,-5,-2,-3,-2,-2,-2,-5,-5,-8
2020-02-17,-6,-19,1,0,3,-12,1,0,-17,-18,1,-15,-16,-17,-17,1,-18,1,0,1,-1,-1
2020-02-18,-5,-17,2,1,0,-10,0,2,-16,-18,1,-15,-15,-17,-15,2,-16,1,-1,2,0,0
2020-02-19,-5,-17,1,2,1,-11,0,3,-17,-18,1,-16,-16,-17,-15,2,-17,2,0,-1,1,0
2020-02-20,-6,-20,1,1,0,-13,0,1,-18,-21,1,-18,-17,-19,-18,1,-19,1,1,0,1,-1
2020-02-21,-7,-22,-1,-1,2,-14,0,2,-21,-22,0,-20,-18,-21,-20,1,-21,1,-2,0,0,-1
2020-02-22,-3,-7,0,-3,-2,-4,6,-2,-4,-4,-2,-3,-7,-5,-5,-4,-5,0,2,-1,1,-1
2020-02-23,-1,-3,1,-1,4,0,2,0,0,-1,2,-3,-1,-1,1,0,-3,0,2,0,-1,1
2020-02-24,-4,2,-16,-7,-14,2,2,2,1,0,0,-3,2,1,2,-16,1,-16,0,2,-14,2
2020-02-25,-4,3,-16,-7,-16,2,2,2,2,0,1,1,4,3,1,-16,2,-15,1,2,-13,2
2020-02-26,-4,3,-17,-7,-17,3,3,2,1,1,0,2,2,2,1,-17,1,-16,0,1,-14,1
2020-02-27,-5,2,-18,-8,-19,2,1,0,1,1,0,1,4,2,0,-19,0,-19,2,1,-17,2
2020-02-28,-6,2,-21,-12,-19,1,1,1,1,1,-3,2,3,2,0,-21,-1,-22,-4,-2,-18,1
2020-02-29,0,0,1,0,5,0,7,0,3,0,-3,0,1,-1,3,-2,0,2,4,5,-1,2
2020-03-01,-2,-6,-7,-7,4,1,0,-3,1,-4,0,-3,0,1,-1,-4,-2,-5,-4,-3,-5,-1
2020-03-02,-2,0,0,-9,3,2,-19,0,1,-1,-18,1,1,0,2,0,1,0,-17,-21,1,0
2020-03-03,-2,1,1,-8,3,2,-20,0,2,0,-17,0,2,0,1,1,2,2,-17,-20,1,1
2020-03-04,-2,2,0,-11,2,0,-21,2,0,0,-18,1,1,1,-1,0,0,1,-17,-24,0,1
2020-03-05,-2,2,1,-9,3,2,-23,0,1,0,-19,1,3,2,-1,0,1,0,-21,-25,1,1
2020-03-06,-2,1,0,-12,3,2,-27,0,0,2,-23,2,3,1,0,0,0,1,-25,-27,1,1
2020-03-07,0,1,-2,-3,10,5,-4,-1,-1,3,-5,-1,1,2,-1,1,-2,3,-4,-5,2,2
2020-03-08,-1,1,-3,-4,8,0,-1,0,2,-4,-1,-1,0,1,0,-1,-2,-4,0,-6,-1,-2
2020-03-09,0,-5,0,1,2,1,-2,0,-1,-1,-1,0,1,1,-1,-1,0,-2,0,0,1,-1
2020-03-10,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,-1,2,0,1,1,1,1
2020-03-11,-1,0,-1,0,2,0,-1,-2,-1,0,-1,-3,-1,0,-4,-3,-1,0,0,-1,0,0
2020-03-12,-4,-3,0,-1,-2,-4,-1,-3,-3,-2,-2,-3,-2,-5,-3,-9,-5,-2,-1,-2,-2,-3
2020-03-13,-10,-6,-4,-5,-5,-7,-4,-7,-6,-5,-7,-5,-6,-10,-7,-18,-11,-6,-5,-6,-6,-8
2020-03-14,-6,-7,-4,-5,-7,-3,-6,-6,-7,-5,-8,-3,-7,-4,-8,-7,-7,-2,-6,-4,-5,-5
2020-03-15,-10,-12,-10,-9,-6,-7,-7,-11,-7,-12,-5,-8,-7,-9,-10,-12,-11,-11,-5,-7,-8,-10
2020-03-16,-17,-13,-12,-9,-9,-13,-9,-14,-15,-13,-9,-13,-19,-18,-13,-26,-18,-11,-11,-9,-12,-14
2020-03-17,-21,-16,-13,-14,-13,-16,-12,-17,-22,-17,-11,-17,-22,-21,-18,-34,-23,-14,-11,-10,-17,-18
2020-03-18,-27,-22,-19,-21,-16,-23,-18,-22,-18,-26,-16,-22,-27,-27,-25,-40,-30,-20,-17,-16,-24,-25
