date,BS
2020-02-15,13
2020-02-16,11
2020-02-17,15
2020-02-18,6
2020-02-19,8
2020-02-20,15
2020-02-21,3
2020-02-22,-7
2020-02-23,7
2020-02-24,8
2020-02-25,9
2020-02-26,8
2020-02-27,1
2020-02-28,8
2020-02-29,13
2020-03-01,6
2020-03-02,8
2020-03-03,6
2020-03-04,11
2020-03-05,9
2020-03-06,11
2020-03-07,3
2020-03-08,-4
2020-03-09,-4
2020-03-10,3
2020-03-11,8
2020-03-12,12
2020-03-13,13
2020-03-14,16
2020-03-15,4
2020-03-16,3
2020-03-17,-6
2020-03-18,-8
2020-03-19,-8
2020-03-20,-19
2020-03-21,-22
2020-03-22,-24
2020-03-23,-19
2020-03-24,-48
2020-03-25,-47
2020-03-26,-43
2020-03-27,-43
2020-03-28,-48
2020-03-29,-48
2020-03-30,-45
2020-03-31,-45
2020-04-01,-50
2020-04-02,-46
2020-04-03,-47
2020-04-04,-83
2020-04-05,-83
2020-04-06,-41
2020-04-07,-35
2020-04-08,-30
2020-04-09,-72
2020-04-10,-82
2020-04-11,-84
