date,total,Riga
2020-02-29,8.170344377652905,5.664029086933624
2020-03-01,9.447766122818274,7.04445108568874
2020-03-02,2.142460177893999,0.737498811791661
2020-03-03,-0.6032716816701523,-1.0145385208843833
2020-03-04,-0.797381795531977,-0.5664984396275323
2020-03-05,2.4130867266806093,1.963160697191533
2020-03-06,5.357761317049203,3.8317457695548605
2020-03-07,7.76198824600168,7.271814709013113
2020-03-08,25.827115813665028,23.91043751338534
2020-03-09,2.968837675081684,1.7577691887262386
2020-03-10,-0.2641830595297863,-1.2399915255253575
2020-03-11,-0.9488037930673423,-1.3603605025794367
2020-03-12,-2.710292668651619,-3.421918061965971
2020-03-13,-17.846854369088433,-20.561122961388495
2020-03-14,-21.28848306838958,-29.624142686087314
2020-03-15,-5.813638181969505,-16.568885222428197
2020-03-16,-27.509671945853206,-36.40206246544202
2020-03-17,-33.29592529848121,-37.81018843510641
2020-03-18,-42.13961430347223,-46.129022182621675
2020-03-19,-35.9731950846916,-41.6218727084856
2020-03-20,-40.668082444445034,-44.521236560542185
2020-03-21,-31.955679533061804,-39.116096305209
2020-03-22,-31.361267649119785,-36.80806893566412
2020-03-23,-39.91097245676821,-44.05695622047645
2020-03-24,-39.706391672864044,-45.07913721609443
2020-03-25,-36.36946967398629,-42.785439486675024
2020-03-26,-36.26959559050551,-42.070868099084144
2020-03-27,-35.83304919335568,-42.3087401251672
2020-03-28,-23.558202159105853,-37.04880688977227
2020-03-29,-48.24320950199881,-52.48373992360371
2020-03-30,-46.1498809296881,-50.747942849736546
2020-03-31,-45.249403306046936,-50.37537220647392
2020-04-01,-47.758336935422804,-52.5888239511906
2020-04-02,-50.0055038137402,-54.57968861929141
2020-04-03,-48.704724420018835,-53.5871222132661
2020-04-04,-37.584872835054725,-46.46433576155804
2020-04-05,-26.3297079756973,-33.4348716501248
2020-04-06,-37.43103452904805,-44.17063803213864
2020-04-07,-34.04981354152962,-43.72641918824858
2020-04-08,-35.00264451538248,-44.25852649157495
2020-04-09,-40.09380646443059,-48.522072083577775
2020-04-10,-47.243663231033985,-58.44391490646403
2020-04-11,-33.00033022882441,-47.000264302251196
