date,VE
2020-02-15,5
2020-02-16,3
2020-02-17,10
2020-02-18,6
2020-02-19,5
2020-02-20,7
2020-02-21,-6
2020-02-22,6
2020-02-23,6
2020-02-24,-54
2020-02-25,-59
2020-02-26,2
2020-02-27,6
2020-02-28,12
2020-02-29,11
2020-03-01,7
2020-03-02,12
2020-03-03,9
2020-03-04,9
2020-03-05,7
2020-03-06,13
2020-03-07,9
2020-03-08,7
2020-03-09,11
2020-03-10,3
2020-03-11,11
2020-03-12,10
2020-03-13,13
2020-03-14,6
2020-03-15,0
2020-03-16,-33
2020-03-17,-50
2020-03-18,-54
2020-03-19,-56
2020-03-20,-54
2020-03-21,-38
2020-03-22,-30
2020-03-23,-57
2020-03-24,-60
2020-03-25,-59
2020-03-26,-59
2020-03-27,-55
2020-03-28,-35
2020-03-29,-25
2020-03-30,-55
2020-03-31,-57
2020-04-01,-57
2020-04-02,-58
2020-04-03,-56
2020-04-04,-37
2020-04-05,-29
2020-04-06,-55
2020-04-07,-58
2020-04-08,-58
2020-04-09,-67
2020-04-10,-69
2020-04-11,-40
