date,BY
2020-02-15,11
2020-02-16,3
2020-02-17,4
2020-02-18,4
2020-02-19,6
2020-02-20,8
2020-02-21,8
2020-02-22,9
2020-02-23,6
2020-02-24,3
2020-02-25,3
2020-02-26,7
2020-02-27,4
2020-02-28,6
2020-02-29,4
2020-03-01,0
2020-03-02,3
2020-03-03,5
2020-03-04,6
2020-03-05,6
2020-03-06,10
2020-03-07,12
2020-03-08,19
2020-03-09,5
2020-03-10,6
2020-03-11,3
2020-03-12,1
2020-03-13,3
2020-03-14,-8
2020-03-15,-2
2020-03-16,0
2020-03-17,-3
2020-03-18,0
2020-03-19,-4
2020-03-20,-1
2020-03-21,-12
2020-03-22,-18
2020-03-23,-9
2020-03-24,-7
2020-03-25,-2
2020-03-26,-3
2020-03-27,-3
2020-03-28,-3
2020-03-29,-7
2020-03-30,-17
2020-03-31,-14
2020-04-01,-20
2020-04-02,-21
2020-04-03,-24
2020-04-04,-20
2020-04-05,-25
2020-04-06,-18
2020-04-07,-16
2020-04-08,-18
2020-04-09,-21
2020-04-10,-23
2020-04-11,-27
