date,TT
2020-02-15,4
2020-02-16,19
2020-02-17,11
2020-02-18,9
2020-02-19,9
2020-02-20,11
2020-02-21,12
2020-02-22,7
2020-02-23,37
2020-02-24,-10
2020-02-25,-21
2020-02-26,0
2020-02-27,3
2020-02-28,8
2020-02-29,9
2020-03-01,15
2020-03-02,11
2020-03-03,7
2020-03-04,4
2020-03-05,-1
2020-03-06,3
2020-03-07,2
2020-03-08,8
2020-03-09,1
2020-03-10,1
2020-03-11,0
2020-03-12,-1
2020-03-13,-2
2020-03-14,-15
2020-03-15,-17
2020-03-16,-14
2020-03-17,-25
2020-03-18,-27
2020-03-19,-33
2020-03-20,-34
2020-03-21,-41
2020-03-22,-44
2020-03-23,-32
2020-03-24,-34
2020-03-25,-36
2020-03-26,-32
2020-03-27,-25
2020-03-28,-29
2020-03-29,-29
2020-03-30,-86
2020-03-31,-65
2020-04-01,-63
2020-04-02,-62
2020-04-03,-62
2020-04-04,-66
2020-04-05,-65
2020-04-06,-51
2020-04-07,-67
2020-04-08,-66
2020-04-09,-61
2020-04-10,-84
2020-04-11,-70
