date,SK,Banská Bystrica Region,Bratislava Region,Košice Region,Nitra Region,Prešov Region,Trenčín Region,Trnava Region,Žilina Region
2020-02-15,5,7,2,4,6,6,6,9,8
2020-02-16,7,9,0,4,6,12,9,10,16
2020-02-17,4,6,-3,5,1,7,5,2,11
2020-02-18,3,6,-6,5,0,9,4,3,10
2020-02-19,-1,2,-10,2,-3,7,2,-3,7
2020-02-20,0,1,-7,2,-2,4,2,-1,6
2020-02-21,-1,-1,-7,1,-3,3,-1,-3,3
2020-02-22,3,1,1,6,3,3,5,5,4
2020-02-23,2,-2,1,4,5,5,-3,8,-1
2020-02-24,2,-5,6,3,4,2,-3,6,0
2020-02-25,3,-5,7,1,5,4,-4,8,-1
2020-02-26,-1,-9,5,-1,0,-2,-5,2,-4
2020-02-27,4,-4,8,6,5,3,-2,5,1
2020-02-28,4,-4,11,4,8,3,-1,8,-2
2020-02-29,18,13,26,19,18,12,17,20,14
2020-03-01,0,0,-3,-1,1,1,2,5,2
2020-03-02,4,2,6,-2,5,0,5,7,4
2020-03-03,0,-4,4,-5,7,-3,-1,2,1
2020-03-04,1,-3,5,-6,6,-4,5,3,-1
2020-03-05,4,2,5,1,9,0,3,3,3
2020-03-06,4,1,9,-3,11,-2,6,6,3
2020-03-07,8,5,9,9,14,3,12,11,5
2020-03-08,23,19,20,22,31,27,28,23,18
2020-03-09,11,5,13,13,15,6,9,15,4
2020-03-10,9,6,6,6,17,8,12,13,8
2020-03-11,6,3,1,7,14,7,8,9,4
2020-03-12,20,16,14,22,26,22,21,22,16
2020-03-13,11,7,10,10,19,7,14,18,6
2020-03-14,-24,-26,-21,-23,-21,-32,-21,-19,-29
2020-03-15,-35,-36,-31,-32,-34,-42,-35,-32,-39
2020-03-16,-15,-18,-21,-15,-11,-17,-14,-6,-17
2020-03-17,-27,-29,-30,-28,-24,-27,-25,-20,-27
2020-03-18,-24,-27,-28,-26,-21,-25,-21,-19,-26
2020-03-19,-24,-27,-28,-23,-22,-26,-23,-19,-24
2020-03-20,-26,-29,-26,-24,-24,-29,-24,-21,-30
2020-03-21,-36,-39,-36,-33,-35,-39,-35,-34,-39
2020-03-22,-42,-40,-40,-35,-44,-46,-41,-44,-49
2020-03-23,-25,-25,-30,-24,-20,-28,-23,-20,-27
2020-03-24,-26,-26,-30,-25,-23,-26,-24,-20,-27
2020-03-25,-28,-30,-33,-26,-25,-27,-24,-24,-27
2020-03-26,-26,-28,-30,-25,-25,-28,-24,-23,-27
2020-03-27,-21,-24,-22,-19,-20,-24,-19,-19,-25
2020-03-28,-20,-22,-18,-13,-22,-25,-18,-21,-25
2020-03-29,-89,-88,-91,-90,-90,-90,-88,-89,-88
2020-03-30,-22,-22,-26,-22,-20,-23,-20,-18,-23
2020-03-31,-25,-25,-30,-25,-23,-23,-24,-18,-24
2020-04-01,-24,-27,-29,-24,-23,-23,-22,-19,-25
2020-04-02,-21,-23,-25,-20,-20,-22,-20,-16,-22
2020-04-03,-18,-21,-19,-19,-16,-20,-18,-13,-22
2020-04-04,-19,-20,-17,-12,-21,-23,-19,-17,-24
2020-04-05,-88,-88,-90,-89,-89,-87,-87,-87,-85
2020-04-06,-6,-6,-12,-4,-4,-5,-3,2,-9
2020-04-07,10,8,5,8,13,13,13,24,9
2020-04-08,-1,-5,-6,-5,-1,-3,5,8,-1
2020-04-09,-5,-9,-7,-9,-2,-10,-4,0,-4
2020-04-10,-92,-91,-92,-93,-92,-92,-92,-92,-90
2020-04-11,-12,-15,-5,-12,-16,-24,-10,-10,-14
