date,KW,Al Ahmadi Governorate,Al Asimah Governate,Al Farwaniyah Governorate,Al Jahra Governorate,Hawalli Governorate,Mubarak Al-Kabeer Governorate
2020-02-15,3,2,4,2,2,4,7
2020-02-16,-1,-2,1,2,2,0,0
2020-02-17,0,-2,-1,1,3,-1,3
2020-02-18,1,0,2,1,1,2,6
2020-02-19,1,0,-1,-1,2,1,1
2020-02-20,2,1,5,2,6,1,7
2020-02-21,4,3,4,4,6,5,11
2020-02-22,5,6,5,3,9,4,9
2020-02-23,5,5,6,6,10,5,11
2020-02-24,5,8,1,8,11,5,10
2020-02-25,-7,3,-20,-3,-8,-4,-12
2020-02-26,-12,-4,-25,-7,-6,-11,-18
2020-02-27,-18,-16,-24,-14,-3,-20,-18
2020-02-28,-21,-23,-32,-15,-6,-20,-11
2020-02-29,-12,-12,-17,-8,-2,-13,-9
2020-03-01,-9,-9,-11,-5,-1,-10,-5
2020-03-02,-7,-8,-10,-5,1,-10,-4
2020-03-03,-6,-5,-8,-4,-1,-6,-5
2020-03-04,-6,-5,-9,-5,0,-7,-7
2020-03-05,-9,-8,-10,-6,0,-11,-9
2020-03-06,-11,-11,-21,-7,-3,-9,-2
2020-03-07,-9,-8,-14,-7,-4,-10,-6
2020-03-08,-8,-8,-9,-5,-3,-10,-7
2020-03-09,-8,-8,-11,-6,-2,-11,-5
2020-03-10,-9,-8,-10,-8,-3,-10,-5
2020-03-11,-7,-3,-12,-6,0,-9,-10
2020-03-12,-25,-24,-31,-20,-11,-30,-25
2020-03-13,-40,-38,-56,-32,-21,-41,-29
2020-03-14,-37,-33,-48,-31,-23,-40,-33
2020-03-15,-39,-35,-48,-33,-28,-41,-38
2020-03-16,-42,-39,-54,-39,-29,-45,-38
2020-03-17,-43,-40,-55,-40,-32,-45,-39
2020-03-18,-45,-43,-57,-41,-31,-47,-42
2020-03-19,-45,-43,-55,-40,-28,-50,-39
2020-03-20,-53,-51,-69,-46,-32,-55,-35
2020-03-21,-43,-40,-56,-38,-27,-48,-35
2020-03-22,-62,-59,-72,-56,-50,-64,-61
2020-03-23,-55,-54,-63,-52,-44,-61,-53
2020-03-24,-54,-50,-63,-50,-43,-58,-51
2020-03-25,-53,-50,-64,-50,-42,-57,-51
2020-03-26,-56,-53,-65,-51,-43,-60,-53
2020-03-27,-62,-59,-76,-56,-45,-63,-55
2020-03-28,-58,-53,-69,-52,-48,-62,-56
2020-03-29,-56,-52,-65,-50,-46,-61,-56
2020-03-30,-59,-56,-68,-52,-49,-63,-59
2020-03-31,-59,-55,-68,-53,-48,-63,-59
2020-04-01,-60,-56,-70,-53,-48,-64,-62
2020-04-02,-62,-60,-71,-56,-50,-67,-60
2020-04-03,-67,-66,-80,-61,-51,-70,-62
2020-04-04,-61,-58,-73,-54,-52,-64,-58
2020-04-05,-59,-57,-70,-53,-51,-62,-58
2020-04-06,-60,-56,-71,-51,-53,-65,-60
2020-04-07,-64,-62,-74,-61,-57,-65,-65
2020-04-08,-65,-63,-76,-61,-57,-66,-66
2020-04-09,-66,-65,-75,-62,-57,-68,-64
2020-04-10,-69,-68,-80,-65,-56,-70,-62
2020-04-11,-62,-59,-73,-57,-52,-63,-59
