date,UY,Artigas Department,Canelones Department,Cerro Largo Department,Colonia Department,Durazno Department,Flores Department,Florida Department,Lavalleja Department,Maldonado Department,Montevideo Department,Paysandú Department,Río Negro Department,Rivera Department,Rocha Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department,Treinta y Tres Department
2020-02-15,2,4,2,4,1,7,5,7,1,-4,2,0,1,0,3,-1,1,2,8,2
2020-02-16,-3,-4,0,1,2,-2,0,-3,3,-5,-3,-6,-7,1,-2,-10,0,-2,1,4
2020-02-17,7,7,7,13,3,12,10,10,4,-1,6,10,4,9,4,2,10,4,12,10
2020-02-18,7,10,7,7,8,16,18,10,8,-1,6,8,11,4,1,8,11,10,10,8
2020-02-19,7,15,9,10,6,15,14,11,10,2,6,9,10,11,4,8,11,15,14,9
2020-02-20,6,10,7,11,4,11,15,8,5,1,6,8,6,7,5,7,8,10,8,8
2020-02-21,7,11,8,13,6,13,12,10,9,-2,7,5,5,5,2,9,9,10,9,11
2020-02-22,1,6,0,9,3,8,24,4,1,-5,0,-1,1,1,1,0,2,3,8,11
2020-02-23,0,12,-2,17,9,-3,0,8,8,-5,-2,-3,-4,0,3,-4,3,-3,2,14
2020-02-24,-36,-16,-36,-18,-26,-20,-27,-27,-29,-16,-45,-27,-25,-20,-21,-28,-29,-27,-19,-23
2020-02-25,-36,-24,-36,-23,-26,-20,-23,-31,-26,-17,-45,-26,-20,-24,-20,-24,-29,-26,-16,-24
2020-02-26,3,12,4,7,5,18,15,11,8,0,0,10,14,13,6,12,8,9,18,11
2020-02-27,4,13,4,9,4,14,16,8,6,0,1,8,8,13,7,10,8,10,14,13
2020-02-28,5,17,7,14,5,17,15,13,11,0,3,12,10,13,9,14,9,-5,15,15
2020-02-29,2,4,3,15,1,14,14,4,1,-6,0,4,3,9,5,0,4,4,10,13
2020-03-01,-7,-1,-4,7,-1,-2,0,-4,0,-22,-8,-4,-4,0,-3,-8,2,2,1,-1
2020-03-02,15,26,17,26,13,22,18,24,19,-3,14,22,20,23,8,20,20,21,24,21
2020-03-03,19,31,21,25,20,30,31,28,24,-1,17,25,24,30,13,23,25,23,30,24
2020-03-04,20,34,22,30,22,30,32,32,29,1,18,28,32,35,14,25,28,30,32,29
2020-03-05,21,34,23,34,23,28,35,31,30,1,19,29,27,34,17,28,28,30,33,31
2020-03-06,23,36,26,34,23,34,35,33,34,1,22,30,33,35,16,32,29,33,30,30
2020-03-07,5,6,8,11,7,17,19,7,7,-14,5,10,7,4,-3,9,10,14,9,8
2020-03-08,-2,8,2,12,5,1,0,6,8,-20,-4,-1,0,4,-3,0,5,6,5,4
2020-03-09,24,41,27,38,25,33,34,36,32,0,22,37,32,38,15,31,30,32,35,33
2020-03-10,24,42,26,29,27,34,33,35,34,2,22,35,32,38,14,33,31,35,38,24
2020-03-11,22,38,25,31,19,30,28,35,34,1,20,33,34,38,14,32,30,32,36,34
2020-03-12,21,34,24,33,22,31,37,35,29,0,18,30,33,34,14,30,27,32,33,32
2020-03-13,23,32,27,34,23,34,37,32,33,0,22,33,31,33,15,31,28,35,33,30
2020-03-14,-3,-4,-1,6,-2,5,10,0,4,-24,-4,7,2,0,-11,1,1,4,14,2
2020-03-15,-12,-14,-7,-5,-4,-10,0,-6,3,-29,-11,-12,-10,-13,-18,-18,-2,-4,-11,-7
2020-03-16,-1,7,1,9,2,9,10,8,-1,-20,-3,7,4,5,-5,-4,7,2,6,11
2020-03-17,-12,4,-10,-4,-9,4,3,-3,-5,-26,-15,-3,-7,-2,-13,-10,-1,-1,1,1
2020-03-18,-24,-6,-22,-12,-17,-7,-11,-11,-12,-37,-28,-11,-9,-11,-23,-17,-12,-6,-4,-8
2020-03-19,-27,-13,-26,-15,-21,-8,-9,-15,-18,-39,-32,-13,-16,-17,-26,-22,-14,-10,-10,-10
2020-03-20,-28,-15,-25,-17,-23,-6,-9,-17,-15,-40,-33,-15,-16,-22,-25,-22,-15,-12,-13,-9
2020-03-21,-27,-20,-24,-21,-25,-14,-8,-17,-15,-45,-29,-15,-20,-31,-32,-26,-19,-16,-8,-14
2020-03-22,-33,-27,-30,-24,-36,-27,-24,-25,-21,-53,-34,-23,-26,-33,-39,-31,-23,-27,-23,-20
2020-03-23,-33,-22,-32,-21,-27,-9,-16,-19,-22,-46,-38,-17,-23,-32,-32,-28,-19,-19,-18,-13
2020-03-24,-38,-26,-37,-27,-30,-13,-19,-25,-26,-51,-43,-24,-27,-38,-36,-30,-27,-23,-20,-23
2020-03-25,-40,-28,-39,-27,-33,-16,-23,-26,-24,-52,-45,-26,-24,-37,-35,-31,-29,-23,-22,-21
2020-03-26,-41,-28,-40,-27,-36,-19,-24,-25,-28,-53,-46,-28,-28,-38,-36,-31,-30,-27,-24,-22
2020-03-27,-39,-26,-38,-27,-33,-13,-20,-24,-25,-52,-44,-25,-26,-36,-35,-28,-27,-25,-22,-23
2020-03-28,-34,-23,-32,-23,-32,-17,-14,-25,-24,-52,-36,-22,-24,-37,-37,-27,-24,-23,-21,-20
2020-03-29,-35,-24,-31,-28,-38,-21,-20,-23,-22,-56,-37,-23,-27,-33,-41,-30,-23,-28,-25,-20
2020-03-30,-39,-23,-39,-21,-32,-16,-21,-24,-27,-53,-45,-23,-26,-31,-34,-29,-29,-25,-23,-21
2020-03-31,-41,-21,-41,-26,-34,-16,-26,-28,-25,-55,-46,-26,-25,-32,-37,-28,-31,-25,-20,-24
2020-04-01,-43,-25,-42,-24,-34,-20,-24,-25,-27,-55,-49,-28,-26,-32,-39,-30,-33,-25,-23,-21
2020-04-02,-42,-25,-43,-24,-35,-21,-23,-26,-31,-57,-47,-26,-26,-33,-37,-29,-33,-26,-26,-24
2020-04-03,-39,-19,-38,-20,-31,-13,-20,-22,-24,-53,-45,-23,-25,-31,-33,-25,-30,-22,-25,-22
2020-04-04,-32,-19,-29,-16,-29,-14,-10,-18,-24,-51,-36,-21,-21,-33,-33,-24,-22,-20,-18,-17
2020-04-05,-35,-21,-32,-22,-37,-24,-17,-26,-24,-56,-37,-25,-32,-33,-35,-28,-24,-23,-25,-17
2020-04-06,-48,-29,-48,-26,-38,-32,-34,-34,-38,-59,-55,-30,-32,-33,-41,-34,-40,-32,-36,-30
2020-04-07,-50,-29,-49,-30,-40,-30,-34,-37,-38,-61,-56,-31,-35,-35,-42,-35,-40,-33,-38,-32
2020-04-08,-50,-33,-49,-30,-40,-35,-34,-36,-40,-60,-57,-33,-34,-36,-43,-35,-41,-30,-38,-32
2020-04-09,-58,-36,-58,-42,-47,-41,-42,-47,-49,-64,-65,-39,-43,-41,-47,-43,-52,-39,-48,-40
2020-04-10,-67,-52,-67,-55,-60,-51,-54,-60,-58,-68,-72,-58,-55,-59,-53,-58,-61,-53,-60,-51
2020-04-11,-43,-28,-41,-31,-40,-26,-25,-35,-39,-59,-45,-36,-36,-35,-40,-32,-36,-33,-36,-29
