date,total,Oslo,Rogaland,Troms Og Finnmark,Trondelag,Vestfold Og Telemark,Vestland,Viken
2020-02-29,-1.6559039035913943,-0.31125931307341564,-2.9804748156350325,0.2988763556351406,-0.7329323963840024,-0.23356168955728346,-1.0518054865292688,-1.382340606809247
2020-03-01,-1.2194578380482346,-1.290469512276428,-3.976555324052473,1.5781060992982505,1.459131817998073,-2.590588406672869,-3.1931537309536213,-3.3750779406280356
2020-03-02,-1.5935544656566571,-0.8854457477492196,0.293193288052697,-12.06019639611766,1.0368781145694943,0.2306421684378174,-0.8679572414137572,-0.3153555198179248
2020-03-03,-1.269661281580101,-0.42725657260388106,0.34270606186292063,-10.355530276517886,0.2606623089502161,NA,-0.7295872464057669,0.05610619677742221
2020-03-04,-1.7514523928939782,-0.895112186043425,0.5446405119124603,-11.068160544677243,0.7954528763905118,-0.7065241109107825,-0.22158551648132707,-1.058278953008619
2020-03-05,-1.9255449793351276,-1.6007621815204232,0.24659303034895708,-12.529442009851007,0.6213573859108472,0.47490876876647636,-0.8863420659253083,-0.8367562105598311
2020-03-06,-1.7546913247347438,-1.5930290308850588,0.15630503104796098,-15.263138448363955,-1.3562134893719728,-1.7721493195158882,0.11804992581101267,-0.7322826027673898
2020-03-07,-1.5490191528461308,-2.490074504587325,NA,1.495355316793407,-0.7329323963840024,-1.4013701373437006,0.14998146312054889,-1.0369972921620105
2020-03-08,-2.0243324004784773,-5.163811336764553,-0.852396380497576,0.7895398189579773,0.2433489452561058,-3.2387220951943303,-0.19933020259892303,-5.9056608849338375
2020-03-09,-1.6745277616757963,-2.0338186171008275,-0.4883318671871079,-2.112578800417769,-6.956124790878092,-0.34644983950997044,-0.9395612947745353,-1.076658569194326
2020-03-10,-1.338488583196369,-3.387119978289591,-1.126172894507048,-1.0708924794744452,-1.4331617724569077,-1.1609962318409965,-1.34983316808494,-0.8106378086117207
2020-03-11,-2.6510657116666136,-6.268685233792237,-1.48538321430671,-2.5195179426180583,-2.4315657454839346,-1.767283450983445,-2.177150271104742,-3.138077626654442
2020-03-12,-10.688475074526359,-23.206218412899034,-7.847289229569371,-6.580147517061614,-12.552188678229964,-6.999065297066594,-8.343807461216084,-10.932002237614626
2020-03-13,-35.980484086104454,-51.62071377871597,-34.03954657517769,-31.088008679143144,-38.477988956621566,-33.03146194563881,-32.15118758133212,-37.85813994967578
2020-03-14,-23.25229168485598,-29.414005085437775,-22.568116470440376,-23.931526300400737,-26.375947734438473,-19.6201550965183,-22.23209094617891,-20.653851851633473
2020-03-15,-27.3892173784738,-37.22158729566752,-28.691196164971373,-23.281202503774438,-30.155070287447323,-24.61448255821821,-27.344039782732846,-26.878737649266437
2020-03-16,-48.13457581857723,-62.80961610425878,-44.95177358747012,-42.87074656921515,-48.606306717676084,-45.144555070303426,-45.986251837445714,-49.11130179643013
2020-03-17,-51.598613422275996,-65.73564697591478,-48.802119880241634,-45.97341414383793,-52.245960507593495,-47.98816864066335,-50.56117027379381,-52.192305878086856
2020-03-18,-52.27716964291639,-66.10007169960632,-49.25258903804445,-46.880752135538096,-52.70572649902598,-48.53606543741648,-51.48621723342765,-53.0667886692384
2020-03-19,-52.993783312685764,-66.71679046277663,-50.58943393092049,-47.86597321665459,-53.75607056313534,-48.757949042495895,-52.24289790542939,-53.671381306926136
2020-03-20,-52.30227136468232,-66.03047334388803,-50.27779470752672,-48.22326188935197,-53.43962074894854,-48.85137371831881,-51.521051637765325,-53.249617482875166
2020-03-21,-33.54318787592836,-42.95378520413136,-29.59310531927917,-32.60672892276145,-38.099018662428264,-29.664280921187977,-32.14634946961855,-31.284041444514383
2020-03-22,-34.608796451540236,-45.18189923094571,-34.94048489078333,-31.566989679053528,-36.47829544995182,-31.415993592867597,-35.92684996259909,-33.026235589275366
2020-03-23,-52.62211588395791,-66.97488436523192,-49.29530594093955,-46.47965422504404,-53.142408005532985,-49.58903938783723,-51.15625801456245,-53.60463427972542
2020-03-24,-53.212411211937436,-67.7414329219624,-50.319540771719666,-47.313003281798686,-53.853217770530065,-50.01918216610523,-51.83843176617526,-53.926761237085444
2020-03-25,-52.455310894158494,-66.99518388564974,-49.054537942803556,-46.43097729415883,-53.01448148490428,-48.47767501502716,-51.301401365969426,-53.74780181632987
2020-03-26,-52.36219160373648,-66.81732142103637,-49.750629292253166,-46.69383272093892,-52.957732126129144,-48.1652862552443,-51.02466137595345,-53.367633965751814
2020-03-27,-50.896574945790064,-65.71148088017925,-49.13317587767862,-45.133250316759344,-51.99010746633609,-47.522018435255276,-49.23359241959128,-52.15167725283424
2020-03-28,-33.54318787592836,-43.576303830278185,-30.65811537555006,-35.8972894506011,-36.81686789552554,-28.73003416295884,-30.493650508264373,-31.284041444514383
2020-03-29,-34.65738042915172,-45.397460804906494,-35.50842553154766,-31.962246357841373,-37.45072937743769,-30.76785990434614,-36.52580819273857,-33.388023823667716
2020-03-30,-51.44557389279983,-65.92510916648119,-47.53808789002769,-45.77578580444401,-52.883669403659894,-47.10647326258461,-49.52968485646152,-52.23003245867857
2020-03-31,-51.22775572650834,-65.76851286611506,-48.36135910946042,-46.15254524949547,-52.37677258883789,-46.65297431536088,-49.466789404185164,-51.87211361716742
2020-04-01,-50.747584081114844,-65.50268581302443,-48.01476969278886,-43.461684510161504,-51.202349418254066,-46.47488352707345,-49.308099339980195,-51.76280326827348
2020-04-02,-51.103056850638865,-65.95024190604613,-48.51669330180622,-43.89977688812833,-51.36105525211675,-46.50407873826811,-49.87996414452371,-51.92241572462304
2020-04-03,-49.57509075475771,-64.1184518492942,-48.092436788961756,-43.35459526221406,-50.867624386834606,-45.243818788365274,-48.128567704212784,-50.62713645764083
2020-04-04,-31.35286021861065,-41.8643776083744,-26.187403152097513,-30.811523711715196,-36.634115723198825,-27.562225715172424,-29.291863558614555,-28.691548214109353
2020-04-05,-32.29215045243267,-44.53714779672221,-29.82707744650003,-32.356529498011504,-35.74824861418351,-26.881004120630347,-31.934440176564355,-32.78536588242058
2020-04-06,-58.98337801922148,-68.97583709213244,-55.542652989347175,-53.169811605906204,-61.91355042367697,-55.36190581472809,-56.904902352621676,-58.71029818647084
2020-04-07,-60.039269799311064,-69.68245373143886,-57.07463646135763,-54.18618592278922,-63.66797127801348,-57.03965728471458,-57.67512973742139,-59.73181790710804
2020-04-08,-64.81912346332084,-72.30205850916853,-62.56861267688813,-60.64853526710864,-69.02068622010924,-60.906076420594104,-63.18573897917317,-64.33446073929726
2020-04-09,-86.51510839868897,-89.18932620914546,-86.86579287587769,-83.11099179339399,-87.01985148721403,-84.88215702735573,-86.13677332598802,-87.11454397915098
2020-04-10,-85.9280520025502,-89.14969381213922,-86.45124475005484,-82.86955421620338,-86.86787862812128,-83.97029326437584,-84.9349863763382,-86.6753678871346
2020-04-11,-35.99991767714905,-47.00015627408576,-32.99977832516299,-34.99968684507798,-36.999620067852256,-31.999897816760807,-34.999867758279834,-34.99962595868815
