date,TZ
2020-02-15,-3
2020-02-16,-3
2020-02-17,-5
2020-02-18,-1
2020-02-19,-1
2020-02-20,0
2020-02-21,-2
2020-02-22,-2
2020-02-23,-11
2020-02-24,-4
2020-02-25,0
2020-02-26,1
2020-02-27,2
2020-02-28,-1
2020-02-29,2
2020-03-01,3
2020-03-02,-4
2020-03-03,0
2020-03-04,-4
2020-03-05,3
2020-03-06,-2
2020-03-07,0
2020-03-08,7
2020-03-09,-6
2020-03-10,-3
2020-03-11,0
2020-03-12,-1
2020-03-13,-4
2020-03-14,-4
2020-03-15,-5
2020-03-16,-6
2020-03-17,-6
2020-03-18,-6
2020-03-19,-7
2020-03-20,-11
2020-03-21,-15
2020-03-22,-19
2020-03-23,-13
2020-03-24,-12
2020-03-25,-9
2020-03-26,-8
2020-03-27,-14
2020-03-28,-15
2020-03-29,-16
2020-03-30,-14
2020-03-31,-12
2020-04-01,-13
2020-04-02,-14
2020-04-03,-18
2020-04-04,-18
2020-04-05,-20
2020-04-06,-16
2020-04-07,-19
2020-04-08,-13
2020-04-09,-11
2020-04-10,-26
2020-04-11,-23
