date,NI
2020-02-15,6
2020-02-16,4
2020-02-17,2
2020-02-18,0
2020-02-19,-5
2020-02-20,-1
2020-02-21,2
2020-02-22,0
2020-02-23,-1
2020-02-24,-1
2020-02-25,-4
2020-02-26,-5
2020-02-27,-3
2020-02-28,4
2020-02-29,4
2020-03-01,7
2020-03-02,1
2020-03-03,0
2020-03-04,-4
2020-03-05,1
2020-03-06,2
2020-03-07,2
2020-03-08,2
2020-03-09,-2
2020-03-10,-1
2020-03-11,-4
2020-03-12,-5
2020-03-13,0
2020-03-14,2
2020-03-15,-1
2020-03-16,-2
2020-03-17,-5
2020-03-18,-9
2020-03-19,-18
2020-03-20,-23
2020-03-21,-35
2020-03-22,-45
2020-03-23,-29
2020-03-24,-32
2020-03-25,-35
2020-03-26,-36
2020-03-27,-36
2020-03-28,-40
2020-03-29,-45
2020-03-30,-29
2020-03-31,-28
2020-04-01,-29
2020-04-02,-30
2020-04-03,-27
2020-04-04,-33
2020-04-05,-40
2020-04-06,-28
2020-04-07,-30
2020-04-08,-32
2020-04-09,-55
2020-04-10,-64
2020-04-11,-56
