date,total,Meru County,Migori County,Nairobi County,Nakuru County,Uasin Gishu County,Vihiga County
2020-02-29,8.208251750811035,NA,NA,22.338655865063927,3.3632513740712855,NA,NA
2020-03-01,2.7473072321544505,NA,NA,10.716394538445217,2.5880031995852737,NA,NA
2020-03-02,0.8585836141340578,NA,NA,5.117621242585193,-3.032786229061139,NA,NA
2020-03-03,3.867233757780294,NA,NA,9.278677766930162,7.848547193990974,NA,NA
2020-03-04,4.563880966634166,NA,NA,11.201372850593012,8.659339584655402,NA,NA
2020-03-05,5.9275137655529635,NA,NA,10.189327378694854,16.201437995918944,NA,NA
2020-03-06,8.935362243826527,NA,NA,17.531918155906805,14.168693092310024,NA,NA
2020-03-07,7.352874798167674,NA,NA,9.405900874456112,15.977605499444051,NA,NA
2020-03-08,5.809668955769857,NA,NA,11.835575258786278,5.176006399170547,NA,NA
2020-03-09,3.3902428610391513,NA,NA,4.595336906426032,4.043394753917749,NA,NA
2020-03-10,4.740247348622487,NA,NA,7.059447620612845,6.86771895836493,NA,NA
2020-03-11,5.250908191015947,NA,NA,8.765959077953402,7.69772443885553,NA,NA
2020-03-12,0.7663920962765259,NA,NA,0.9795222714779883,3.811877021512385,NA,NA
2020-03-13,1.528775865689681,NA,NA,3.214057453287149,-1.7714468819729936,NA,NA
2020-03-14,-0.6413322981393523,NA,NA,-1.7639053404349712,3.3632513740712855,NA,NA
2020-03-15,-0.9459651397555445,NA,NA,-3.5182450336875397,-0.8626677331950913,NA,NA
2020-03-16,-5.664567523315829,NA,NA,-8.87787714998751,-8.086789507835498,NA,NA
2020-03-17,-9.106116968206129,NA,NA,-16.74179569864038,-13.734477262238553,NA,NA
2020-03-18,-14.257618653010475,NA,NA,-29.220182448084092,-14.432873077419877,NA,NA
2020-03-19,-16.775649588580105,NA,NA,-36.54555506036772,-14.295499485162754,NA,NA
2020-03-20,-16.302667018702333,NA,NA,-35.16236247779236,-21.253519965710687,NA,NA
2020-03-21,-12.098733804398881,NA,NA,-23.661584870390154,-26.90889295604421,NA,NA
2020-03-22,-11.980087329243101,NA,NA,-27.509844731870572,-23.292028796267463,NA,NA
2020-03-23,-19.35460709247298,NA,NA,-44.18085464136117,-26.280624918728407,NA,NA
2020-03-24,-24.03312620739955,NA,NA,-51.938594506289384,-25.507298053225014,NA,NA
2020-03-25,-25.24364092013758,NA,NA,-54.155911523170225,-26.941555208748703,NA,NA
2020-03-26,-24.71935176640866,NA,NA,-55.2588306433012,-24.77912194881312,NA,NA
2020-03-27,-25.003141308335323,NA,NA,-48.21373149346196,-36.30793649900721,NA,NA
2020-03-28,-21.07658431297714,NA,NA,-42.619741021193136,-37.84114106713567,NA,NA
2020-03-29,-20.266902286576205,NA,NA,-45.90267113419358,-37.09471252738892,NA,NA
2020-03-30,-24.504505446531976,NA,NA,-51.17908212000665,-30.324019672646155,NA,NA
2020-03-31,-25.363890726038708,NA,NA,-52.34226481738676,-32.37501701158995,NA,NA
2020-04-01,-25.324609122777673,NA,NA,-52.986989437480666,-27.903170354548575,NA,NA
2020-04-02,-25.08250618023007,NA,NA,-54.180782205844466,-33.35584524721599,NA,NA
2020-04-03,-21.867828035806564,NA,NA,-46.460348364927626,-31.880279948566034,NA,NA
2020-04-04,-16.67303642087781,NA,NA,-39.38655227354118,-35.31846237295939,NA,NA
2020-04-05,-18.916096133620197,NA,NA,-45.102983029744756,-37.09471252738892,NA,NA
2020-04-06,-21.71551161499847,NA,NA,-49.08994477537,-29.31245049329824,NA,NA
2020-04-07,-25.821641653835673,NA,NA,-57.385274011949214,-31.394188775963897,NA,NA
2020-04-08,-26.455758963620955,NA,NA,-58.34375185962592,-29.82832195513094,NA,NA
2020-04-09,-25.8889815451403,NA,NA,-57.90373208923542,-27.63802971494741,NA,NA
2020-04-10,-33.15447481768649,NA,NA,-67.8893111829451,-33.651726830539026,NA,NA
2020-04-11,-22.999779542022523,NA,NA,-46.00024073545408,-36.999607732749375,NA,NA
