date,JP,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi
2020-02-28,14,14,6,9,18,9,17,10,16,16,19,12,13,13,20,12,8,9,16,18,8,11,10,12,13,17,15,10,15,14,15,10,1,11,11,22,13,9,13,18,13,15,8,15,8,9,13,12
2020-02-29,9,9,14,14,10,8,15,5,11,16,12,8,5,5,12,14,15,6,8,13,4,0,3,8,17,7,11,7,7,12,5,10,1,-2,5,14,10,10,12,12,9,11,10,15,2,15,8,10
2020-03-01,9,10,11,9,10,8,12,8,14,11,7,10,-6,14,10,13,12,8,3,10,6,-1,13,10,13,0,7,4,21,8,4,10,-2,17,5,10,12,8,9,10,5,10,12,15,15,12,11,7
2020-03-02,3,6,3,1,-3,9,8,6,1,9,3,7,0,8,0,8,4,5,5,-5,5,2,6,8,1,2,3,6,11,4,5,6,-2,7,4,-1,9,6,2,-1,3,-5,4,10,5,2,8,0
2020-03-03,9,8,7,7,9,6,9,5,8,9,7,8,4,10,7,8,7,8,7,13,6,2,8,10,8,4,7,5,13,10,6,8,1,9,4,12,9,7,8,7,7,10,9,9,9,7,6,6
2020-03-04,-2,-2,5,7,-4,-1,5,2,0,1,0,-1,-1,-6,-2,3,3,-2,1,-3,-4,-2,-7,-2,3,1,2,1,-3,5,1,-3,-4,-11,2,1,-2,2,-3,0,-5,-4,3,3,-7,2,2,1
2020-03-05,3,3,-2,1,3,4,3,3,1,4,2,4,-12,6,2,2,1,4,4,7,2,1,2,3,2,4,1,3,6,-1,3,3,-3,5,3,3,2,7,4,2,3,2,5,4,5,0,3,2
2020-03-06,2,2,-3,-3,4,0,5,1,-1,4,0,2,-5,4,2,2,-2,0,0,4,-1,-1,4,2,-1,2,1,1,6,2,0,1,-3,3,0,5,4,4,3,0,-2,4,5,5,0,-3,1,-2
2020-03-07,2,4,4,2,1,1,6,-4,2,7,1,1,0,3,2,5,4,1,-1,3,-4,-2,3,5,4,-2,2,-4,9,2,-2,1,-7,2,-4,4,5,2,5,2,1,2,3,5,2,3,-1,1
2020-03-08,-4,-10,3,1,-6,1,4,4,-1,-3,0,5,-5,-1,-1,4,2,1,3,-13,-2,1,-4,-6,-3,2,0,5,1,2,3,2,-2,-5,4,-4,-3,3,-13,-2,-2,-9,4,4,-2,3,3,-4
