date,total,Capital Region of Denmark,Central Denmark Region,North Denmark Region,Region Zealand,Region of Southern Denmark
2020-02-29,10.139451829475696,5.331712939408194,10.964731128228795,11.801665700245835,11.192982456140346,14.67286711497987
2020-03-01,20.889350574857353,19.94978682626245,16.711244004443504,17.303064899292902,20.12903508771929,26.711567119188775
2020-03-02,11.278582290236491,11.503215996353388,11.078956992920821,11.408435917107841,12.628771929824556,13.324064244625859
2020-03-03,9.632201401304165,7.048511145600309,7.857787608605669,10.93980527749436,11.017368421052625,13.65296914137644
2020-03-04,9.25275585409604,7.978960423553234,10.253675120520928,11.300584059111257,11.078157894736837,12.803867479142005
2020-03-05,10.100554691791181,7.612506554082543,11.177000860114811,10.588570908089551,13.020526315789468,13.793510106160069
2020-03-06,6.6807818520995434,2.0546228671104068,9.2741883307868,7.672752977296907,8.002982456140348,10.571803684279763
2020-03-07,10.349020081490227,5.17902382712874,10.926655839998118,13.674279376257346,11.128333333333329,14.035552878842989
2020-03-08,10.935652423303624,9.123174458697394,9.137117293156367,4.282577759563531,14.257543859649116,13.954546628307979
2020-03-09,5.190783333041696,3.136806950391039,6.112035643229194,6.172371377556798,6.834473684210523,8.825777392627574
2020-03-10,2.978409399842857,-0.8636477913306634,3.7980100010098874,1.7695340241209687,6.067368421052629,6.352646804004521
2020-03-11,5.213010268861419,3.7952787470961855,5.252486011421693,5.443178284553336,9.765877192982453,9.260088012965877
2020-03-12,-10.560175971777594,-16.664107991398943,-8.360381413250586,-9.942414201331246,-3.656052631578946,-5.1072976993940165
2020-03-13,-27.389935482989856,-34.111701990181835,-25.815997302603794,-27.524175937217098,-20.577719298245604,-22.866210166081103
2020-03-14,-30.42629367979128,-35.317945977189524,-31.886150128779246,-30.43999386800974,-23.736842105263147,-27.93544468751289
2020-03-15,-33.03240190465378,-39.76978790708736,-33.60715315680578,-35.300963007625754,-25.028859649122797,-27.74708075554594
2020-03-16,-24.222597128679357,-28.925998014390867,-23.279231224235037,-21.659134632889508,-18.064122807017537,-21.633548787458015
2020-03-17,-24.749693035261355,-29.59878441537221,-25.495212999260353,-26.383618677872676,-15.208947368421047,-22.534377332564198
2020-03-18,-41.159522223308144,-47.4395528782747,-39.66588339651203,-38.87725426349483,-32.61596491228069,-37.698161845364666
2020-03-19,-39.06066442661717,-44.56613464656572,-38.07814387729286,-38.92306744211285,-30.44491228070174,-36.66948006146226
2020-03-20,-43.250441828634926,-51.1613499900864,-41.84569364771821,-40.71837137920645,-35.00798245614033,-39.91168204070684
2020-03-21,-47.16952690513391,-55.64277543548838,-45.81504244576613,-43.548289600090314,-37.72807017543858,-45.179040283326664
2020-03-22,-38.13983422837151,-50.49810665862252,-33.951734515293396,-34.25871319406583,-29.66333333333332,-31.826672649959658
2020-03-23,-35.30828136876611,-42.6976016350459,-33.115981938630064,-32.295427602039496,-26.856403508771916,-32.06383552803204
2020-03-24,-35.95286250753807,-43.649999972889,-35.20345961587685,-35.660787348021444,-25.986052631578936,-32.47960254885028
2020-03-25,-36.380731022067735,-43.19670417080937,-35.647036723764224,-34.78174698328821,-25.93877192982455,-31.955501867677985
2020-03-26,-35.856016572894994,-43.54407190124512,-34.28584516951757,-33.55433557281379,-25.33280701754385,-32.45813101256388
2020-03-27,-38.63200209295109,-47.6361401103345,-37.09865708755873,-35.88698991744791,-28.642456140350866,-34.59259691521528
2020-03-28,-42.60268541331729,-52.70541863801238,-40.969010136206904,-37.88749871710139,-31.87394736842104,-39.08209995691458
2020-03-29,-36.72524852727344,-47.94247264184515,-33.978387217054866,-33.33290520949337,-28.25070175438595,-30.757975730250802
2020-03-30,-32.289387192965904,-39.190523587377186,-30.316496371469647,-30.531620225245778,-22.859736842105253,-29.513602604562404
2020-03-31,-22.60003081383959,-32.45216220109452,-23.429628612746207,-21.87865611376751,-7.78394736842105,-15.722044456246556
2020-04-01,-31.63766168196617,-39.969238060002404,-31.011370381679477,-27.88781804249762,-18.102719298245606,-26.6803357936813
2020-04-02,-33.66110666069737,-42.58022187998107,-32.24596160255913,-32.41091498980575,-20.407894736842096,-28.64107744819737
2020-04-03,-34.95661949133264,-46.35832310194582,-34.43338691141144,-31.25890443580682,-21.288859649122795,-28.032066600801638
2020-04-04,-38.04060683631918,-48.836658255631704,-37.415633862079105,-32.791737037068025,-24.412280701754376,-34.009937498716475
2020-04-05,-21.656973679774207,-36.0508537161309,-21.054682509357818,-17.708702418306608,-5.8271052631578915,-12.335397596529901
2020-04-06,-15.072243943181324,-27.284590057386737,-13.977438309480997,-8.43248818937905,1.7185087719298238,-8.367067299236558
2020-04-07,-12.778106638931364,-26.853243315197275,-13.103610444586995,-6.9177899713208095,6.187017543859646,-4.225012753807892
2020-04-08,-8.544669184410585,-23.293678385182496,-8.130025919454999,1.296131178401443,13.278157894736836,2.1705771227694046
2020-04-09,-39.89576215812962,-49.56002292505562,-40.628236306542355,-32.212391215794334,-27.795263157894723,-34.853183287418254
2020-04-10,-59.67694121854651,-66.34723651322987,-61.67244811163674,-52.57253134661877,-52.3725438596491,-57.11038260610363
2020-04-11,-31.000224915421978,-44.00023062417999,-32.00037599347127,-27.00018770677351,-10.999999999999995,-24.000297673571236
