date,IQ
2020-02-15,13
2020-02-16,7
2020-02-17,11
2020-02-18,13
2020-02-19,8
2020-02-20,7
2020-02-21,16
2020-02-22,10
2020-02-23,9
2020-02-24,11
2020-02-25,0
2020-02-26,8
2020-02-27,7
2020-02-28,10
2020-02-29,12
2020-03-01,3
2020-03-02,9
2020-03-03,10
2020-03-04,13
2020-03-05,6
2020-03-06,7
2020-03-07,5
2020-03-08,5
2020-03-09,6
2020-03-10,7
2020-03-11,3
2020-03-12,-3
2020-03-13,-12
2020-03-14,-20
2020-03-15,-15
2020-03-16,-16
2020-03-17,-18
2020-03-18,-38
2020-03-19,-42
2020-03-20,-46
2020-03-21,-45
2020-03-22,-48
2020-03-23,-45
2020-03-24,-45
2020-03-25,-47
2020-03-26,-50
2020-03-27,-51
2020-03-28,-50
2020-03-29,-48
2020-03-30,-47
2020-03-31,-42
2020-04-01,-44
2020-04-02,-45
2020-04-03,-47
2020-04-04,-45
2020-04-05,-47
2020-04-06,-47
2020-04-07,-41
2020-04-08,-42
2020-04-09,-46
2020-04-10,-46
2020-04-11,-40
