date,MN
2020-02-15,-1
2020-02-16,-1
2020-02-17,-3
2020-02-18,-4
2020-02-19,-3
2020-02-20,-5
2020-02-21,-6
2020-02-22,-6
2020-02-23,-12
2020-02-24,-68
2020-02-25,-72
2020-02-26,-69
2020-02-27,-27
2020-02-28,-23
2020-02-29,-16
2020-03-01,-13
2020-03-02,-11
2020-03-03,-12
2020-03-04,-7
2020-03-05,-6
2020-03-06,-5
2020-03-07,-2
2020-03-08,-8
2020-03-09,-4
2020-03-10,-13
2020-03-11,-28
2020-03-12,-31
2020-03-13,-28
2020-03-14,-26
2020-03-15,-23
2020-03-16,-10
2020-03-17,-12
2020-03-18,-11
2020-03-19,-13
2020-03-20,-11
2020-03-21,-6
2020-03-22,-7
2020-03-23,-9
2020-03-24,-9
2020-03-25,-9
2020-03-26,-9
2020-03-27,-8
2020-03-28,-3
2020-03-29,-2
2020-03-30,-6
2020-03-31,-6
2020-04-01,-6
2020-04-02,-5
2020-04-03,-5
2020-04-04,-3
2020-04-05,-2
2020-04-06,-5
2020-04-07,-5
2020-04-08,-4
2020-04-09,-5
2020-04-10,-5
2020-04-11,-1
