date,BG,Blagoevgrad Province,Burgas,Dobrich Province,Gabrovo,Haskovo Province,Jambol,Kardzhali Province,Kyustendil Province,Lovec,Montana Province,Pazardzhik,Pernik,Pleven Province,Plovdiv Province,Razgrad,Ruse,Shumen Province,Silistra,Sliven Province,Smoljan,Sofia City Province,Sofia Province,Stara Zagora,Targovishte Province,Varna,Veliko Tarnovo Province,Vidin,Vraca
2020-02-15,0,7,0,-2,2,-2,1,-1,3,3,6,2,0,2,1,-8,-1,-1,1,-1,-12,-2,-3,-1,3,3,-1,9,-4
2020-02-16,7,12,0,-3,3,6,8,8,14,13,6,9,11,7,8,-9,4,11,9,-1,-4,6,10,3,11,8,9,8,1
2020-02-17,5,6,5,1,7,4,3,-2,0,8,3,6,5,8,4,-1,5,5,8,3,-10,3,1,5,2,8,9,10,1
2020-02-18,4,5,1,0,2,3,6,-2,5,5,7,6,6,3,4,2,5,1,8,4,-11,1,5,9,3,8,9,20,-2
2020-02-19,2,8,0,-6,8,9,12,0,14,3,-3,5,9,0,2,-1,-4,-1,6,2,-1,1,3,4,1,5,6,4,-6
2020-02-20,-1,5,-8,-4,-1,-1,-1,-10,17,-1,-3,4,8,0,2,-6,-4,-3,10,-1,-2,-4,-3,3,-3,1,2,-2,-9
2020-02-21,4,5,1,1,4,2,7,-3,5,3,4,7,10,4,7,-5,-1,6,6,6,-16,2,1,8,5,1,6,7,-1
2020-02-22,-1,2,-5,-3,-2,0,3,-3,2,11,5,6,1,1,1,-6,-6,-3,3,-5,-12,-2,-3,2,-1,-3,-1,3,2
2020-02-23,3,4,-5,-3,4,-2,4,3,9,15,5,4,9,3,3,-8,-2,9,9,-3,-21,4,8,0,2,-1,7,3,-1
2020-02-24,0,0,-3,-2,0,-3,-3,-1,-7,0,6,3,0,0,0,-4,-4,3,3,-4,-17,0,0,2,-4,-1,0,-1,-8
2020-02-25,4,0,-2,0,2,-3,2,1,7,5,5,6,8,3,5,3,2,5,5,-2,-14,4,0,8,0,5,12,8,-1
2020-02-26,7,8,2,3,7,3,11,-1,23,6,-1,9,14,1,5,0,4,6,20,2,-2,8,6,8,2,6,13,7,4
2020-02-27,4,8,-2,6,12,1,10,1,20,8,1,5,13,7,3,-3,0,4,9,0,-4,4,1,10,-3,4,7,7,-2
2020-02-28,5,0,6,9,9,6,14,1,1,3,0,10,7,6,4,-2,1,11,10,8,-17,2,2,10,8,6,7,-4,-3
2020-02-29,9,16,9,8,17,11,18,4,19,22,20,18,15,13,10,3,4,9,14,7,-7,6,15,12,10,5,11,15,13
2020-03-01,8,20,4,8,12,10,23,10,27,30,9,17,16,11,7,-3,5,22,12,5,1,3,21,9,20,3,16,13,3
2020-03-02,7,17,8,-2,21,8,4,7,4,18,11,17,8,10,5,4,8,12,4,4,-7,1,9,10,6,4,15,12,4
2020-03-03,-2,1,-5,-10,-7,-9,0,-9,-7,3,-3,-1,6,0,0,-10,0,14,-6,-9,-34,-4,-7,-3,-12,-3,10,-4,-5
2020-03-04,0,0,7,-2,8,7,13,-6,6,5,-3,8,3,-1,0,2,0,7,15,0,-13,-6,-1,4,3,7,6,-6,-5
2020-03-05,5,8,3,1,12,8,5,-1,23,8,7,10,8,6,3,-1,1,9,17,3,-9,3,-1,6,4,5,11,9,2
2020-03-06,5,-1,7,4,12,10,6,6,4,3,1,7,3,6,6,4,3,10,9,7,-19,2,2,5,7,6,8,-1,0
2020-03-07,7,9,13,6,19,20,12,6,8,15,17,16,8,10,9,5,6,14,21,11,-18,0,4,12,18,12,11,14,10
2020-03-08,13,5,9,13,25,26,22,21,24,23,25,20,14,15,19,-1,6,26,32,15,-29,7,13,20,36,16,20,24,12
2020-03-09,5,-2,11,8,5,15,13,10,3,4,7,4,2,8,8,8,5,12,18,11,-22,0,-2,7,9,11,6,10,-4
2020-03-10,3,0,5,2,0,9,18,3,7,1,10,4,8,-1,3,4,-1,5,18,1,-22,-1,-2,8,1,5,5,12,-3
2020-03-11,9,9,11,0,7,17,20,5,19,3,5,9,16,0,9,7,6,11,19,10,-6,8,7,9,7,11,8,13,12
2020-03-12,11,8,9,9,9,16,12,4,27,11,10,10,20,1,10,21,9,9,22,12,-3,11,7,10,3,13,10,12,13
2020-03-13,24,20,29,27,10,31,25,29,15,18,16,23,27,11,29,21,17,24,16,25,-3,23,22,18,16,28,13,16,15
2020-03-14,-1,4,8,11,4,10,8,-6,-7,9,8,6,3,-5,0,11,-7,3,2,1,-20,-7,3,2,3,4,-7,-5,5
2020-03-15,-25,-27,-25,-17,-23,-28,-23,-25,-18,-14,-9,-17,-18,-22,-28,-43,-30,-14,-5,-14,-49,-28,-13,-23,-18,-26,-24,-23,-25
2020-03-16,-18,-18,-16,-16,-18,-12,-20,-27,-29,-11,-11,-13,-16,-14,-20,-12,-21,-16,-10,-13,-35,-21,-13,-18,-23,-17,-18,-25,-20
2020-03-17,-24,-27,-24,-19,-23,-18,-21,-30,-27,-19,-16,-24,-19,-23,-23,-20,-25,-19,-23,-20,-39,-27,-18,-25,-26,-22,-23,-18,-24
2020-03-18,-25,-28,-22,-23,-17,-17,-24,-35,-22,-32,-14,-23,-17,-26,-26,-16,-26,-25,-20,-17,-36,-29,-16,-28,-25,-22,-26,-27,-22
