date,IQ
2020-02-15,19
2020-02-16,12
2020-02-17,16
2020-02-18,15
2020-02-19,12
2020-02-20,11
2020-02-21,13
2020-02-22,17
2020-02-23,14
2020-02-24,15
2020-02-25,5
2020-02-26,12
2020-02-27,12
2020-02-28,10
2020-02-29,15
2020-03-01,6
2020-03-02,10
2020-03-03,5
2020-03-04,5
2020-03-05,1
2020-03-06,-4
2020-03-07,2
2020-03-08,-1
2020-03-09,2
2020-03-10,0
2020-03-11,-3
2020-03-12,-10
2020-03-13,-17
2020-03-14,-24
2020-03-15,-23
2020-03-16,-19
2020-03-17,-31
2020-03-18,-55
2020-03-19,-57
2020-03-20,-59
2020-03-21,-62
2020-03-22,-64
2020-03-23,-63
2020-03-24,-62
2020-03-25,-61
2020-03-26,-62
2020-03-27,-61
2020-03-28,-62
2020-03-29,-61
2020-03-30,-60
2020-03-31,-58
2020-04-01,-60
2020-04-02,-59
2020-04-03,-58
2020-04-04,-60
2020-04-05,-62
2020-04-06,-60
2020-04-07,-56
2020-04-08,-58
2020-04-09,-61
2020-04-10,-60
2020-04-11,-58
