date,IE,County Carlow,County Cavan,County Clare,County Cork,County Donegal,County Dublin,County Galway,County Kerry,County Kildare,County Kilkenny,County Laois,County Leitrim,County Limerick,County Longford,County Louth,County Mayo,County Meath,County Monaghan,County Offaly,County Roscommon,County Sligo,County Tipperary,County Waterford,County Westmeath,County Wexford,County Wicklow
2020-02-15,3,0,0,0,4,1,2,4,3,3,0,0,0,3,0,2,3,2,0,0,0,0,3,3,0,4,3
2020-02-16,2,0,0,0,2,0,2,3,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-17,2,2,1,2,1,1,2,1,1,2,2,1,0,2,0,2,2,2,2,2,1,1,2,2,1,2,2
2020-02-18,1,2,1,2,1,0,1,1,1,1,2,2,0,1,0,2,1,1,3,1,1,1,2,2,2,2,2
2020-02-19,2,2,2,2,2,2,2,3,1,2,3,2,0,2,0,2,2,2,2,2,3,2,2,3,3,3,2
2020-02-20,2,2,1,2,2,2,2,1,1,3,3,2,0,2,0,2,2,2,3,2,2,3,2,2,2,2,2
2020-02-21,3,2,3,4,3,2,2,4,3,2,3,2,0,3,0,3,3,3,3,3,3,3,3,2,4,4,3
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,1,0,-1,3,0,-1,0,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,1
2020-02-25,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,-1,0
2020-02-26,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
2020-02-27,0,0,-1,0,-1,1,0,0,-1,0,1,0,0,-1,0,0,-1,0,-1,0,0,1,0,-1,0,0,0
2020-02-28,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,1,0,0,0,1,0
2020-02-29,3,0,0,0,3,2,2,11,5,2,0,0,0,4,0,2,5,2,0,0,0,0,4,2,0,2,2
2020-03-01,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,-1,1,0,0,0,1
2020-03-03,-1,-1,-1,-1,-1,-2,0,-1,-2,-1,-1,-1,0,-1,0,-1,-2,-1,0,-1,-1,-1,-1,-2,-1,-1,-1
2020-03-04,0,0,-1,-1,0,-1,1,-1,-1,0,1,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,1,0
2020-03-05,0,-1,-1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,0,-1,-1,0,0,0
2020-03-06,0,-1,-1,1,0,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,-1,0,-1,1,0,-1,0,0,0
2020-03-07,1,0,0,0,2,-1,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
2020-03-08,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,2,1,1,2,1,0,2,2,1,2,1,1,0,2,0,1,0,1,1,2,1,1,2,1,2,2,2
2020-03-10,1,1,0,2,1,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2020-03-11,2,1,1,2,2,2,3,3,1,2,1,1,0,2,0,2,1,2,2,2,2,2,2,1,2,2,2
2020-03-12,3,1,1,3,3,2,4,3,2,3,2,1,0,2,0,2,2,3,2,2,1,2,2,2,2,2,3
2020-03-13,12,9,8,12,13,6,14,12,9,12,10,9,0,12,0,9,8,11,9,10,9,9,10,10,11,10,12
2020-03-14,9,0,0,0,11,6,9,10,9,9,0,0,0,9,0,8,8,9,0,0,0,0,8,9,0,9,10
2020-03-15,9,0,0,0,8,0,9,9,0,9,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0
2020-03-16,18,0,15,15,17,13,20,19,14,19,15,15,0,17,0,15,14,18,0,16,0,0,14,14,17,14,19
2020-03-17,29,0,0,0,29,24,30,33,0,31,0,0,0,28,0,28,0,31,0,0,0,0,26,0,0,26,30
2020-03-18,20,0,16,17,20,15,24,20,15,21,18,16,0,19,0,18,15,20,16,17,18,0,15,18,18,17,21
2020-03-19,22,0,17,19,21,17,26,22,17,23,20,18,0,21,0,19,18,21,18,17,0,0,17,18,20,18,23
2020-03-20,23,0,18,22,23,18,28,24,20,23,22,20,0,23,0,20,20,23,0,20,0,0,19,20,22,21,25
2020-03-21,17,0,0,0,17,0,18,20,0,15,0,0,0,18,0,0,0,16,0,0,0,0,16,0,0,0,0
2020-03-22,13,0,0,0,11,0,14,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,21,0,16,19,20,17,26,21,17,22,18,18,0,21,0,18,16,21,0,17,0,0,16,17,19,17,23
2020-03-24,22,0,17,20,21,18,27,23,17,23,20,18,0,21,0,20,17,22,0,18,0,0,17,18,20,18,23
2020-03-25,24,0,19,21,23,22,29,25,19,25,21,20,0,23,0,21,20,24,0,19,0,0,18,20,22,20,25
2020-03-26,25,0,20,22,24,22,30,25,20,26,22,21,0,24,0,23,20,25,0,20,0,0,19,20,23,21,26
2020-03-27,26,0,21,25,25,21,31,26,22,26,23,22,0,25,0,24,22,26,0,22,0,0,21,20,24,22,27
2020-03-28,21,0,0,0,22,0,23,23,0,21,0,0,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0
2020-03-29,19,0,0,0,19,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,29,0,0,26,28,24,34,28,25,32,26,0,0,28,0,27,23,31,0,26,0,0,24,24,27,26,31
2020-03-31,30,0,0,27,29,24,34,30,24,32,27,0,0,28,0,28,23,31,0,26,0,0,25,24,0,25,31
2020-04-01,31,0,0,28,31,27,36,31,26,34,28,0,0,29,0,29,26,33,0,0,0,0,25,26,0,28,32
2020-04-02,33,0,0,30,31,28,38,32,27,35,30,0,0,31,0,31,28,33,0,0,0,0,27,26,0,28,34
2020-04-03,34,0,0,32,33,29,38,34,30,35,0,0,0,33,0,31,29,34,0,0,0,0,29,28,0,30,35
2020-04-04,22,0,0,0,22,0,23,23,0,21,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
2020-04-05,20,0,0,0,20,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,29,0,0,25,28,24,34,28,25,31,26,0,0,28,0,26,23,30,0,25,0,0,23,23,26,25,30
2020-04-07,28,0,0,25,28,22,33,29,24,31,26,0,0,26,0,26,23,30,0,24,0,0,23,23,26,24,30
2020-04-08,29,0,0,25,29,25,34,29,24,31,26,0,0,27,0,27,24,31,0,25,0,0,24,25,27,26,31
2020-04-09,31,0,0,28,30,26,36,30,26,33,28,0,0,28,0,29,25,32,0,26,0,0,25,25,28,26,32
2020-04-10,34,0,0,32,34,30,38,35,31,35,0,0,0,34,0,31,31,35,0,0,0,0,30,28,0,31,35
2020-04-11,21,0,0,0,21,0,22,22,0,20,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
