date,ZM
2020-02-15,-5
2020-02-16,-6
2020-02-17,-4
2020-02-18,0
2020-02-19,0
2020-02-20,-5
2020-02-21,2
2020-02-22,1
2020-02-23,-3
2020-02-24,-4
2020-02-25,-1
2020-02-26,2
2020-02-27,-2
2020-02-28,1
2020-02-29,3
2020-03-01,2
2020-03-02,0
2020-03-03,4
2020-03-04,4
2020-03-05,7
2020-03-06,8
2020-03-07,10
2020-03-08,13
2020-03-09,11
2020-03-10,8
2020-03-11,10
2020-03-12,7
2020-03-13,5
2020-03-14,6
2020-03-15,1
2020-03-16,-2
2020-03-17,0
2020-03-18,0
2020-03-19,-4
2020-03-20,0
2020-03-21,-4
2020-03-22,-8
2020-03-23,-3
2020-03-24,-7
2020-03-25,-8
2020-03-26,-8
2020-03-27,-6
2020-03-28,-5
2020-03-29,-6
2020-03-30,-8
2020-03-31,-4
2020-04-01,-3
2020-04-02,-4
2020-04-03,-2
2020-04-04,-2
2020-04-05,-6
2020-04-06,-5
2020-04-07,-3
2020-04-08,-4
2020-04-09,-3
2020-04-10,-2
2020-04-11,-4
