date,total,Christ Church,Saint George
2020-02-29,NA,1.3802098008542099,NA
2020-03-01,NA,5.15681727264179,NA
2020-03-02,NA,3.2483434561509656,NA
2020-03-03,NA,5.650504007254917,NA
2020-03-04,NA,4.872515184226449,NA
2020-03-05,NA,0.3198398494672595,NA
2020-03-06,NA,2.2734562272943037,NA
2020-03-07,NA,-2.0698344612670994,NA
2020-03-08,NA,5.15681727264179,NA
2020-03-09,NA,4.2232306850076275,NA
2020-03-10,NA,3.9888735580706562,NA
2020-03-11,NA,3.2483434561509656,NA
2020-03-12,NA,NA,NA
2020-03-13,NA,-0.3246422496094105,NA
2020-03-14,NA,-0.6896246604128897,NA
2020-03-15,NA,1.0315555505340441,NA
2020-03-16,NA,0.649284499218821,NA
2020-03-17,NA,0.9969782695105566,NA
2020-03-18,NA,-11.04455984691897,NA
2020-03-19,NA,-15.66254782361141,NA
2020-03-20,NA,-18.51613398807756,NA
2020-03-21,NA,-12.419967247631027,NA
2020-03-22,NA,-19.597634500089978,NA
2020-03-23,NA,-26.961634878064388,NA
2020-03-24,NA,-30.912089234997833,NA
2020-03-25,NA,-34.75785126883239,NA
2020-03-26,NA,-35.8009325797076,NA
2020-03-27,NA,-35.731778017660616,NA
2020-03-28,NA,-34.5004426212131,NA
2020-03-29,NA,-50.540459095997576,NA
2020-03-30,NA,-63.99294237419109,NA
2020-03-31,NA,-64.81607375855577,NA
2020-04-01,NA,-68.54081530880812,NA
2020-04-02,NA,-69.3639466931728,NA
2020-04-03,NA,-71.78915876495908,NA
2020-04-04,NA,-82.80010181088299,NA
2020-04-05,NA,-78.38957752033147,NA
2020-04-06,NA,-83.48300311109688,NA
2020-04-07,NA,-82.10087235018581,NA
2020-04-08,NA,-79.26073290611768,NA
2020-04-09,NA,-80.23177821486063,NA
2020-04-10,NA,-90.62993500264605,NA
2020-04-11,NA,-68.99992476239775,NA
