date,GB,Aberdeen City,Aberdeenshire,Angus council,Antrim And Newtownabbey,Ards And North Down,Argyll and Bute Council,Bath and North East Somerset,Bedford,Belfast,Blackburn with Darwen,Blackpool,Blaenau Gwent,Borough of Halton,Bracknell Forest,Bridgend County Borough,Brighton and Hove,Buckinghamshire,Caerphilly County Borough,Cambridgeshire,Cardiff,Carmarthenshire,Causeway Coast and Glens,Central Bedfordshire,Ceredigion,Cheshire East,Cheshire West and Chester,City of Bristol,Clackmannanshire,Conwy Principal Area,Cornwall,County Durham,Cumbria,Darlington,Denbighshire,Derby,Derbyshire,Derry And Strabane,Devon,Dorset,Dumfries and Galloway,Dundee City Council,East Ayrshire Council,East Dunbartonshire Council,East Lothian Council,East Renfrewshire Council,East Riding of Yorkshire,East Sussex,Edinburgh,Essex,Falkirk,Fermanagh And Omagh,Fife,Flintshire,Glasgow City,Gloucestershire,Greater London,Greater Manchester,Gwynedd,Hampshire,Hartlepool,Herefordshire,Hertfordshire,Highland Council,Inverclyde,Isle of Anglesey,Isle of Wight,Kent,Kingston upon Hull,Lancashire,Leicester,Leicestershire,Lincolnshire,Lisburn and Castlereagh,Luton,Medway,Merseyside,Merthyr Tydfil County Borough,Mid And East Antrim,Mid Ulster,Middlesbrough,Midlothian,Milton Keynes,Monmouthshire,Moray,Na h-Eileanan an Iar,Neath Port Talbot Principle Area,Newport,Norfolk,North Ayrshire Council,North East Lincolnshire,North Lanarkshire,North Lincolnshire,North Somerset,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Orkney,Oxfordshire,Pembrokeshire,Perth and Kinross,Peterborough,Plymouth,Portsmouth,Powys,Reading,Redcar and Cleveland,Renfrewshire,Rhondda Cynon Taff,Rutland,Scottish Borders,Shetland Islands,Shropshire,Slough,Somerset,South Ayrshire Council,South Gloucestershire,South Lanarkshire,South Yorkshire,Southampton,Southend-on-Sea,Staffordshire,Stirling,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Surrey,Swansea,Swindon,Thurrock,Torbay,Torfaen Principal Area,Tyne and Wear,Vale of Glamorgan,Warrington,Warwickshire,West Berkshire,West Dunbartonshire Council,West Lothian,West Midlands,West Sussex,West Yorkshire,Wiltshire,Windsor and Maidenhead,Wokingham,Worcestershire,Wrexham Principal Area,York
2020-02-15,-12,-3,-9,-10,-11,-10,-11,-13,-11,-9,-11,-1,-22,-8,-9,-11,-9,-11,-17,-10,-15,-14,-10,-11,-21,-14,-12,-17,-17,-17,-19,-8,-12,-6,-11,6,-15,-6,-22,-15,-11,-10,-11,-10,-14,-6,-13,-12,-4,-9,-14,-11,-5,-7,-19,-16,-11,-8,-19,-15,-9,-14,-12,10,-19,-17,-12,-11,-6,-12,-7,-12,-12,-10,-12,-11,-10,-21,-13,-10,9,-7,-8,-22,1,-8,-19,-17,-4,-14,-8,-7,-8,-18,-11,-11,-4,-6,-11,-4,-12,-20,-10,-9,-22,-10,-18,-18,-14,-4,-15,-15,-9,0,-12,-8,-18,-14,-10,-7,-7,-10,-10,-12,-11,-9,-14,-9,-14,-11,-19,-8,-23,-13,-10,-14,-4,-12,-17,-10,-10,-10,-15,-9,-18,-18,-8,-14,-15,-9
2020-02-16,-7,6,1,4,-6,-2,12,-2,-10,-1,-2,21,-17,10,-10,-11,-18,-16,-17,-10,-13,-9,-2,-8,-17,-6,0,-7,-8,-2,3,-2,7,1,1,-6,-6,-7,-10,-15,5,-5,2,-5,3,2,-7,-21,6,-16,0,2,0,-5,3,-11,-9,1,7,-16,2,-19,-15,5,2,12,-10,-16,3,1,-6,-8,-9,0,-4,-16,-3,-32,-4,-2,-2,-3,-6,-15,1,NA,-16,-12,-7,-2,0,-4,-5,-13,6,-4,3,-13,-11,NA,-10,0,4,-5,-12,-18,-11,-11,1,-3,-24,-17,8,NA,-9,-12,-5,-3,-6,-1,-2,-14,-27,-11,-6,-1,-4,-15,-17,-9,-12,-13,-11,-15,6,-13,0,-9,-14,2,-1,-5,-24,-2,-12,-21,-12,-9,-8,-1
2020-02-17,10,11,6,13,8,3,11,22,9,7,4,21,4,4,14,13,14,9,3,14,7,10,17,12,-3,7,20,5,-3,21,30,6,18,7,17,9,8,7,18,14,13,8,4,3,2,4,10,7,9,9,1,9,3,7,0,12,11,7,28,9,2,-2,9,18,-2,26,21,10,7,8,7,11,11,15,9,11,8,7,3,4,-1,8,13,16,4,0,8,1,16,2,7,1,6,8,17,7,10,6,6,0,11,21,13,8,7,18,12,9,15,2,0,17,10,0,8,3,13,6,6,3,8,13,15,10,9,7,5,13,7,13,3,16,24,3,11,9,13,8,20,3,1,7,9,7,9,11,15,5,6,25
2020-02-18,7,5,8,7,10,7,10,26,9,8,10,17,1,8,12,11,13,6,2,7,7,7,15,8,-8,9,19,11,-7,20,31,6,17,10,20,5,7,8,18,10,13,3,4,1,1,2,12,13,7,10,5,8,2,9,1,8,4,7,22,8,5,0,6,14,-3,29,18,11,10,8,7,10,11,17,9,14,10,11,3,2,-1,4,11,9,10,0,-3,-2,15,7,9,7,5,12,17,5,11,2,6,0,10,22,6,7,4,23,8,4,14,2,3,14,10,0,6,7,13,6,9,3,8,10,16,8,11,6,5,15,8,12,3,11,21,6,9,11,10,6,14,1,4,5,8,5,10,6,8,1,7,30
2020-02-19,6,2,3,7,5,-1,7,22,6,3,-2,15,-4,2,11,6,10,4,1,9,3,5,8,6,-2,2,12,5,-6,14,23,7,8,5,16,5,3,4,14,12,3,1,-2,-2,5,-5,10,10,9,9,3,4,4,7,-3,8,3,2,12,5,8,2,2,15,-2,13,14,10,9,1,1,7,8,5,2,13,2,8,-2,-2,0,3,10,8,2,0,-1,7,14,0,8,0,0,2,16,2,9,0,5,0,8,11,9,3,6,12,8,3,10,-1,-3,5,7,0,5,0,8,-3,7,0,6,11,12,2,10,5,1,12,5,8,3,17,18,3,10,4,10,4,7,2,-2,5,8,5,9,1,4,4,4,26
2020-02-20,5,-1,4,8,3,8,5,16,2,6,3,15,-3,2,14,10,10,4,3,8,10,10,10,4,-3,1,8,7,-5,12,24,5,14,8,10,8,2,6,15,9,6,2,0,0,1,0,6,8,7,5,-1,3,1,4,14,7,2,3,17,5,7,6,4,7,0,28,18,7,6,3,3,5,5,8,2,9,4,9,0,0,0,4,9,7,5,0,2,1,11,2,5,-1,2,5,13,4,7,4,3,-7,6,14,6,2,4,9,6,4,5,3,-1,3,2,0,8,1,9,0,10,-1,4,10,6,5,3,7,3,5,3,13,4,22,19,3,7,8,9,4,6,3,-1,6,5,3,6,2,7,1,3,27
2020-02-21,5,0,4,6,2,-1,-7,15,3,-1,-4,5,-2,-1,13,8,10,5,2,9,9,5,3,5,-9,1,7,7,-14,6,19,7,1,0,9,20,4,-1,13,10,-7,5,-7,-8,-2,-4,7,9,-1,6,-11,0,-1,6,-7,5,3,2,8,7,1,7,4,2,-13,10,11,6,10,-3,2,6,10,7,3,8,5,9,-3,-2,-1,-4,10,17,-2,4,6,1,9,-10,3,-7,2,9,6,5,3,1,6,-2,7,8,1,4,1,11,9,4,2,-15,3,5,-2,-2,6,-1,9,-12,4,-7,3,4,9,6,-8,1,5,8,5,10,1,11,13,3,6,14,10,6,6,-7,-5,6,5,5,9,6,7,4,3,14
2020-02-22,-4,0,0,-1,-4,-6,-12,11,-7,-5,-3,4,-3,-5,-1,-1,1,-2,-3,-3,20,-1,-7,-3,-7,-3,-3,-3,-22,0,3,-4,-1,-5,0,-5,-5,-3,-1,0,0,-2,-10,-9,-9,5,-4,-2,-6,-2,-7,2,-7,-2,-14,-2,-4,-1,4,-4,-6,0,-4,-1,-6,3,0,-3,-3,-3,1,-4,-1,-6,-3,-2,-1,-1,-9,-7,-8,-9,2,3,-2,-5,-3,1,0,-5,-4,-6,-1,-5,-1,-5,-3,7,-4,-20,-3,0,-6,-3,-3,-7,-4,-7,-5,-3,-5,-4,-4,-24,-4,-3,-1,-11,-5,-4,3,9,1,-4,-13,-6,-2,-1,-5,4,-9,-3,2,-6,-4,-1,-3,-2,-5,-8,-8,-3,-5,-2,-1,-7,-2,-4,-6,4
2020-02-23,-1,3,5,18,-2,0,10,6,-7,1,-4,12,-2,3,-3,-1,2,-6,-2,-2,1,4,-4,-2,-15,0,-1,3,1,-4,-2,-2,1,-4,2,-1,2,-4,-4,-6,2,0,0,1,13,16,4,-10,1,-6,7,2,8,-1,13,-2,-1,6,2,-5,-3,-2,-9,4,1,3,-5,-5,-1,0,-1,3,0,-4,-1,-2,-3,-2,-3,6,-5,-3,-5,7,0,NA,-4,0,-3,0,-2,0,6,-4,6,-5,1,-3,-3,NA,-4,0,22,0,-8,-8,2,-5,-1,-4,-4,2,9,NA,-1,-3,1,1,-6,0,2,-6,-4,-2,-6,-2,-4,-7,-5,-1,-6,-9,-2,0,2,1,-3,-3,-3,3,-1,0,-9,1,-2,-8,-1,-3,-4,0
2020-02-24,-3,-4,-11,-5,0,-1,1,-4,-5,1,-5,-6,-2,-1,-3,-6,-5,-4,-7,0,-10,0,-6,0,-14,-3,-1,-7,-8,-2,1,-19,-5,-14,1,0,-5,-3,-2,-4,-5,-11,-1,-2,-9,8,-5,-8,-7,-3,-6,-5,-7,-2,-2,-6,-3,-3,1,-4,-9,0,-4,0,-4,5,-5,-2,-5,-5,-6,-3,-3,2,-3,-1,10,-3,-7,-15,-7,-8,1,4,-9,0,-1,-5,-3,2,-3,-1,-2,-10,-11,-6,-10,-2,-4,0,-2,0,-6,-2,-6,-4,-2,-3,2,-3,-6,-1,-11,0,-6,-7,-3,1,-2,0,-3,-5,-1,-2,-3,-7,-4,-3,-3,-4,-7,-1,-3,-5,-9,-5,-1,-3,3,-1,-6,-3,-6,-8,-2,-8,1,-3,-4,-5
