date,total,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South East Sulawesi,South Kalimantan,South Sulawesi,South Sumatra,Special Region of Yogyakarta,West Java,West Kalimantan,West Nusa Tenggara,West Papua,West Sulawesi,West Sumatra
2020-02-29,-6.962524015609802,3.9227219199504333,-2.442327156658624,0.2302339364430387,7.428276260482405,-10.685194515864028,-16.92510210756802,-16.330562844267785,-0.34738475066232627,-12.657881616310268,1.373926619828259,-3.075202960427046,36.88049337498016,-1.396401751335659,2.8790595731988136,-9.50532308878876,-11.421298250172908,2.709625597265614,-8.529914915827288,-6.555374187477426,-7.105250109342843,-10.695491213782828,-0.17945060620827888,8.254553715147035,-3.577693475999006,19.740218902637476,-1.3423849161609136,2.3639949063356918,-16.191723740867594,-4.451441363042441,1.6050790363905976,2.0239738383913592,-2.050855575187195,-7.0003199999999985,1.940683426248535
2020-03-01,-8.243583144512801,11.773019412313499,-20.190096955813477,9.361254536121727,5.774854455766674,-10.945104652736395,-17.735995665898553,-13.524699463784042,-0.1948503700598884,-11.280633801421608,2.69961143418502,-4.070633208459684,34.492659401141175,-10.922750802516584,12.914776443930357,-6.302193421966111,-10.573998178575655,5.858080233975235,-9.184683298924748,-26.712743627350058,-9.603683753132538,-0.649748459708199,-1.652636734661584,4.567782902677887,-3.212230163934591,27.242716987013104,-3.8266126130448344,4.707939775097454,-20.12513162109507,-6.252828850081062,-14.781724325080294,-32.20595562673689,-0.7593969936424284,-1.9161599999999996,-4.7690337111398975
2020-03-02,-0.2183623515175568,5.4263834527401436,-3.443123154659006,0.3534711887299764,12.181985167647515,-1.6470601636615634,-2.7049161467847687,1.9156420500621958,-4.745295375902939,-3.964601719558132,-1.2253418589760456,-5.786059121331466,6.572847620108361,5.208097014636721,-8.041112114491963,-6.564745034000755,-7.368826867013201,-3.5221300196422907,-11.087662879195033,-19.445348187551495,-3.7059619871633096,3.72624521664761,-2.7349775637293186,8.043688526342974,-7.04190097614643,44.29183292685757,-9.049343920166958,8.133631909157415,-17.12240477002215,6.359747450265654,-1.2908973917748154,-3.780068786407391,2.1185725045565835,-10.577279999999998,-9.791410251217071
2020-03-03,-2.1698747745244624,4.860447575647567,-8.291209921895472,0.6792378788838196,12.794866446580269,-9.88909939292533,-4.37126850082123,-7.532129352903594,-5.459746732789196,-4.912056527026613,NA,-3.4385833228156595,19.391694749364994,-1.3097285391837907,-3.0353100424980455,-4.956974435214066,-3.5320144387283623,-0.2998984483536553,-5.852346225293293,-7.05044399781615,-0.49642831894248624,-0.2985589387760797,-6.777783629248817,3.2274890998685244,-6.061882252478961,9.105010848317574,-3.0541895554969174,4.462565505740317,-12.659388162923756,-0.23961222005654145,-7.329639455356709,-4.458887336569958,6.182555651425171,-15.277439999999997,0.18372189884764406
2020-03-04,-4.801545485036055,8.549223446919937,-5.633326704129073,-0.9897193284439341,0.4664492012130596,2.2977981359790483,-12.737907413297329,-0.8207174190624318,-9.115651403357305,-4.566311929946381,-1.6373268777026373,-2.2537313965166152,24.227494990454016,-7.600277670028292,-10.659754238858723,-7.534753898826928,-8.849685023820616,-9.922518629873656,-1.4208662607273415,-6.5372152562101755,-1.5343276807469506,-0.9033321737327539,-3.324064108716705,1.3258509816584005,-14.447341773241147,10.99967846633558,-10.347590375896564,-0.7122537157214968,-24.46541043930185,-3.366026645097072,2.734614254193561,-9.675324653448635,8.18794414546435,-11.8944,6.539532641613772
2020-03-05,-1.378917812360868,3.355815312365416,-5.146400958948118,-1.335547896877046,13.44459818215771,2.6279802728206123,-1.7612956858362143,2.0060923456665245,-3.26128346655793,0.9493649986125713,-6.826215474216947,-5.752233821641036,44.92852193505972,1.4522578213890855,-7.108431844045312,-4.715426952142194,-4.743538523003165,3.4818880553264644,-3.2068555247093187,-6.805776292320565,-1.303363926181045,2.3454101248082413,-12.482621749126666,-0.6441498233329485,-9.107730434868438,-7.6047040729302875,-8.940916832585698,3.4657922092078195,-15.718168492388118,3.86911684417993,-4.84845873322482,-10.479921463966642,4.745021979383582,-8.878079999999999,-10.090200076185084
2020-03-06,-3.3271952375675133,3.721780708015333,-13.571371115191717,-7.589121954786305,13.512480602292666,33.73729839616996,-7.197285836126092,5.902119815276119,-4.1489351523863105,-13.104866344027254,-3.807243287810611,-4.882440401029992,4.086086324851192,18.96891399728171,1.2008137918366912,0.417218379851415,-10.409138888626869,5.004375705275213,-5.767433898955006,-9.527704515958954,-8.059772514104845,-2.1549831093709337,-7.0991035628783,3.3160717362610974,-4.507701430647135,6.422585752477323,-9.077170340873655,7.160727704974834,-9.964955443003806,2.214742432395124,-4.5523116845235405,-15.59650428407459,3.4158353943330124,-11.111039999999997,5.506822178617542
2020-03-07,-4.445695727007443,13.674680447003649,-21.139890850069605,-6.212494973813613,19.18066268356155,11.917361090666367,-14.603834526014902,0.2989620296816747,5.212739445491055,-12.358936702260234,-4.309922900823618,-2.912841521912984,27.07214041907698,14.746965529795137,-2.3032476585590507,-2.7983228177219623,-23.947728833549018,3.83831688212378,2.967214070376819,-7.888622035783448,-0.6478485397782253,-6.202753337008168,-6.847308995004903,2.3195170768446522,-3.331486613134558,-2.1096858769584723,-0.8386307481948809,2.863336318295937,-14.942117748451347,4.770287902878636,5.403734449539723,-8.9244956488841,-6.666248004063661,-11.333759999999998,4.650097955570107
2020-03-08,-3.7914174219048378,10.159665333878056,-20.04093985995765,0.4069695308080269,15.633321357080527,-1.4121784103398676,-7.9829903472444474,18.232875377083026,-2.015422009508341,-6.615947027554609,1.393223342016858,-7.671577969789405,25.445658869877967,1.4301080005058304,3.7943786803899946,-10.975612116182763,-12.999921799856928,-0.6505784231058529,-1.6529599527186603,-6.329821146473684,-8.437364710366118,-2.81717152486147,-5.363788014885152,3.029141022728633,-3.3353335953668153,9.421270888373506,-5.955813562981265,-2.511028515211175,-16.09991200901953,-1.6190530885095389,1.0279719671265624,-12.174567490892995,2.5316457737098537,-3.4483199999999994,-5.593848341229584
2020-03-09,-1.057035531234988,8.101716689905052,-15.880900341346445,6.71690791340666,11.874574779322067,1.8530630128863292,-0.5347828485047251,10.905449324757651,-2.9542465197968935,-4.228208097442508,-8.238735538422404,-3.664729612174531,22.396369668517377,6.7951798327064905,-5.813096163373283,-4.6018137091162945,-1.9016327398743746,-0.8805325049105727,-1.5123828791141622,-2.0538706996484892,-1.2104034108578379,1.863122608323805,-6.119171718505342,0.7385095881859064,-3.041039454599155,1.348926207433685,-0.03742173819176242,3.820009539680575,-25.95952557021872,3.6801000331393117,4.328303019480263,-10.693072408996473,4.841760449911279,-6.730559999999999,1.9580886587709432
