date,LY
2020-02-15,6
2020-02-16,-3
2020-02-17,-4
2020-02-18,4
2020-02-19,1
2020-02-20,7
2020-02-21,8
2020-02-22,10
2020-02-23,3
2020-02-24,4
2020-02-25,7
2020-02-26,7
2020-02-27,11
2020-02-28,8
2020-02-29,9
2020-03-01,2
2020-03-02,7
2020-03-03,3
2020-03-04,-1
2020-03-05,5
2020-03-06,8
2020-03-07,-1
2020-03-08,-2
2020-03-09,-3
2020-03-10,-7
2020-03-11,-3
2020-03-12,2
2020-03-13,-1
2020-03-14,1
2020-03-15,-5
2020-03-16,-12
2020-03-17,-20
2020-03-18,-26
2020-03-19,-33
2020-03-20,-41
2020-03-21,-39
2020-03-22,-49
2020-03-23,-46
2020-03-24,-42
2020-03-25,-60
2020-03-26,-57
2020-03-27,-56
2020-03-28,-52
2020-03-29,-52
2020-03-30,-58
2020-03-31,-54
2020-04-01,-54
2020-04-02,-53
2020-04-03,-54
2020-04-04,-51
2020-04-05,-49
2020-04-06,-49
2020-04-07,-50
2020-04-08,-51
2020-04-09,-51
2020-04-10,-54
2020-04-11,-47
