date,PH
2020-02-15,4
2020-02-16,5
2020-02-17,0
2020-02-18,1
2020-02-19,-3
2020-02-20,-2
2020-02-21,-2
2020-02-22,0
2020-02-23,0
2020-02-24,-1
2020-02-25,-2
2020-02-26,-1
2020-02-27,-1
2020-02-28,1
2020-02-29,6
2020-03-01,7
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,2
2020-03-06,-1
2020-03-07,2
2020-03-08,2
2020-03-09,1
2020-03-10,3
2020-03-11,5
2020-03-12,8
2020-03-13,9
2020-03-14,5
2020-03-15,-10
2020-03-16,-4
2020-03-17,-21
2020-03-18,-36
2020-03-19,-41
2020-03-20,-45
2020-03-21,-48
2020-03-22,-53
2020-03-23,-50
2020-03-24,-51
2020-03-25,-51
2020-03-26,-52
2020-03-27,-51
2020-03-28,-53
2020-03-29,-59
2020-03-30,-59
2020-03-31,-57
2020-04-01,-58
2020-04-02,-58
2020-04-03,-58
2020-04-04,-58
2020-04-05,-62
2020-04-06,-57
2020-04-07,-54
2020-04-08,-50
2020-04-09,-65
2020-04-10,-78
2020-04-11,-60
