date,total
2020-02-29,-1.3009934367049092
2020-03-01,0.010049265999503159
2020-03-02,-4.843746211760523
2020-03-03,-3.2667844703000273
2020-03-04,-3.6455644964351466
2020-03-05,-4.120972080257796
2020-03-06,-4.018160358878264
2020-03-07,-2.077105980051153
2020-03-08,0.8240398119592591
2020-03-09,-4.154984980563807
2020-03-10,-3.2374096927630176
2020-03-11,-3.372688273525561
2020-03-12,-3.235090631378517
2020-03-13,-3.3216689230665444
2020-03-14,-2.0794250414356537
2020-03-15,0.7134978859647244
2020-03-16,-4.004245990571259
2020-03-17,-2.7125287994043528
2020-03-18,-3.0773944572324674
2020-03-19,-2.5749311572573097
2020-03-20,-2.7805546000163743
2020-03-21,0.934581737953794
2020-03-22,4.7571679200724954
2020-03-23,3.303116431990538
2020-03-24,5.831666361557834
2020-03-25,6.080578950160912
2020-03-26,8.261269672053096
2020-03-27,8.989454946786326
2020-03-28,7.69851077608092
2020-03-29,9.34736342046094
2020-03-30,7.167445719030254
2020-03-31,8.585938265883199
2020-04-01,10.519262440095307
2020-04-02,12.335860524620879
2020-04-03,12.769525003522514
2020-04-04,11.884416575104737
2020-04-05,11.392002541129083
2020-04-06,8.851857304639283
2020-04-07,19.75144581179271
2020-04-08,11.075837172375483
2020-04-09,11.73367758511219
2020-04-10,21.415758865402733
2020-04-11,11.000081167148458
