date,AE,Abu Dhabi,Ajman,Dubai,Fujairah,Ras al Khaimah,Sharjah,Umm Al Quawain
2020-02-15,2,2,3,3,6,2,3,2
2020-02-16,2,2,2,1,4,1,3,4
2020-02-17,2,2,3,1,2,2,3,3
2020-02-18,2,2,2,1,2,2,3,6
2020-02-19,2,2,2,1,3,2,3,3
2020-02-20,1,1,2,0,1,1,2,3
2020-02-21,-1,-1,-2,-1,3,1,-1,2
2020-02-22,3,3,4,4,5,2,3,8
2020-02-23,4,3,3,4,3,3,4,5
2020-02-24,3,3,4,4,3,3,4,6
2020-02-25,3,2,3,4,3,2,3,6
2020-02-26,3,2,2,3,3,2,3,3
2020-02-27,3,2,3,3,2,1,2,1
2020-02-28,1,1,-1,2,4,1,0,2
2020-02-29,5,4,4,5,7,3,5,4
2020-03-01,4,3,3,5,5,4,4,4
2020-03-02,4,3,4,5,5,3,5,4
2020-03-03,4,3,3,4,4,3,4,5
2020-03-04,3,3,2,4,3,2,4,3
2020-03-05,3,2,2,4,5,3,4,4
2020-03-06,0,1,-1,0,5,2,-1,-1
2020-03-07,4,4,4,4,8,4,4,3
2020-03-08,-1,-2,-3,1,-2,-4,-1,-2
2020-03-09,-1,-3,-2,0,-2,-5,-2,-3
2020-03-10,-2,-4,-4,-1,-3,-6,-2,0
2020-03-11,-2,-4,-4,-1,-4,-6,-2,-2
2020-03-12,-3,-5,-3,-1,-4,-6,-3,-1
2020-03-13,-2,-1,-2,-2,4,0,-2,1
2020-03-14,2,2,2,1,5,2,2,5
2020-03-15,-4,-5,-3,-3,-3,-6,-3,0
2020-03-16,-6,-7,-4,-7,-6,-7,-5,-2
2020-03-17,-9,-9,-6,-10,-6,-8,-7,-1
2020-03-18,-11,-10,-8,-12,-7,-8,-8,-7
2020-03-19,-12,-11,-8,-14,-7,-10,-9,-6
2020-03-20,-12,-9,-10,-16,-3,-7,-11,-11
2020-03-21,-8,-5,-5,-10,-1,-4,-6,-2
2020-03-22,-17,-14,-13,-20,-11,-15,-14,-9
2020-03-23,-20,-17,-15,-24,-12,-17,-17,-12
2020-03-24,-28,-23,-22,-33,-16,-20,-24,-16
2020-03-25,-35,-30,-28,-41,-21,-23,-30,-20
2020-03-26,-40,-34,-33,-47,-24,-28,-36,-24
2020-03-27,-52,-45,-50,-59,-39,-40,-48,-38
2020-03-28,-56,-46,-54,-63,-36,-42,-58,-46
2020-03-29,-45,-39,-38,-52,-28,-31,-40,-27
2020-03-30,-46,-40,-38,-52,-29,-33,-41,-28
2020-03-31,-46,-40,-38,-53,-29,-32,-41,-26
2020-04-01,-46,-41,-39,-53,-30,-33,-41,-29
2020-04-02,-47,-41,-39,-54,-30,-33,-41,-29
2020-04-03,-44,-38,-39,-52,-30,-32,-37,-27
2020-04-04,-37,-29,-30,-45,-19,-23,-31,-20
2020-04-05,-57,-42,-46,-70,-29,-33,-51,-33
2020-04-06,-56,-42,-45,-68,-31,-35,-50,-33
2020-04-07,-55,-44,-46,-66,-32,-34,-49,-32
2020-04-08,-55,-44,-46,-65,-32,-34,-49,-34
2020-04-09,-55,-45,-46,-65,-34,-36,-49,-34
2020-04-10,-49,-41,-43,-59,-31,-33,-41,-29
2020-04-11,-45,-33,-37,-56,-22,-26,-39,-23
