date,total,Blagoevgrad Province,Burgas,Dobrich Province,Gabrovo,Lovec,Montana Province,Pazardzhik,Pernik,Sliven Province,Smoljan,Varna,Veliko Tarnovo Province
2020-02-29,8.596169325122464,15.357485102001702,3.166210469658015,NA,NA,NA,NA,NA,NA,NA,NA,1.601577179699461,9.840094501785961
2020-03-01,16.302233231411424,7.129644899469155,16.71285496008902,NA,NA,NA,NA,NA,NA,NA,NA,-1.0456736702885168,13.466504499711375
2020-03-02,5.327961973231131,22.038652338439736,6.734815580944808,NA,NA,NA,NA,NA,NA,NA,NA,1.4328892182230366,9.09483651492417
2020-03-03,-17.364182845873813,-9.572314906021154,-16.575193635321284,NA,NA,NA,NA,NA,NA,NA,NA,-16.954098582707218,-12.00480004609843
2020-03-04,6.754189606077336,7.029983196573349,10.597996673902427,NA,NA,NA,NA,NA,NA,NA,NA,6.000882538658482,2.7034809703813663
2020-03-05,7.717942537323218,5.5455987947887095,6.798351576991457,NA,NA,NA,NA,NA,NA,NA,NA,-6.593207312479108,1.352220677192527
2020-03-06,5.020701383811738,-2.4052968679660722,12.154628577045331,NA,NA,NA,NA,NA,NA,NA,NA,-1.3427945115254007,10.84753732165454
2020-03-07,4.199492024976916,-1.5361318244420772,10.555639343204662,NA,NA,NA,NA,NA,NA,NA,NA,-4.270872479198562,21.319564497867123
2020-03-08,0.24232407309879997,-23.173262494484284,16.71285496008902,NA,NA,NA,NA,NA,NA,NA,NA,-10.977177402213,3.8472983187736247
2020-03-09,-7.887411006745254,-12.96368766129284,2.2449385269816022,NA,NA,NA,NA,NA,NA,NA,NA,-3.821357400036954,-2.598799113979388
2020-03-10,-9.437968311083326,-8.204841348018132,-0.8288559484267408,NA,NA,NA,NA,NA,NA,NA,NA,-13.186414624958216,-5.33589352448983
2020-03-11,-5.979702862643917,-1.4058049821937164,4.891309028985216,NA,NA,NA,NA,NA,NA,NA,NA,-7.092562016622388,NA
2020-03-12,-2.2244716383481347,8.318877334985446,6.798351576991457,NA,NA,NA,NA,NA,NA,NA,NA,-10.36089127022811,2.7034809703813663
2020-03-13,-9.327892996832565,NA,2.278631858218462,NA,NA,NA,NA,NA,NA,NA,NA,-18.80391543298846,-4.821127698513129
2020-03-14,-27.33114619234929,-12.286179738722316,-14.777895080486527,NA,NA,NA,NA,NA,NA,NA,NA,-29.364165203143255,-14.76014175267894
2020-03-15,-46.11680521865561,-46.34556670336381,-36.21166708016293,NA,NA,NA,NA,NA,NA,NA,NA,-47.56712977337195,-44.24873258591512
2020-03-16,-41.2932891100125,-38.89106298387852,-32.17905666441425,NA,NA,NA,NA,NA,NA,NA,NA,-38.215490909022684,-29.88234827474821
2020-03-17,-47.66498679678683,-42.38976372688415,-36.464848397742756,NA,NA,NA,NA,NA,NA,NA,NA,-47.565212864718816,-28.011520235564234
2020-03-18,-50.29491570777087,-44.989592572617994,-37.50260299983803,NA,NA,NA,NA,NA,NA,NA,NA,-49.646975662030144,-35.14909415097251
2020-03-19,-49.65901299307042,-52.68366769329512,-37.39189634005978,NA,NA,NA,NA,NA,NA,NA,NA,-55.099622325890245,-35.14909415097251
2020-03-20,-49.341457590088005,-50.512192512892284,-41.782618733525936,NA,NA,NA,NA,NA,NA,NA,NA,-56.859344469473854,-36.15941812285216
2020-03-21,-53.152914334612596,-52.214107746959115,-51.72215144839946,NA,NA,NA,NA,NA,NA,NA,NA,-60.86472510021236,-47.560136630630915
2020-03-22,-60.88194359423445,-64.17063723764146,-52.92452204025195,NA,NA,NA,NA,NA,NA,NA,NA,-71.08951585606745,-55.791587926239686
2020-03-23,-61.76967328686111,-62.226275745568486,-54.629404600837034,NA,NA,NA,NA,NA,NA,NA,NA,-61.6228624725297,-48.07106092059286
2020-03-24,-64.4724578015219,-54.697025748911344,-58.01221505701772,NA,NA,NA,NA,NA,NA,NA,NA,-65.46051359611836,-54.68810670600232
2020-03-25,-62.335096124091635,-52.01957576919134,-57.068801782385655,NA,NA,NA,NA,NA,NA,NA,NA,-64.37746020709359,-51.371900741268085
2020-03-26,-60.233370339764136,-55.45598794788709,-50.988599494042695,NA,NA,NA,NA,NA,NA,NA,NA,-64.9899125217722,-44.61271812331283
2020-03-27,-57.93049973658992,-56.525434682807465,-52.4181594050923,NA,NA,NA,NA,NA,NA,NA,NA,-65.36562661778787,-48.21223736913498
2020-03-28,-56.40053205937789,-55.2854131102385,-50.667068847382374,NA,NA,NA,NA,NA,NA,NA,NA,-67.80489287891002,-44.28042525803682
2020-03-29,-57.443475864185466,-55.25858111330502,-51.53154346025951,NA,NA,NA,NA,NA,NA,NA,NA,-75.79360969087591,-55.791587926239686
2020-03-30,-54.56092806653961,-47.966027661025414,-46.39764244636891,NA,NA,NA,NA,NA,NA,NA,NA,-58.75708403608363,-36.37838567569299
2020-03-31,-58.40168543428203,-51.962078632905296,-48.06690634250359,NA,NA,NA,NA,NA,NA,NA,NA,-62.634990241388245,-44.017280041026346
2020-04-01,-63.02880817649211,-53.425380751385056,-51.362114137468446,NA,NA,NA,NA,NA,NA,NA,NA,-62.19505970549235,-51.371900741268085
2020-04-02,-59.49214376322663,-54.07030696339349,-50.988599494042695,NA,NA,NA,NA,NA,NA,NA,NA,-63.1055913157344,-43.260497446120304
2020-04-03,-55.71315527686233,-50.512192512892284,-45.58033849722337,NA,NA,NA,NA,NA,NA,NA,NA,-64.9180284472794,-43.39110967062185
2020-04-04,-63.02880817649211,-58.35671847351789,-52.77819671602331,NA,NA,NA,NA,NA,NA,NA,NA,-70.47418817840912,-49.2004725089298
2020-04-05,-64.52234805186578,-71.30124042271538,-59.888452273607406,NA,NA,NA,NA,NA,NA,NA,NA,-76.83928336116443,-53.86793876685287
2020-04-06,-55.501715644452595,-47.966027661025414,-51.63551145379039,NA,NA,NA,NA,NA,NA,NA,NA,-63.53402039971146,-38.976224405668695
2020-04-07,-52.702318264046525,-45.12471084289019,-40.6081654732697,NA,NA,NA,NA,NA,NA,NA,NA,-61.69282963836936,-32.012479994927915
2020-04-08,-50.53565596339843,-47.8021608226102,-44.84004787661924,NA,NA,NA,NA,NA,NA,NA,NA,-56.73953767865253,-35.14909415097251
2020-04-09,-47.956409211493884,-45.75142962840805,-39.09100290100426,NA,NA,NA,NA,NA,NA,NA,NA,-61.22222856402319,-35.14909415097251
2020-04-10,-47.30229259587425,-43.29630190899407,-37.98393630322174,NA,NA,NA,NA,NA,NA,NA,NA,-59.097335322016185,-34.95413619822388
2020-04-11,-46.000394634519914,-43.00019165712095,-38.00030163553678,NA,NA,NA,NA,NA,NA,NA,NA,-63.00016133981164,-40.999753501439045
