date,SI,Administrative unit Maribor,Ajdovščina,Brežice,Celje,Cerknica,Črnomelj,Domžale,Dravograd,Gornja Radgona,Grosuplje,Idrija,Ilirska Bistrica,Izola,Jesenice,Kamnik,Kočevje,Koper,Kranj,Krško,Laško,Lenart,Lendava,Litija,Ljubljana,Ljutomer,Logatec,Metlika,Mozirje,Municipality of Hrastnik,Murska Sobota,Nova Gorica,Novo Mesto,Ormož,Pesnica,Piran,Postojna,Ptuj,Radlje ob Dravi,Radovljica,Ravne na Koroškem,Ribnica,Ruše,Šentjur,Sevnica,Sežana,Škofja Loka,Slovenj Gradec,Slovenska Bistrica,Slovenske Konjice,Šmarje pri Jelšah,Tolmin,Trbovlje,Trebnje,Tržič,Velenje,Vrhnika,Zagorje ob Savi,Žalec
2020-02-15,22,27,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,23,0,NA,0,0,0,21,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
2020-02-16,13,8,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,-6,0,NA,NA,0,NA,3,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0
2020-02-17,-6,1,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,-9,-5,0,0,0,0,0,-13,0,0,NA,0,0,0,-26,0,0,0,0,0,-7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,-4,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,-12,0,0,0,0,0,-12,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,-4,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,-5,-15,0,0,0,0,0,-12,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,-1,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-5,-11,0,0,0,0,0,-2,0,0,NA,0,0,0,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,2,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,-6,0,0,0,0,0,-7,0,0,NA,0,0,0,-21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,31,27,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,33,0,NA,0,0,0,17,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
2020-02-23,24,17,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,-3,0,NA,0,0,NA,6,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,NA,0
2020-02-24,0,-21,0,0,-11,0,0,19,0,0,0,0,0,0,0,0,0,-7,9,0,0,0,0,0,8,0,0,NA,0,0,0,0,0,0,0,0,0,-11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,0,0,0
2020-02-25,2,-19,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,0,0,NA,0,0,0,0,0,0,0,0,0,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,-10,-30,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,-7,-2,0,0,0,0,0,1,0,0,NA,0,0,-35,0,0,0,0,0,0,-37,0,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,0,0,0
2020-02-27,-1,-17,0,0,-7,0,0,20,0,0,0,0,0,0,0,0,0,-7,3,0,0,0,0,0,9,0,0,NA,0,0,-33,0,0,0,0,0,0,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,0,0,0
2020-02-28,2,-16,0,0,-7,0,0,9,0,0,0,0,0,0,0,0,0,-2,8,0,0,0,0,0,10,0,0,NA,0,0,0,0,0,0,0,0,0,-33,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,0,0,0
2020-02-29,4,1,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,18,0,NA,0,0,0,6,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,-13,1,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,-15,0,NA,0,0,NA,-10,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,-42,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0
2020-03-02,5,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-18,7,0,0,0,0,0,10,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
