date,KR
2020-02-15,3
2020-02-16,4
2020-02-17,5
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,5
2020-02-22,9
2020-02-23,8
2020-02-24,8
2020-02-25,10
2020-02-26,9
2020-02-27,9
2020-02-28,13
2020-02-29,12
2020-03-01,11
2020-03-02,9
2020-03-03,8
2020-03-04,10
2020-03-05,9
2020-03-06,10
2020-03-07,11
2020-03-08,9
2020-03-09,8
2020-03-10,9
2020-03-11,8
2020-03-12,8
2020-03-13,9
2020-03-14,9
2020-03-15,9
2020-03-16,8
2020-03-17,6
2020-03-18,7
2020-03-19,9
2020-03-20,8
2020-03-21,7
2020-03-22,7
2020-03-23,7
2020-03-24,5
2020-03-25,7
2020-03-26,8
2020-03-27,10
2020-03-28,8
2020-03-29,6
2020-03-30,7
2020-03-31,5
2020-04-01,7
2020-04-02,7
2020-04-03,7
2020-04-04,7
2020-04-05,6
2020-04-06,6
2020-04-07,5
2020-04-08,6
2020-04-09,6
2020-04-10,7
2020-04-11,6
