date,total,Christ Church,Saint George
2020-02-29,1.8492967927906823,5.983050494116919,NA
2020-03-01,1.7294945223011988,6.719278072991387,NA
2020-03-02,-0.12623460716005963,-0.4978666917192875,NA
2020-03-03,1.7656764160731908,6.356931079211134,NA
2020-03-04,2.745803716252252,3.6311589986785098,NA
2020-03-05,4.311273653453756,2.032795469085508,NA
2020-03-06,2.7916341150301083,6.538585142406009,NA
2020-03-07,-1.4143100254429608,4.387570362352409,NA
2020-03-08,1.1529963482007992,5.37561468491501,NA
2020-03-09,-4.936818394667299,-0.995733383438575,NA
2020-03-10,-0.6794155608296202,1.5887522034980353,NA
2020-03-11,2.196642973001802,6.743306388228805,NA
2020-03-12,12.529387792198785,10.672416495851289,NA
2020-03-13,12.214203295340546,15.937500930674181,NA
2020-03-14,3.6985935855813645,3.190960263529024,NA
2020-03-15,-0.38433211606693307,1.3436633880763782,NA
2020-03-16,2.404889872711709,5.9772836984599405,NA
2020-03-17,17.927726342979934,20.12996137329876,NA
2020-03-18,9.199045481007913,9.856414910388597,NA
2020-03-19,8.218114138745028,6.098386407256523,NA
2020-03-20,-0.8144946309117221,-6.538585142406009,NA
2020-03-21,-4.133580352929086,-5.584180461175792,NA
2020-03-22,-9.800468959706794,-20.829665913012352,NA
2020-03-23,-7.341708267379009,-9.464272805713945,NA
2020-03-24,-5.704678584717343,-11.124148822314735,NA
2020-03-25,-6.453241764755659,-13.487573909067105,NA
2020-03-26,-5.7931232139377675,-15.246446584446057,NA
2020-03-27,-5.93222249443898,-19.614794294608533,NA
2020-03-28,-26.757716507513532,-39.09022436084004,NA
2020-03-29,-47.273654318316595,-57.11434418673154,NA
2020-03-30,-45.94859296417788,-52.3000309457626,NA
2020-03-31,-40.745636639765486,-42.37825901792823,NA
2020-04-01,-34.600342993113664,-38.387636423297955,NA
2020-04-02,-28.831341041690557,-35.06692325748688,NA
2020-04-03,-26.405546074799478,-36.3692579433549,NA
2020-04-04,-95.90935592662773,-96.92734026991309,NA
2020-04-05,-92.81861815641581,-94.07085415448893,NA
2020-04-06,-89.23982684132393,-92.64645562721482,NA
2020-04-07,-86.10888696692092,-90.05331984679273,NA
2020-04-08,-70.84816821597867,-75.21823801921127,NA
2020-04-09,-59.14453164386513,-64.54293812553149,NA
2020-04-10,-94.68882004338587,-96.44004603689828,NA
2020-04-11,-61.99968508351718,-70.99982699613028,NA
