date,NL,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,North Brabant,North Holland,Overijssel,South Holland,Utrecht,Zeeland
2020-02-15,1,-6,-2,-7,2,-2,6,2,-2,1,0,8,7
2020-02-16,-10,-10,-17,-19,-5,-19,-6,-6,-14,-7,-11,-5,-7
2020-02-17,0,3,0,0,0,1,3,1,2,2,-3,2,-1
2020-02-18,5,8,6,5,6,3,4,5,5,6,3,4,10
2020-02-19,3,4,2,2,6,3,5,6,1,4,2,6,5
2020-02-20,1,3,-2,0,2,2,5,5,-1,0,-1,0,0
2020-02-21,8,7,4,-1,6,0,14,18,0,5,5,8,12
2020-02-22,1,-3,-4,0,-2,-4,2,13,-5,3,-4,4,8
2020-02-23,1,6,-7,5,-2,-7,-3,17,-4,2,-9,4,8
2020-02-24,9,0,-3,-7,13,-7,51,46,-4,6,-3,0,27
2020-02-25,16,14,13,5,17,5,24,31,9,14,12,13,33
2020-02-26,3,7,5,2,8,2,-4,1,3,5,3,6,13
2020-02-27,-1,3,2,2,2,1,-10,-5,5,-1,-2,-5,3
2020-02-28,2,7,5,1,5,2,-6,-2,1,3,0,2,5
2020-02-29,-3,0,3,-1,-3,4,-9,-8,-1,5,-6,0,2
2020-03-01,3,7,7,7,4,2,-6,2,5,6,3,9,0
2020-03-02,-6,-1,-3,-6,-5,-3,-6,-5,-7,-3,-8,-5,-4
2020-03-03,2,4,9,2,4,1,-1,0,1,3,2,3,6
2020-03-04,2,2,4,4,4,-1,-1,2,-1,2,2,9,2
2020-03-05,-5,1,-4,4,-4,0,-9,-8,-5,-5,-4,-9,-12
2020-03-06,1,3,4,-1,1,-4,-5,-2,0,-2,1,0,-1
2020-03-07,2,4,5,12,4,1,1,-1,3,4,0,3,12
2020-03-08,-1,3,-1,9,-4,9,-8,-9,-2,1,2,4,0
2020-03-09,-3,2,0,-1,-1,-2,-2,-4,-2,-3,-4,1,10
2020-03-10,-7,-2,-4,-7,-5,-8,-9,-10,-8,-4,-8,-4,5
2020-03-11,-2,4,1,2,2,0,-6,-8,-3,0,-1,3,0
2020-03-12,-9,-4,-4,-6,-6,-8,-7,-14,-9,-7,-7,-11,-2
2020-03-13,-12,-4,-5,-13,-11,-15,-16,-18,-16,-13,-11,-15,-2
2020-03-14,-19,-13,-11,-14,-15,-20,-20,-27,-20,-15,-20,-16,-2
2020-03-15,-32,-22,-24,-26,-29,-35,-32,-39,-35,-30,-30,-26,-22
2020-03-16,-25,-16,-16,-22,-23,-27,-30,-27,-30,-23,-23,-20,-16
2020-03-17,-29,-22,-21,-29,-25,-35,-32,-29,-36,-27,-27,-26,-18
2020-03-18,-35,-29,-29,-35,-30,-41,-36,-33,-41,-33,-33,-31,-27
2020-03-19,-41,-34,-34,-36,-37,-44,-43,-39,-46,-41,-39,-42,-34
2020-03-20,-45,-39,-36,-43,-44,-48,-53,-48,-50,-44,-41,-45,-45
2020-03-21,-49,-44,-40,-46,-47,-51,-58,-51,-53,-48,-46,-45,-49
2020-03-22,-60,-53,-50,-53,-58,-62,-70,-63,-62,-61,-55,-54,-62
2020-03-23,-38,-27,-30,-32,-34,-39,-42,-38,-44,-36,-36,-35,-32
2020-03-24,-42,-36,-35,-39,-40,-47,-48,-43,-48,-41,-40,-41,-37
2020-03-25,-45,-40,-40,-42,-42,-48,-50,-45,-50,-45,-43,-42,-43
2020-03-26,-47,-42,-41,-43,-45,-51,-52,-47,-52,-48,-45,-49,-44
2020-03-27,-48,-43,-42,-48,-47,-52,-55,-50,-54,-49,-46,-49,-48
2020-03-28,-54,-50,-46,-52,-52,-56,-61,-56,-58,-53,-53,-53,-56
2020-03-29,-65,-61,-56,-57,-66,-65,-76,-68,-66,-67,-60,-60,-69
2020-03-30,-44,-38,-37,-40,-41,-46,-46,-42,-50,-43,-42,-42,-38
2020-03-31,-40,-33,-33,-37,-37,-44,-46,-40,-46,-39,-39,-40,-38
2020-04-01,-44,-39,-39,-42,-40,-48,-46,-41,-50,-42,-42,-42,-41
2020-04-02,-47,-40,-41,-43,-45,-50,-50,-46,-52,-46,-45,-49,-46
2020-04-03,-48,-42,-41,-46,-47,-51,-55,-49,-54,-48,-45,-50,-47
2020-04-04,-51,-46,-40,-47,-49,-52,-59,-51,-55,-49,-49,-50,-53
2020-04-05,-54,-42,-42,-44,-51,-56,-66,-57,-58,-56,-50,-50,-58
2020-04-06,-36,-25,-28,-30,-30,-37,-40,-34,-44,-33,-36,-35,-34
2020-04-07,-35,-25,-26,-31,-30,-39,-39,-34,-42,-33,-34,-34,-30
2020-04-08,-37,-28,-29,-34,-32,-41,-40,-35,-43,-35,-35,-35,-34
2020-04-09,-38,-29,-31,-34,-34,-42,-42,-37,-44,-37,-37,-41,-37
2020-04-10,-39,-32,-30,-39,-36,-44,-46,-40,-46,-39,-37,-41,-39
2020-04-11,-46,-38,-36,-41,-43,-47,-54,-47,-51,-44,-44,-44,-48
