date,SE,Blekinge County,Dalarna County,Gavleborg County,Gotland County,Halland County,Jamtland County,Jonkoping County,Kalmar County,Kronoberg County,Norrbotten County,Örebro County,Östergötland County,Skåne County,Södermanland County,Stockholm County,Uppsala County,Varmland County,Västerbotten County,Västernorrland County,Västmanland County,Västra Götaland County
2020-02-15,3,-16,44,28,0,-1,65,-6,-25,0,27,2,-7,-15,-1,-3,-14,20,38,0,-10,13
2020-02-16,-30,-56,-18,-32,0,-39,-8,-47,-49,-51,-14,-51,-40,-44,-33,-25,-43,-32,-42,-35,-48,-58
2020-02-17,-3,0,26,9,0,-4,0,-14,0,0,26,-21,-5,-12,0,0,-5,3,15,0,0,-26
2020-02-18,13,0,42,26,0,11,0,3,0,0,29,0,5,11,0,9,10,19,17,0,0,14
2020-02-19,26,0,46,0,0,20,0,12,9,0,23,0,17,-2,0,22,39,33,9,0,0,34
2020-02-20,-1,0,60,11,0,-17,0,0,0,0,10,0,6,-12,2,-1,-4,-3,1,0,0,-18
2020-02-21,22,0,127,37,0,16,0,9,15,0,33,31,18,23,20,17,23,16,4,0,0,8
2020-02-22,-10,-34,134,3,0,-7,41,-24,-40,0,94,-28,-30,-31,-16,-21,-21,-16,25,0,-41,-6
2020-02-23,23,-4,165,32,0,19,25,-10,-11,0,77,27,-8,-22,17,23,33,4,14,12,39,-26
2020-02-24,24,0,164,42,0,15,0,14,0,0,11,0,26,1,0,16,20,30,6,0,0,14
2020-02-25,8,0,112,40,0,-4,0,-18,0,0,41,0,-8,0,0,2,7,7,36,0,0,-8
2020-02-26,4,0,43,27,0,4,0,-8,-13,0,26,0,-12,-3,-12,-10,-3,8,12,0,0,-1
2020-02-27,10,0,91,24,0,42,0,3,-4,0,26,2,-6,32,-15,-15,-16,11,16,0,0,19
2020-02-28,16,0,141,45,0,-5,50,-1,-2,0,47,19,24,15,20,4,12,2,23,0,0,5
2020-02-29,8,-30,175,78,0,-14,0,3,-18,0,69,0,-10,-19,-4,-4,6,2,29,0,-18,-4
2020-03-01,-7,-13,198,-27,0,-17,0,-25,-20,0,33,-42,-17,-13,-22,-26,-41,-35,-4,-16,-39,-43
2020-03-02,10,0,20,2,0,34,0,5,0,0,28,12,2,16,0,6,12,2,-1,0,0,8
2020-03-03,5,0,5,-2,0,0,0,7,0,0,60,-12,1,9,0,-5,0,4,26,0,0,15
2020-03-04,-2,0,13,-8,0,9,0,2,-4,0,32,-2,-10,3,-17,-18,-28,-9,2,0,0,0
2020-03-05,8,0,10,0,0,40,0,3,0,0,23,-8,6,22,-2,-9,0,-6,0,0,0,18
2020-03-06,24,0,3,32,0,14,0,13,2,0,103,9,31,8,26,27,14,4,45,0,0,19
2020-03-07,36,-2,32,47,0,81,0,29,-6,0,0,26,8,26,-3,14,9,11,119,0,16,65
2020-03-08,0,-9,-23,-29,0,-18,0,-14,10,0,19,-19,-1,3,-4,5,-19,-36,-24,-27,-7,-42
2020-03-09,8,0,4,13,0,-2,0,-12,0,0,22,15,29,-8,0,11,22,14,14,0,0,-4
2020-03-10,3,0,11,17,0,-6,0,2,0,0,44,0,16,-6,0,-3,10,3,26,0,0,-2
2020-03-11,10,0,3,12,0,30,0,12,2,0,3,0,7,19,-6,-4,3,10,-6,0,0,15
