date,LI
2020-02-15,0
2020-02-16,0
2020-02-17,15
2020-02-18,9
2020-02-19,-4
2020-02-20,32
2020-02-21,1
2020-02-22,37
2020-02-23,0
2020-02-24,25
2020-02-25,-14
2020-02-26,-6
2020-02-27,-13
2020-02-28,1
2020-02-29,-12
2020-03-01,0
2020-03-02,2
2020-03-03,-2
2020-03-04,-6
2020-03-05,-12
2020-03-06,-3
2020-03-07,-13
2020-03-08,0
2020-03-09,2
2020-03-10,-12
2020-03-11,-11
2020-03-12,-6
2020-03-13,-10
2020-03-14,-19
2020-03-15,0
2020-03-16,-20
2020-03-17,-29
2020-03-18,-27
2020-03-19,-57
2020-03-20,-37
2020-03-21,-52
2020-03-22,-58
2020-03-23,-32
2020-03-24,-41
2020-03-25,-44
2020-03-26,-43
2020-03-27,-40
2020-03-28,-37
2020-03-29,-58
2020-03-30,-45
2020-03-31,-38
2020-04-01,-39
2020-04-02,-41
2020-04-03,-37
2020-04-04,-38
2020-04-05,-33
2020-04-06,-23
2020-04-07,-30
2020-04-08,-37
2020-04-09,-35
2020-04-10,-53
2020-04-11,-29
