date,total,Flacq District,Grand Port District,Moka District,Pamplemousses District,Plaines Wilhems District,Port Louis District,Savanne District
2020-02-29,9.818669900727407,NA,NA,NA,16.9694863969582,12.01295664407962,21.61807574510087,NA
2020-03-01,11.021656530027911,NA,NA,NA,12.6432166137581,4.052875440591362,25.08031935465394,NA
2020-03-02,3.8356673880483894,NA,NA,NA,7.353316260496803,1.4796972523700784,10.58030828777468,NA
2020-03-03,3.442920592019293,NA,NA,NA,13.648077148508477,3.015937340161034,6.6875715228752375,NA
2020-03-04,0.296954894558585,NA,NA,NA,4.11244926864921,-1.1404402398448144,4.795135168835802,NA
2020-03-05,0.8669167083081272,NA,NA,NA,4.784593576721744,1.8237460306089763,2.777499463129635,NA
2020-03-06,-3.410989958195789,NA,NA,NA,1.7124817891833737,-6.459300181978192,2.5444360546423357,NA
2020-03-07,-2.890520626872678,NA,NA,NA,1.9397260131679535,-0.8280171153158988,2.7023798521295963,NA
2020-03-08,1.6276640591531044,NA,NA,NA,2.5284515554739957,-1.4931141963682528,8.360427475529944,NA
2020-03-09,-2.452272677645089,NA,NA,NA,3.676178712054342,-2.3029226019723437,-5.486620818810517,NA
2020-03-10,-8.176637056353727,NA,NA,NA,-0.6203671431140217,-9.681283447825475,-5.945043060297933,NA
2020-03-11,-1.366631127645961,NA,NA,NA,5.287982680485053,-0.8146001713177246,-2.581995860142355,NA
2020-03-12,-30.76436742310029,NA,NA,NA,-18.540060400699726,-32.33675174188548,-60.40001953177469,NA
2020-03-13,-15.377793249399412,NA,NA,NA,-6.8489683203453735,-14.386797378613743,-34.52998118968444,NA
2020-03-14,0.7974675797420064,NA,NA,NA,10.181883605452544,3.7279937252069986,-2.3643416026294224,NA
2020-03-15,11.982768608115373,NA,NA,NA,10.746638238055573,1.4931141963682528,12.159746262647285,NA
2020-03-16,5.407452838010363,NA,NA,NA,9.191405616523975,6.578135971676307,7.44550913642691,NA
2020-03-17,-7.623438825361524,NA,NA,NA,0.6203671431140217,-8.094250643470001,-11.146594586082662,NA
2020-03-18,-8.08244168657439,NA,NA,NA,-4.700215974567132,-6.8397663796407056,-10.327020368633523,NA
2020-03-19,37.07865026169816,NA,NA,NA,77.7501250399224,35.652653615719984,7.983866348593853,NA
2020-03-20,-39.48542178614475,NA,NA,NA,-7.419475971277125,-46.68425664164743,-59.61030054433838,NA
2020-03-21,-57.66672468524779,NA,NA,NA,-44.606027611757966,-59.233891045654026,-64.51522591386656,NA
2020-03-22,-89.4273278836414,NA,NA,NA,-84.07556869235393,-92.57595523425985,-93.47961438599684,NA
2020-03-23,-62.68701858814817,NA,NA,NA,-50.24590324668327,-65.94907151674025,-82.29353385054236,NA
2020-03-24,-72.11693302207442,NA,NA,NA,-58.31451145271804,-75.38693326631314,-84.71469669738975,NA
2020-03-25,-94.01815476161566,NA,NA,NA,-93.41559394903659,-95.43184759958551,-97.00060538363968,NA
2020-03-26,-89.38422152797966,NA,NA,NA,-82.53471861664414,-91.37130533385235,-95.80735925506214,NA
2020-03-27,-86.77548874459941,NA,NA,NA,-78.19118977845787,-89.84560713063138,-93.7772036141893,NA
2020-03-28,-86.9239661918787,NA,NA,NA,-79.5153428304524,-90.16282202087393,-91.87513654079089,NA
2020-03-29,-86.24703675482043,NA,NA,NA,-81.54615830049181,-88.09661264515509,-88.92043184145604,NA
2020-03-30,-80.66875502585432,NA,NA,NA,-70.4668038357584,-82.88892166757802,-86.99621411353196,NA
2020-03-31,-80.29357007842815,NA,NA,NA,-67.62001859942836,-84.11657204341097,-89.9162482231745,NA
2020-04-01,-80.88428680416297,NA,NA,NA,-71.09004748803677,-84.03223696685102,-89.99329397804634,NA
2020-04-02,-55.586443891646525,NA,NA,NA,-41.865673214509314,-58.53716831089169,-74.28559070355107,NA
2020-04-03,-59.661591033371195,NA,NA,NA,-45.08832231498262,-63.714191987901515,-74.8769168721924,NA
2020-04-04,-61.70435333222985,NA,NA,NA,-46.060582412536895,-63.3768516816617,-75.32474532238493,NA
2020-04-05,-89.94540241742774,NA,NA,NA,-85.97118823166834,-91.50930818640501,-93.47961438599684,NA
2020-04-06,-57.216502748336396,NA,NA,NA,-41.0544976301593,-61.3441846659383,-72.10519584067815,NA
2020-04-07,-58.28378418388701,NA,NA,NA,-34.74056001438521,-63.80140212388964,-73.5681021113071,NA
2020-04-08,-61.92627123730319,NA,NA,NA,-41.71417706518627,-63.34905944052262,-79.66627360941281,NA
2020-04-09,-62.580849230685025,NA,NA,NA,-47.24762186103019,-66.33145442068822,-76.02104633203915,NA
2020-04-10,-62.43716137847925,NA,NA,NA,-47.37131175509774,-67.09047010972779,-77.05731173506531,NA
2020-04-11,-62.99993879961852,NA,NA,NA,-48.00030842570485,-65.99986423330476,-75.99985874944939,NA
