date,IT,Abruzzo,Aosta,Apulia,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardy,Marche,Molise,Piedmont,Sardinia,Sicily,Trentino-South Tyrol,Tuscany,Umbria,Veneto
2020-02-15,3,2,8,-1,-1,-2,2,5,3,4,3,2,4,2,1,-2,0,4,5,3,6
2020-02-16,3,2,9,3,6,3,1,1,5,6,0,-1,5,9,1,4,1,10,4,4,5
2020-02-17,0,-1,11,-1,-2,-1,-1,1,0,1,-5,-3,1,-1,-1,0,-2,5,1,0,-1
2020-02-18,3,1,12,0,0,-1,0,1,5,2,1,2,2,4,2,0,-2,9,2,1,4
2020-02-19,0,-4,5,-3,-3,-6,-2,1,1,-2,-1,2,0,-1,1,-1,-1,7,0,0,3
2020-02-20,2,1,11,-3,-4,-4,0,2,3,2,1,2,3,-1,2,1,0,8,2,2,5
2020-02-21,1,1,11,-1,-2,-2,0,1,2,1,7,1,1,3,1,-1,0,4,2,2,4
2020-02-22,-1,1,9,-6,-2,-5,-1,2,-1,4,1,-6,1,0,-3,-2,-3,7,4,2,-3
2020-02-23,-5,2,18,1,10,0,-1,-7,-5,1,-2,-19,-1,13,-8,5,1,13,1,-1,-16
2020-02-24,-4,5,34,2,0,-2,-1,-7,-5,2,-2,-18,4,6,-6,1,-1,10,3,3,-12
2020-02-25,-6,4,23,2,-1,-4,-2,-11,-9,1,-8,-22,3,7,-10,4,-1,1,0,0,-11
2020-02-26,-13,-5,0,-7,-9,-13,-10,-18,-14,-8,-10,-23,-10,-5,-14,-7,-11,-2,-11,-8,-15
2020-02-27,-10,-3,2,-8,-6,-9,-6,-12,-9,-4,-9,-19,-6,-2,-9,-3,-8,0,-10,-5,-11
2020-02-28,-8,-3,21,-9,-8,-10,-6,-11,-7,-3,1,-16,-7,0,-8,-3,-8,-1,-2,-2,-10
2020-02-29,-10,-2,-1,-4,-2,-4,-3,-13,-10,-2,-16,-24,-8,4,-12,-2,-7,-7,-5,-3,-13
2020-03-01,-19,-7,-1,-5,1,1,-11,-26,-34,-17,-22,-33,-16,4,-11,-3,-4,-21,-22,-17,-30
2020-03-02,-13,-3,-8,-3,-2,-1,-8,-14,-12,-12,-26,-26,-7,-2,-15,-8,-4,-15,-11,-10,-19
2020-03-03,-7,-2,0,-4,-4,-5,-7,-12,-7,-7,-1,-13,-7,2,-2,-4,-7,-9,-7,-6,-11
2020-03-04,-7,-2,3,-3,-2,-5,-5,-13,-7,-5,-3,-14,-12,1,-4,-1,-8,-3,-4,-6,-8
