date,AT,Burgenland,Carinthia,Lower Austria,Salzburg,Styria,Tyrol,Upper Austria,Vienna,Vorarlberg
2020-02-15,42,57,-1,60,36,29,20,62,57,67
2020-02-16,42,47,14,49,39,23,18,70,35,35
2020-02-17,35,24,5,28,43,19,40,19,42,20
2020-02-18,40,28,37,23,52,24,51,38,40,67
2020-02-19,10,12,5,11,11,-5,24,-5,11,-2
2020-02-20,13,19,2,21,7,5,15,-3,31,32
2020-02-21,7,-5,13,-2,10,1,19,0,8,15
2020-02-22,52,74,36,63,49,20,34,84,65,62
2020-02-23,4,9,-11,-9,5,1,9,-8,-2,-10
2020-02-24,25,8,0,17,24,5,52,0,26,26
2020-02-25,60,0,15,46,57,84,70,61,54,88
2020-02-26,8,-9,-27,4,7,-11,33,-4,11,10
2020-02-27,9,10,-11,10,15,0,15,4,22,7
2020-02-28,-1,-9,-9,-9,-9,-6,20,-3,0,16
2020-02-29,9,12,-21,20,16,2,-1,32,8,27
2020-03-01,6,18,-46,11,-7,-11,2,31,1,28
2020-03-02,16,19,-29,31,0,4,1,19,36,-5
2020-03-03,-1,5,-25,0,-10,-3,6,0,4,14
2020-03-04,12,13,-9,20,-5,9,8,12,18,22
2020-03-05,4,18,-20,29,-11,8,-15,16,27,-13
2020-03-06,-7,-17,-37,-3,-18,-18,-3,1,10,-11
2020-03-07,-2,26,-14,12,-17,9,-16,-2,3,-3
2020-03-08,42,54,17,51,34,23,24,94,24,47
2020-03-09,2,19,-19,13,-20,-4,-7,-11,17,-21
2020-03-10,9,33,-9,30,-18,10,-13,15,29,-10
2020-03-11,12,33,10,18,-6,21,10,6,11,0
2020-03-12,18,53,-6,45,5,13,1,25,40,14
2020-03-13,-20,7,-33,-3,-37,-30,-24,-13,-11,-16
2020-03-14,-17,67,-46,32,-36,-24,-50,18,-9,-25
2020-03-15,-13,35,-31,31,-33,-14,-51,44,-28,-13
2020-03-16,-37,-3,-49,2,-61,-40,-68,-10,-35,-44
2020-03-17,-43,45,-32,-6,-70,-37,-70,-22,-48,-39
2020-03-18,-24,69,-35,41,-59,-31,-67,3,-14,-44
2020-03-19,-32,34,-40,35,-61,-28,-74,-10,-20,-44
2020-03-20,-32,36,-38,32,-60,-29,-75,-8,-23,-55
2020-03-21,-73,-31,-62,-57,-86,-63,-86,-68,-77,-67
2020-03-22,-60,-33,-67,-34,-73,-55,-82,-31,-69,-61
2020-03-23,-57,-37,-60,-25,-71,-57,-77,-36,-63,-59
2020-03-24,-44,-8,-54,7,-67,-53,-73,-8,-43,-42
2020-03-25,-58,-30,-59,-21,-74,-59,-77,-35,-63,-56
2020-03-26,-59,-6,-73,-12,-78,-65,-80,-51,-49,-64
2020-03-27,-39,29,-61,24,-64,-45,-74,-16,-26,-55
2020-03-28,-21,35,-39,65,-51,-24,-75,21,-11,-38
2020-03-29,-43,19,-45,8,-73,-42,-82,-19,-44,-68
2020-03-30,-57,-27,-72,-17,-81,-56,-83,-38,-53,-73
2020-03-31,-47,12,-46,-7,-71,-45,-74,-26,-48,-39
2020-04-01,-34,10,-38,19,-61,-34,-69,-6,-34,-43
2020-04-02,-36,22,-40,22,-62,-35,-72,-11,-27,-48
2020-04-03,-46,5,-43,3,-71,-42,-75,-24,-44,-56
2020-04-04,-36,15,-43,20,-60,-43,-76,-13,-27,-39
2020-04-05,-11,44,-25,58,-46,-11,-68,32,-18,-24
2020-04-06,-22,21,-32,28,-52,-26,-64,12,-18,-40
2020-04-07,-6,52,-10,58,-47,-13,-49,39,2,-22
2020-04-08,-10,36,-18,50,-49,-13,-50,28,-3,-31
2020-04-09,-20,34,-25,52,-58,-17,-61,8,-1,-46
2020-04-10,-22,15,-25,38,-56,-30,-55,4,-10,-38
2020-04-11,-20,21,-40,51,-51,-30,-59,22,-11,-34
