date,PA
2020-02-15,9
2020-02-16,10
2020-02-17,5
2020-02-18,3
2020-02-19,4
2020-02-20,4
2020-02-21,7
2020-02-22,-9
2020-02-23,-11
2020-02-24,-35
2020-02-25,-39
2020-02-26,-22
2020-02-27,-4
2020-02-28,3
2020-02-29,8
2020-03-01,11
2020-03-02,5
2020-03-03,5
2020-03-04,5
2020-03-05,4
2020-03-06,5
2020-03-07,2
2020-03-08,2
2020-03-09,1
2020-03-10,-1
2020-03-11,-11
2020-03-12,-17
2020-03-13,-15
2020-03-14,-18
2020-03-15,-26
2020-03-16,-25
2020-03-17,-34
2020-03-18,-39
2020-03-19,-46
2020-03-20,-45
2020-03-21,-52
2020-03-22,-59
2020-03-23,-61
2020-03-24,-67
2020-03-25,-77
2020-03-26,-76
2020-03-27,-76
2020-03-28,-76
2020-03-29,-77
2020-03-30,-76
2020-03-31,-75
2020-04-01,-79
2020-04-02,-77
2020-04-03,-79
2020-04-04,-76
2020-04-05,-89
2020-04-06,-79
2020-04-07,-75
2020-04-08,-78
2020-04-09,-75
2020-04-10,-85
2020-04-11,-91
