date,HT
2020-02-15,-6
2020-02-16,0
2020-02-17,-7
2020-02-18,-7
2020-02-19,-6
2020-02-20,-10
2020-02-21,-11
2020-02-22,-6
2020-02-23,-11
2020-02-24,-17
2020-02-25,-13
2020-02-26,-10
2020-02-27,-5
2020-02-28,-7
2020-02-29,-8
2020-03-01,-17
2020-03-02,-8
2020-03-03,-7
2020-03-04,-4
2020-03-05,-4
2020-03-06,-7
2020-03-07,-9
2020-03-08,-17
2020-03-09,-11
2020-03-10,-8
2020-03-11,-7
2020-03-12,-7
2020-03-13,-9
2020-03-14,-11
2020-03-15,-12
2020-03-16,-13
2020-03-17,-11
2020-03-18,-8
2020-03-19,-9
2020-03-20,-10
2020-03-21,-19
2020-03-22,-21
2020-03-23,-20
2020-03-24,-21
2020-03-25,-19
2020-03-26,-19
2020-03-27,-22
2020-03-28,-19
2020-03-29,-19
2020-03-30,-20
2020-03-31,-18
2020-04-01,-17
2020-04-02,-20
2020-04-03,-21
2020-04-04,-19
2020-04-05,-17
2020-04-06,-21
2020-04-07,-17
2020-04-08,-18
2020-04-09,-15
2020-04-10,-23
2020-04-11,-18
