date,TG
2020-02-15,2
2020-02-16,-2
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,-2
2020-02-21,0
2020-02-22,-45
2020-02-23,-3
2020-02-24,-2
2020-02-25,1
2020-02-26,2
2020-02-27,2
2020-02-28,1
2020-02-29,1
2020-03-01,0
2020-03-02,2
2020-03-03,1
2020-03-04,3
2020-03-05,3
2020-03-06,2
2020-03-07,4
2020-03-08,2
2020-03-09,2
2020-03-10,4
2020-03-11,3
2020-03-12,3
2020-03-13,3
2020-03-14,1
2020-03-15,-1
2020-03-16,2
2020-03-17,2
2020-03-18,2
2020-03-19,1
2020-03-20,1
2020-03-21,-4
2020-03-22,-7
2020-03-23,-14
2020-03-24,-19
2020-03-25,-19
2020-03-26,-20
2020-03-27,-19
2020-03-28,-13
2020-03-29,-9
2020-03-30,-21
2020-03-31,-22
2020-04-01,-26
2020-04-02,-25
2020-04-03,-24
2020-04-04,-27
2020-04-05,-11
2020-04-06,-22
2020-04-07,-23
2020-04-08,-23
2020-04-09,-23
2020-04-10,-24
2020-04-11,-16
