date,total,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Brittany,Centre-Val de Loire,Hauts-de-France,Normandy,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Île-de-France
2020-02-29,1.0554197407819401,-0.5726843760862679,-2.796788012694804,-0.009596924761429449,-0.6606698171656081,0.9269049352622749,-1.5058250775390007,-1.382590637337205,6.095181212714214,-1.913869353947374,2.846259303710099,3.3872186349279576
2020-03-01,3.951854459262694,8.571015746299521,10.1046790763766,4.712090057861859,3.2379552756864665,7.369653993478743,10.96733055523177,0.36592308069189994,12.219077161041088,-7.123583203278066,4.209617510187237,0.21206263508370823
2020-03-02,3.4583701159106557,-0.19538643419413845,1.79197696116784,9.690974624091458,6.699018844797127,5.399981006046409,5.7131652339835215,1.382590637337205,2.0291746499613903,6.375132061386984,-0.5531230580209959,4.691403840692764
2020-03-03,4.659447332230375,4.2311269197903085,4.882154460281777,7.161225256978654,7.041374674361838,6.633638291810441,3.891479509635009,-0.22785711620920418,0.5149509253203906,5.331289669333305,5.601438309701475,8.14513302935152
2020-03-04,1.973141430918876,0.35901054164735785,-1.1994452533017483,1.0038383300455203,2.999460203405432,0.19943651271012064,0.15459040719982137,-1.0465979405541415,4.114821613294348,1.126475957211705,5.1299080183868355,1.528778814739824
2020-03-05,-0.20296533476575773,-0.7083961357974675,-1.068091136833052,2.326294562170498,2.382065701774689,0.2925068853081769,0.350214070631694,0.012551451316608704,3.6094422665115107,2.2586507809860326,-0.8662115814291069,-4.623929365893401
2020-03-06,1.8569338274843639,0.21078635018973557,0.39693871692000304,2.1890585380820573,4.097691544312455,2.857640317832157,2.9868393489842027,-2.09512687361853,2.008117177178772,3.7413058983616403,6.48567620005408,6.021614915308752
2020-03-07,1.1039722326278665,-0.2762359931710233,-1.4640710645817503,-0.19193849522858897,2.2128111343494385,0.7531102599005984,1.1842388600924587,-0.9973576315428302,1.9650450737597802,0.40936858141504623,3.693495823114472,1.7099959756295382
2020-03-08,2.2302308549555026,9.635534939495171,11.155512008126173,0.12092125199401105,1.7002390636809246,-0.5451264680743297,2.228201239577672,2.8829718177995076,6.84080718078965,-1.3990717411238123,5.029340189655746,-1.7196351863151613
2020-03-09,2.2270470849983925,4.043440443593968,3.4775283243208963,-0.4424182315018976,3.518763989823814,2.3875399664440153,1.2434030900084396,3.604197520376946,0.6700104976287609,1.4636588955002,1.1679150676223775,1.3388863642330489
2020-03-10,1.2894268326295197,2.6391606037454562,1.2502610793808793,1.5786941232551444,1.8358350523568354,0.4738991421064295,0.11164862742209321,2.199400469171895,1.6463115084592412,1.2547004548707101,2.7940778831420805,1.82759434599414
2020-03-11,1.6173551382118418,3.2205074325792475,0.9424897553921812,-0.573896100733481,1.8146782314286791,-0.8461806324986547,-1.047779426576567,2.252502763203701,1.803285396475122,0.13202374203408684,2.5967372380848475,1.3041852057648056
2020-03-12,5.355897010348171,7.391959677886617,3.073878083201763,6.804219655853479,5.130529075077903,3.3039982272309985,2.4543612797403735,6.585649956199076,7.3854299995764565,8.716416407531042,5.370891306100957,3.6629000605367787
2020-03-13,16.6726073228954,22.557989449300607,15.223654461970552,13.858919047980267,16.562905765710724,17.3101396055589,13.61540697485834,18.63697421265368,19.668636736819156,15.882741110028778,18.766336342461923,18.391613988168878
2020-03-14,1.486820569970335,3.521768289243116,-0.4918588448791343,-0.9884832504272332,0.5327672179181178,-0.7531102599005984,-0.2204344695256712,2.8221455537267115,1.8530576048704017,-0.46255800266618907,3.3120970764173188,4.167030779394867
2020-03-15,22.459109219942686,26.549455176409435,32.253667722678514,19.695768687881657,27.07784576700441,15.862800341891166,24.89382686803543,23.060878053630688,19.725109050190724,24.29711758974083,20.84220812796782,25.413778972645307
2020-03-16,45.81444968281182,46.24306025052898,50.223294371264736,45.476947366985726,51.53993912834586,51.97315521225744,48.577649808111765,47.749582793400016,38.850080126076826,48.57333933541871,36.361911357997755,46.333757923653124
2020-03-17,-15.14280585850408,-15.13426744467307,-13.033779994711406,-15.560453808181705,-11.879554951159763,-14.646237614359432,-15.403693537157507,-14.261345184432862,-17.47770240957311,-15.929281853623527,-17.46749334686888,-11.321252950264332
2020-03-18,-45.22624818323576,-45.41146478676673,-48.65855044369603,-49.2552566455605,-46.97295082889975,-45.30722719934155,-46.54125518487461,-48.14157427298026,-47.22521134643634,-50.053145019513,-43.29634777493679,-38.59347174309777
2020-03-19,-40.71325426903245,-40.443066888687206,-42.76583219685946,-42.0729181541067,-40.390294499207485,-41.63284687707747,-41.601041986890195,-42.01646603047521,-42.11781703879767,-42.767144119200196,-40.15692376294455,-36.80539816091469
2020-03-20,-41.66599742869759,-41.58169817761167,-43.31234202450295,-42.11130585315242,-42.054951636781965,-42.76298711576815,-43.404596737554776,-41.52502843661722,-42.017315464153356,-42.39196873716089,-40.181591343576706,-37.05216195446664
2020-03-21,-54.06757735413002,-55.51958464837679,-57.51200965152045,-55.79268179304624,-56.66854485606665,-52.87821710088956,-55.049453151501815,-53.05208822653963,-53.59892549459336,-57.15108332325927,-50.21939915466099,-51.70376219661376
2020-03-22,-63.36975722631595,-65.71047905846318,-69.7221897480814,-68.26964367538066,-66.7016863444055,-61.087403843109946,-63.366798763561334,-66.36241959967559,-64.83404438197394,-69.61640411790212,-60.8473313947145,-58.12347651323874
