date,LU
2020-02-15,-2
2020-02-16,-7
2020-02-17,-3
2020-02-18,-3
2020-02-19,-6
2020-02-20,-7
2020-02-21,-8
2020-02-22,-8
2020-02-23,-8
2020-02-24,-2
2020-02-25,-1
2020-02-26,-4
2020-02-27,-14
2020-02-28,1
2020-02-29,-1
2020-03-01,-3
2020-03-02,-3
2020-03-03,-2
2020-03-04,-4
2020-03-05,-5
2020-03-06,-1
2020-03-07,2
2020-03-08,0
2020-03-09,-2
2020-03-10,-6
2020-03-11,-7
2020-03-12,-7
2020-03-13,-12
2020-03-14,-30
2020-03-15,-29
2020-03-16,-50
2020-03-17,-62
2020-03-18,-71
2020-03-19,-77
2020-03-20,-80
2020-03-21,-87
2020-03-22,-87
2020-03-23,-80
2020-03-24,-81
2020-03-25,-82
2020-03-26,-82
2020-03-27,-82
2020-03-28,-84
2020-03-29,-90
2020-03-30,-79
2020-03-31,-81
2020-04-01,-81
2020-04-02,-81
2020-04-03,-82
2020-04-04,-84
2020-04-05,-85
2020-04-06,-77
2020-04-07,-78
2020-04-08,-78
2020-04-09,-77
2020-04-10,-78
2020-04-11,-82
