date,CA,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
2020-02-15,10,24,-4,20,-13,-16,0,-10,0,20,0,20,-6,0
2020-02-16,41,28,41,26,121,26,0,84,NA,44,0,47,40,0
2020-02-17,63,10,114,60,83,35,0,105,0,70,0,29,9,0
2020-02-18,6,-2,60,4,-12,-1,0,-2,0,-5,0,-7,-12,0
2020-02-19,9,21,54,0,-8,-29,0,-4,0,-4,0,-3,-6,0
2020-02-20,14,11,56,28,-12,-16,0,4,0,3,0,-4,25,0
2020-02-21,10,18,44,28,-17,-2,0,-16,0,11,0,-6,7,0
2020-02-22,28,19,21,63,14,9,0,2,0,44,0,31,15,0
2020-02-23,36,8,-2,45,139,55,0,202,NA,53,0,51,39,0
2020-02-24,19,1,22,12,9,77,0,26,0,18,0,26,12,0
2020-02-25,9,13,23,10,4,23,0,6,0,2,0,10,12,0
2020-02-26,1,8,32,3,11,17,0,18,0,-15,0,-4,10,0
2020-02-27,-6,13,23,12,-38,0,0,-18,0,-17,0,-25,22,0
2020-02-28,-5,13,18,4,-17,-18,0,-18,0,-10,0,-13,10,0
2020-02-29,11,8,39,16,6,18,0,2,0,9,0,2,13,0
2020-03-01,23,13,31,4,55,27,0,71,NA,23,0,26,1,0
2020-03-02,1,3,-8,0,15,0,0,16,0,0,0,9,0,0
2020-03-03,8,13,27,15,12,-11,0,5,0,-6,0,19,10,0
2020-03-04,11,4,56,3,-20,-4,0,-8,0,1,0,-1,6,0
2020-03-05,18,2,13,10,4,-18,0,15,0,21,0,25,8,0
2020-03-06,6,9,54,-2,6,8,0,16,0,-4,0,-7,9,0
2020-03-07,17,-11,11,16,-19,-20,0,-22,0,41,-51,25,-17,0
2020-03-08,50,-10,60,-2,92,-16,0,141,0,86,0,22,-5,0
2020-03-09,31,16,48,3,-8,35,0,9,0,41,0,13,12,0
2020-03-10,-2,9,14,14,-14,0,0,-9,0,-2,0,-20,18,0
2020-03-11,12,16,53,9,-2,-5,0,4,0,1,0,-3,17,0
2020-03-12,11,-6,37,5,16,-2,0,41,0,9,0,1,1,0
2020-03-13,-16,-28,10,-14,-31,23,0,-14,0,-7,0,-38,-18,0
2020-03-14,-8,-45,9,-23,-21,-26,0,21,0,5,0,-13,-33,0
2020-03-15,28,-28,58,-20,92,18,0,182,NA,44,0,4,-8,0
2020-03-16,15,-13,55,-19,-2,62,0,20,0,10,0,3,-10,0
2020-03-17,7,-12,80,-16,-14,25,0,21,0,2,0,-30,4,0
2020-03-18,14,-24,87,-28,13,-6,0,71,0,1,0,0,1,0
2020-03-19,18,-28,81,-27,13,36,0,86,0,11,0,-1,7,0
2020-03-20,-8,-9,77,-31,-36,0,0,-22,0,-15,0,-45,-8,0
2020-03-21,11,8,50,-25,0,-27,0,88,0,16,0,-14,0,0
2020-03-22,4,16,8,-16,48,18,0,83,NA,6,0,-8,39,0
2020-03-23,-27,-22,-4,-3,-4,55,0,-16,0,-39,0,-41,25,0
2020-03-24,-10,-31,16,-32,-35,-14,0,-54,0,-6,0,-17,-15,0
2020-03-25,1,-25,40,-19,10,-38,0,-7,0,5,0,-19,-9,0
2020-03-26,-18,-24,-18,-18,-12,6,0,-47,0,-10,0,-32,13,0
2020-03-27,-10,-16,-21,-14,-38,-53,0,-42,0,10,0,-14,6,0
2020-03-28,-30,-40,-37,-9,21,-26,0,-4,0,-31,0,-19,11,0
2020-03-29,-16,-23,27,-9,101,-18,0,95,0,-14,0,-68,45,0
2020-03-30,-32,-49,-11,4,-24,-18,0,-31,0,-34,0,-51,10,0
2020-03-31,-13,-47,28,2,-23,-16,0,-40,0,-27,0,0,-23,0
2020-04-01,-10,-49,23,-24,-42,-13,0,-38,0,1,0,-32,-30,0
2020-04-02,-16,-48,14,-55,-43,-25,0,-51,0,3,0,-51,-23,0
2020-04-03,-33,-49,5,-60,-42,-30,0,-52,0,-28,0,-51,-24,0
2020-04-04,-17,-31,-1,-52,-27,-30,0,-44,0,-18,0,-3,-45,0
2020-04-05,-13,-51,31,-30,78,23,0,44,NA,-11,0,-42,-14,0
2020-04-06,2,-26,36,-16,-3,11,0,-24,0,-5,0,4,-15,0
2020-04-07,-1,-36,67,-11,-12,-13,0,-35,0,-21,0,3,10,0
2020-04-08,-3,-23,53,-36,-7,5,0,-29,0,-10,0,-20,-24,0
2020-04-09,-15,-10,59,-26,-16,4,0,-19,0,-31,0,-57,14,0
2020-04-10,-24,-37,64,-7,-62,-45,0,-68,0,-38,0,-52,-3,0
2020-04-11,-22,-44,21,-42,-40,-28,0,-55,0,-20,0,-38,-33,0
