date,EC
2020-02-15,3
2020-02-16,4
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,1
2020-02-21,0
2020-02-22,-5
2020-02-23,-4
2020-02-24,-33
2020-02-25,-30
2020-02-26,-2
2020-02-27,-3
2020-02-28,-3
2020-02-29,-1
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,0
2020-03-05,0
2020-03-06,-2
2020-03-07,0
2020-03-08,4
2020-03-09,-1
2020-03-10,0
2020-03-11,-1
2020-03-12,-2
2020-03-13,-9
2020-03-14,-13
2020-03-15,-20
2020-03-16,-20
2020-03-17,-65
2020-03-18,-79
2020-03-19,-81
2020-03-20,-82
2020-03-21,-83
2020-03-22,-80
2020-03-23,-83
2020-03-24,-82
2020-03-25,-85
2020-03-26,-84
2020-03-27,-84
2020-03-28,-83
2020-03-29,-80
2020-03-30,-82
2020-03-31,-82
2020-04-01,-81
2020-04-02,-82
2020-04-03,-81
2020-04-04,-79
2020-04-05,-78
2020-04-06,-81
2020-04-07,-81
2020-04-08,-80
2020-04-09,-79
2020-04-10,-81
2020-04-11,-87
