date,NE
2020-02-15,5
2020-02-16,5
2020-02-17,4
2020-02-18,6
2020-02-19,2
2020-02-20,4
2020-02-21,1
2020-02-22,2
2020-02-23,3
2020-02-24,2
2020-02-25,3
2020-02-26,3
2020-02-27,4
2020-02-28,-7
2020-02-29,-10
2020-03-01,-10
2020-03-02,-7
2020-03-03,4
2020-03-04,4
2020-03-05,3
2020-03-06,2
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,3
2020-03-11,0
2020-03-12,4
2020-03-13,2
2020-03-14,1
2020-03-15,1
2020-03-16,-1
2020-03-17,3
2020-03-18,4
2020-03-19,5
2020-03-20,2
2020-03-21,-4
2020-03-22,-8
2020-03-23,-4
2020-03-24,-3
2020-03-25,-5
2020-03-26,-7
2020-03-27,-7
2020-03-28,-16
2020-03-29,-15
2020-03-30,-15
2020-03-31,-17
2020-04-01,-17
2020-04-02,-14
2020-04-03,-17
2020-04-04,-17
2020-04-05,-15
2020-04-06,-10
2020-04-07,-11
2020-04-08,-11
2020-04-09,-9
2020-04-10,-20
2020-04-11,-14
