date,ID,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South East Sulawesi,South Kalimantan,South Sulawesi,South Sumatra,Special Region of Yogyakarta,West Java,West Kalimantan,West Nusa Tenggara,West Papua,West Sulawesi,West Sumatra
2020-02-15,-2,-2,6,-3,0,-2,-6,-1,-3,-1,0,2,0,3,-1,0,1,-13,-4,3,-7,2,-2,2,1,-3,0,-2,-3,-5,-2,2,2,-4,-2
2020-02-16,-3,3,6,-1,-8,-3,-2,-6,1,-1,-1,-1,-2,-10,-2,2,0,1,4,3,-1,-3,-3,1,-1,-3,-3,-1,2,-5,-7,-1,1,-5,-1
2020-02-17,-4,1,10,-8,-3,3,-2,-3,-4,-11,-4,-7,-3,-1,-8,-2,-12,-4,-2,2,-1,-7,-3,0,-7,-11,-7,-6,-2,-3,-5,-7,-3,-4,-4
2020-02-18,-2,-1,-12,-5,0,0,-4,3,-5,0,-2,-6,-4,1,-2,-5,1,-3,1,2,-6,-5,-3,-2,0,2,-6,-1,-1,-3,-3,-1,-6,1,1
2020-02-19,-4,-3,-10,-5,-6,3,-6,-6,-8,-1,-5,-7,-7,-3,-4,-7,-7,-5,3,-1,-3,-7,-3,-2,-5,-2,-6,-2,-7,-1,-6,-6,-3,1,1
2020-02-20,-1,2,-12,-2,-1,-3,-1,5,-7,1,1,-6,-4,-1,-1,2,3,1,3,1,-1,-6,-1,-1,-7,1,-4,-2,-4,2,-7,-6,-1,1,0
2020-02-21,-3,-1,-6,-3,1,7,0,1,-5,-9,-1,-15,-4,4,-1,5,2,-1,5,6,-4,-7,-3,-4,0,0,-1,-2,-10,1,-10,-5,-1,-2,-3
2020-02-22,0,-2,0,-7,0,1,-3,-1,-4,-1,-1,-1,-4,3,-3,2,-2,2,-1,0,-5,-3,-2,0,-4,-1,-1,-4,3,0,-6,0,-1,5,-3
2020-02-23,-1,-1,-3,-6,0,0,-1,-1,-5,0,-3,-4,-5,-4,-2,2,-4,-4,4,0,-3,-8,-4,-3,-2,-2,-2,-2,2,-3,-7,-2,-4,4,0
2020-02-24,-3,-2,2,-4,-5,-1,-3,-2,-5,-3,-4,-6,-3,-1,-3,1,-2,-8,-3,-1,-3,-9,-3,-6,-5,-4,-3,-5,-5,-5,-7,-3,0,4,-2
