date,GT
2020-02-15,4
2020-02-16,3
2020-02-17,-2
2020-02-18,-2
2020-02-19,0
2020-02-20,-1
2020-02-21,-4
2020-02-22,1
2020-02-23,1
2020-02-24,-5
2020-02-25,-5
2020-02-26,-2
2020-02-27,-1
2020-02-28,-3
2020-02-29,6
2020-03-01,5
2020-03-02,-3
2020-03-03,-2
2020-03-04,2
2020-03-05,0
2020-03-06,-2
2020-03-07,-1
2020-03-08,2
2020-03-09,-6
2020-03-10,-6
2020-03-11,-3
2020-03-12,-3
2020-03-13,-6
2020-03-14,-4
2020-03-15,-14
2020-03-16,-18
2020-03-17,-55
2020-03-18,-64
2020-03-19,-67
2020-03-20,-70
2020-03-21,-74
2020-03-22,-76
2020-03-23,-77
2020-03-24,-76
2020-03-25,-75
2020-03-26,-75
2020-03-27,-74
2020-03-28,-71
2020-03-29,-69
2020-03-30,-69
2020-03-31,-67
2020-04-01,-66
2020-04-02,-68
2020-04-03,-69
2020-04-04,-66
2020-04-05,-64
2020-04-06,-70
2020-04-07,-70
2020-04-08,-71
2020-04-09,-79
2020-04-10,-87
2020-04-11,-83
