date,BR,Federal District,State of Acre,State of Alagoas,State of Amapá,State of Amazonas,State of Bahia,State of Ceará,State of Espírito Santo,State of Goiás,State of Maranhão,State of Mato Grosso,State of Mato Grosso do Sul,State of Minas Gerais,State of Pará,State of Paraíba,State of Paraná,State of Pernambuco,State of Piauí,State of Rio de Janeiro,State of Rio Grande do Norte,State of Rio Grande do Sul,State of Rondônia,State of Roraima,State of Santa Catarina,State of São Paulo,State of Sergipe,State of Tocantins
2020-02-15,4,7,5,3,6,7,1,2,4,5,0,1,5,5,1,4,5,5,0,6,6,1,7,4,-1,5,1,0
2020-02-16,3,6,3,0,5,5,-1,2,-3,2,2,3,4,5,0,4,5,4,4,-2,3,1,6,4,-4,4,0,0
2020-02-17,0,4,2,1,5,1,-2,-4,0,-1,-3,-1,1,0,-3,-2,-2,3,-4,7,2,-1,2,-1,-6,-1,-1,-3
2020-02-18,-1,4,1,-1,1,0,-2,-3,-2,-2,4,-3,1,0,-3,-3,-3,3,-6,0,-1,0,-5,-3,-6,-3,-3,-6
2020-02-19,-2,0,-4,-1,1,-3,-4,-6,-2,-4,0,-3,-2,0,-4,-2,-2,2,-2,6,-8,2,-9,-2,-4,-4,-6,-8
2020-02-20,7,8,2,-5,-3,2,3,2,9,4,6,3,-1,10,-5,0,8,4,2,10,3,2,-3,-2,-1,10,2,-4
2020-02-21,10,15,7,12,12,4,5,10,14,9,10,3,8,14,4,9,8,18,3,14,10,8,3,3,4,9,7,2
2020-02-22,6,3,12,9,5,3,2,3,9,6,12,1,7,10,4,8,7,0,6,7,10,5,8,4,9,6,7,6
2020-02-23,7,-2,9,6,6,3,5,1,9,6,9,-1,5,14,2,3,8,9,-2,11,9,6,5,-1,13,6,1,1
2020-02-24,-7,-15,0,-15,3,0,-17,-22,-18,-8,-7,0,0,-10,-7,-20,0,-16,-23,-5,-48,-5,1,-12,0,-2,-24,-10
2020-02-25,-29,-27,-10,-30,-39,-22,-33,-29,-43,-24,-25,-25,-24,-29,-30,-39,-32,-35,-57,-38,-29,-35,-23,-25,-20,-23,-52,-26
2020-02-26,-11,-7,-9,-19,-10,-14,-15,-19,-12,-10,-16,-7,-9,-11,-17,-13,-7,-16,-24,-13,-18,2,-11,-16,-7,-10,-19,-11
2020-02-27,2,5,-2,-5,0,-4,-4,-6,-3,-1,-2,1,3,2,0,-1,4,0,-7,-5,-3,0,-5,0,-2,6,-2,-7
