date,PK
2020-02-15,2
2020-02-16,2
2020-02-17,3
2020-02-18,4
2020-02-19,4
2020-02-20,2
2020-02-21,3
2020-02-22,3
2020-02-23,3
2020-02-24,4
2020-02-25,5
2020-02-26,5
2020-02-27,2
2020-02-28,1
2020-02-29,2
2020-03-01,6
2020-03-02,2
2020-03-03,3
2020-03-04,3
2020-03-05,1
2020-03-06,-1
2020-03-07,2
2020-03-08,5
2020-03-09,2
2020-03-10,4
2020-03-11,3
2020-03-12,2
2020-03-13,3
2020-03-14,0
2020-03-15,4
2020-03-16,-7
2020-03-17,-8
2020-03-18,-12
2020-03-19,-16
2020-03-20,-19
2020-03-21,-18
2020-03-22,-21
2020-03-23,-68
2020-03-24,-58
2020-03-25,-62
2020-03-26,-63
2020-03-27,-64
2020-03-28,-59
2020-03-29,-41
2020-03-30,-62
2020-03-31,-62
2020-04-01,-60
2020-04-02,-59
2020-04-03,-60
2020-04-04,-52
2020-04-05,-34
2020-04-06,-53
2020-04-07,-54
2020-04-08,-55
2020-04-09,-57
2020-04-10,-55
2020-04-11,-48
