date,IT,Abruzzo,Aosta,Apulia,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardy,Marche,Molise,Piedmont,Sardinia,Sicily,Trentino-South Tyrol,Tuscany,Umbria,Veneto
2020-02-15,0,0,2,-1,-1,1,0,1,1,1,1,-2,1,2,0,0,-2,0,1,-2,1
2020-02-16,1,-1,1,-1,1,-1,1,0,1,1,-1,0,0,3,1,0,-1,1,1,1,2
2020-02-17,1,1,1,1,1,1,1,4,0,2,-2,0,1,1,0,0,1,1,1,1,1
2020-02-18,1,2,3,1,0,1,2,1,2,1,0,1,1,3,0,1,2,1,1,1,1
2020-02-19,1,1,2,1,2,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1
2020-02-20,1,1,0,-1,1,-1,1,1,1,1,-1,0,1,1,0,1,-1,-1,0,0,1
2020-02-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2,-2,0,1,0
2020-02-22,0,0,2,-2,-2,1,0,1,0,2,1,-1,1,0,-3,0,-3,-4,1,1,1
2020-02-23,1,3,2,0,5,5,3,0,1,2,-3,-2,2,3,1,3,1,0,0,1,-1
2020-02-24,-14,-10,-18,-15,-19,-5,-16,-13,-18,-3,-16,-22,-1,-7,-21,-12,-12,-19,0,1,-18
2020-02-25,-15,-15,-18,-15,-19,-12,-20,-15,-18,-3,-16,-23,-4,-11,-21,-17,-12,-23,-1,1,-19
2020-02-26,-12,-3,-17,-5,-3,-6,-11,-15,-18,0,-16,-23,-12,-5,-19,-4,-12,-17,-2,0,-17
2020-02-27,-12,0,-14,-4,-2,-4,-16,-15,-14,1,-16,-23,-11,0,-18,0,-8,-18,-1,0,-15
2020-02-28,-12,-1,-13,-3,-2,-5,-16,-15,-14,1,-14,-24,-11,0,-17,0,-8,-17,0,1,-15
2020-02-29,-9,0,-1,-2,1,0,-10,-16,-12,1,-3,-20,-13,2,-7,0,-4,-7,1,1,-16
2020-03-01,-5,-2,-2,-3,0,-1,-2,-8,-9,-3,-9,-14,-4,0,-3,-1,-2,-4,-4,-4,-10
2020-03-02,-9,1,-1,0,1,0,-3,-10,-13,1,-18,-20,-2,1,-15,-1,-5,0,0,1,-13
2020-03-03,-8,1,0,-1,0,-4,-2,-13,-13,0,-12,-19,-2,1,-14,0,0,0,0,2,-13
2020-03-04,-8,0,-1,0,2,-2,-1,-13,-13,1,-12,-19,-12,0,-13,1,-2,0,0,2,-12
2020-03-05,-16,-15,-15,-16,-17,-19,-16,-14,-13,-15,-15,-21,-13,-16,-15,-15,-18,-14,-13,-13,-13
2020-03-06,-17,-16,-14,-17,-19,-21,-18,-15,-14,-16,-14,-22,-14,-18,-15,-16,-18,-13,-14,-13,-13
2020-03-07,-15,-17,-6,-18,-23,-21,-14,-18,-13,-8,-3,-19,-18,-18,-8,-19,-15,-8,-14,-14,-16
2020-03-08,-10,-9,-5,-11,-11,-10,-8,-13,-5,-8,-7,-19,-12,-10,-8,-6,-10,-8,-8,-7,-11
2020-03-09,-24,-22,-21,-23,-25,-27,-25,-20,-16,-25,-22,-31,-20,-24,-24,-24,-25,-18,-19,-18,-19
2020-03-10,-31,-31,-28,-31,-32,-35,-34,-27,-21,-36,-29,-38,-26,-30,-30,-30,-32,-25,-27,-25,-23
