date,HU,Bács-Kiskun,Baranya,Békés County,Borsod-Abaúj-Zemplén,Budapest,Csongrád,Fejér,Gyor-Moson-Sopron,Hajdú-Bihar,Heves County,Jász-Nagykun-Szolnok,Komárom-Esztergom,Nógrád County,Pest County,Somogy County,Szabolcs-Szatmár-Bereg,Tolna County,Vas County,Veszprém,Zala County
2020-02-15,-2,-2,-2,-2,-3,-2,-1,-2,-2,-2,-1,-1,-2,0,-2,-3,-2,-2,-2,-2,-3
2020-02-16,-2,-2,-2,-2,-2,-3,-2,-2,-2,-3,-2,-2,-2,0,-2,-3,-2,0,-2,-2,-3
2020-02-17,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,-1
2020-02-18,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,-1,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,0,-1
2020-02-20,0,-1,-1,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0
2020-02-21,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1
2020-02-22,-1,-1,-2,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,0,-1,-2,-1,-2,-1,-1,-2
2020-02-23,-2,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,0,-1,-2,-1,0,-2,-2,-2
2020-02-24,0,1,1,0,0,0,0,0,-1,-1,1,0,1,0,0,0,1,1,0,1,0
2020-02-25,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,0,0,1,0,-1
2020-02-26,1,1,2,1,1,0,1,1,0,0,1,2,1,1,1,1,0,1,2,2,2
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,1,0
2020-02-28,1,1,1,2,1,0,1,1,1,1,1,1,2,0,1,0,1,1,1,2,0
2020-02-29,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0
2020-03-01,-1,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1
2020-03-02,0,0,0,0,1,0,0,0,-1,0,1,0,1,0,0,0,1,1,0,1,0
2020-03-03,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,1
2020-03-04,0,1,0,1,1,0,1,0,-1,1,1,1,0,1,0,0,1,0,0,0,0
2020-03-05,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1
2020-03-06,1,1,1,0,0,1,1,1,1,-1,1,0,1,1,1,0,-1,1,1,1,0
2020-03-07,-1,-1,-1,-1,-2,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-2,-1,-1,-2,-1,-2
2020-03-08,-2,-3,-2,-3,-2,-3,-3,-3,-2,-3,-2,-3,-2,0,-2,-3,-3,0,-3,-3,-3
2020-03-09,0,-1,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0
2020-03-10,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
2020-03-11,0,0,-1,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,-1
2020-03-12,0,-1,-1,-1,0,2,0,0,-1,0,0,0,-1,-1,1,-1,-1,-1,0,0,-1
2020-03-13,3,1,2,1,1,5,2,2,2,2,2,1,3,1,3,1,1,1,3,2,2
2020-03-14,2,1,1,1,0,3,2,1,2,1,1,0,1,0,3,0,1,1,2,1,1
2020-03-15,3,3,3,2,3,4,4,2,3,3,2,3,3,0,4,2,3,0,0,2,2
2020-03-16,9,7,7,6,7,13,8,8,8,8,7,6,7,6,11,6,7,7,8,7,7
2020-03-17,13,9,11,9,10,18,12,12,13,12,9,9,10,8,15,9,10,9,13,10,10
2020-03-18,15,11,13,10,11,20,14,13,14,14,10,10,12,11,17,10,11,10,14,11,12
2020-03-19,16,12,14,12,13,22,15,15,16,15,12,11,13,11,19,12,13,13,15,14,13
2020-03-20,17,14,16,13,14,23,17,16,18,16,14,12,14,14,19,14,14,15,17,15,15
2020-03-21,12,10,10,9,10,14,11,11,14,11,10,9,10,0,12,9,10,0,14,12,11
2020-03-22,10,9,10,8,8,13,10,9,11,10,0,8,9,0,10,0,8,0,0,10,0
2020-03-23,21,18,20,16,18,27,20,21,21,20,18,16,18,17,23,17,17,18,19,19,19
2020-03-24,22,19,23,17,17,27,21,21,22,19,18,17,18,16,23,19,17,20,21,19,20
2020-03-25,22,19,23,17,18,28,22,22,23,19,18,17,19,17,24,19,17,19,21,20,20
2020-03-26,22,17,21,17,18,28,20,22,23,20,18,17,19,17,24,18,17,20,22,20,20
2020-03-27,19,16,19,14,15,24,19,19,21,17,16,14,17,15,21,16,15,18,19,18,17
2020-03-28,13,12,12,11,10,15,13,13,14,12,12,11,12,0,13,10,10,0,13,13,11
2020-03-29,10,9,9,7,8,12,10,9,11,9,0,8,9,0,10,0,7,0,0,9,0
2020-03-30,22,18,20,17,18,28,20,22,22,20,19,17,20,18,24,17,18,18,21,20,20
2020-03-31,21,17,19,17,17,27,20,21,22,19,18,16,18,17,23,16,17,17,21,18,18
2020-04-01,21,17,19,16,17,27,20,21,22,19,17,16,19,16,23,15,15,16,20,18,17
2020-04-02,21,17,19,16,17,27,20,21,22,19,17,16,19,16,23,16,16,18,20,19,18
2020-04-03,21,17,19,16,16,27,20,20,23,19,17,15,19,17,23,16,16,17,20,19,18
2020-04-04,11,10,10,8,8,13,11,10,13,9,10,9,10,0,11,8,8,0,11,10,9
2020-04-05,8,7,7,6,6,11,8,7,9,7,0,6,7,0,8,0,6,0,0,7,0
2020-04-06,19,15,17,14,15,26,18,19,19,16,16,14,17,14,21,14,14,15,17,17,16
2020-04-07,19,15,17,14,14,25,17,19,19,16,15,14,16,14,21,13,14,14,18,16,15
2020-04-08,17,14,16,12,13,24,17,17,18,15,14,13,15,13,20,12,12,12,16,15,14
2020-04-09,17,13,14,11,12,23,15,16,18,14,13,12,15,12,19,11,12,13,16,15,13
2020-04-10,32,29,30,27,28,36,32,33,34,30,30,28,32,0,35,28,28,0,32,32,30
2020-04-11,11,10,10,7,7,13,11,11,12,9,9,8,10,0,11,8,9,0,12,11,10
