date,SN
2020-02-15,3
2020-02-16,3
2020-02-17,-1
2020-02-18,1
2020-02-19,-3
2020-02-20,-2
2020-02-21,-5
2020-02-22,-3
2020-02-23,-4
2020-02-24,-7
2020-02-25,-11
2020-02-26,-8
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,-2
2020-03-03,2
2020-03-04,-2
2020-03-05,0
2020-03-06,0
2020-03-07,-1
2020-03-08,0
2020-03-09,-4
2020-03-10,-1
2020-03-11,-3
2020-03-12,-1
2020-03-13,-4
2020-03-14,-3
2020-03-15,-8
2020-03-16,-8
2020-03-17,-8
2020-03-18,-9
2020-03-19,-9
2020-03-20,-13
2020-03-21,-20
2020-03-22,-23
2020-03-23,-19
2020-03-24,-23
2020-03-25,-25
2020-03-26,-23
2020-03-27,-26
2020-03-28,-29
2020-03-29,-28
2020-03-30,-22
2020-03-31,-23
2020-04-01,-25
2020-04-02,-24
2020-04-03,-25
2020-04-04,-29
2020-04-05,-27
2020-04-06,-24
2020-04-07,-24
2020-04-08,-28
2020-04-09,-26
2020-04-10,-28
2020-04-11,-31
