date,KE,Baringo County,Bomet County,Bungoma County,Busia County,Embu County,Garissa County,Homa Bay County,Kajiado County,Kakamega County,Kericho County,Kiambu County,Kilifi County,Kirinyaga County,Kisii County,Kisumu County,Kitui County,Kwale County,Laikipia County,Machakos County,Makueni County,Meru County,Migori County,Mombasa County,Muranga County,Nairobi County,Nakuru County,Nandi County,Narok County,Nyandarua County,Nyeri County,Siaya,Taita-Taveta County,Tharaka-Nithi County,Trans-Nzoia County,Turkana County,Uasin Gishu County,Vihiga County,Wajir County
2020-02-15,2,NA,5,3,-9,12,0,-4,-2,3,10,7,3,6,-1,-1,8,-4,3,6,7,9,0,-2,17,1,9,-2,12,NA,9,4,12,11,-2,-18,5,0,NA
2020-02-16,0,NA,8,8,-6,-1,0,0,-3,-2,7,8,7,0,-8,1,-11,-4,-5,-1,6,5,-3,-2,15,0,5,0,0,NA,6,2,NA,-3,11,6,3,0,NA
2020-02-17,5,0,18,18,0,4,0,0,-1,4,8,8,10,5,0,4,5,-2,5,-2,11,10,0,4,15,4,9,11,4,0,4,4,0,-15,-2,-2,10,0,NA
2020-02-18,3,0,2,4,0,0,0,-9,-1,7,7,6,11,5,-5,5,-5,-8,5,-1,4,6,0,5,8,3,4,15,6,0,3,-3,2,-7,4,-3,7,0,NA
2020-02-19,0,0,-5,3,10,0,0,-7,-5,-5,7,2,7,2,-1,2,9,-8,5,-2,3,0,0,0,0,0,4,5,-3,0,1,23,2,-35,-4,-8,3,0,NA
2020-02-20,2,0,4,2,12,-2,0,0,-5,-1,15,4,6,4,0,3,8,-5,4,4,3,5,1,2,7,2,4,14,5,0,3,-8,-2,-24,6,12,7,0,-100
2020-02-21,4,NA,2,13,13,-2,0,1,-1,-1,8,5,5,6,-1,5,3,-6,5,-6,-10,5,9,0,2,6,4,12,28,0,0,4,-14,-17,-2,-3,6,0,NA
2020-02-22,3,NA,-11,5,-5,6,0,0,0,6,9,6,5,10,0,-1,2,-14,6,3,-4,6,-5,-1,16,3,3,-5,25,NA,5,15,6,-12,-4,0,5,0,NA
2020-02-23,3,NA,6,16,-12,6,0,0,2,1,22,8,6,6,-7,2,0,-9,3,4,13,5,-15,-2,21,4,7,16,16,NA,3,10,NA,-3,7,6,6,0,NA
2020-02-24,2,0,-23,10,-4,10,0,-14,-5,7,4,3,0,4,-28,-3,12,-18,1,-10,13,8,0,-2,18,3,6,-7,7,0,2,2,-12,-13,-5,-8,7,0,NA
2020-02-25,1,0,-2,1,-8,-1,0,-11,-5,4,-5,1,0,-5,-11,-2,5,-16,-1,-7,1,5,0,-1,4,2,2,-13,13,0,-4,5,-7,-12,0,0,1,0,NA
2020-02-26,0,0,-2,10,-10,-7,0,-9,-8,4,5,-1,-1,-11,-3,-4,7,-14,-4,-7,-9,-3,0,-1,-3,2,3,-11,1,0,-4,2,0,-32,0,-23,1,0,NA
2020-02-27,2,0,0,0,-10,-5,0,0,-5,-4,8,0,3,2,-4,-13,10,-10,-6,-5,-7,-3,-19,0,5,5,2,16,2,0,-2,-10,-7,-42,4,0,3,0,NA
2020-02-28,4,NA,-5,2,-8,0,0,-2,1,-3,6,4,4,7,-9,-8,0,-9,-16,0,-4,-2,-6,0,9,7,6,-3,19,0,-1,0,-8,-33,-2,3,6,0,NA
2020-02-29,5,NA,-10,10,-13,2,0,0,3,1,13,7,1,8,-6,-10,3,-12,-6,0,6,19,0,0,25,6,8,0,9,NA,8,9,6,-14,1,3,9,0,NA
2020-03-01,3,NA,-8,15,-20,2,0,-4,3,3,19,6,4,8,-6,-13,-12,-14,-26,-7,12,5,-2,0,20,5,5,14,18,NA,-1,-2,-21,27,19,14,5,0,NA
2020-03-02,1,0,-4,25,0,1,0,-9,-3,-1,9,-3,1,-7,-11,-15,-9,-25,-17,-14,11,-5,0,-1,7,3,5,-13,4,0,-7,-4,0,-3,-4,-2,5,0,NA
2020-03-03,3,0,0,12,-8,4,0,-20,1,7,2,4,5,2,-4,-9,-2,-12,-16,-28,1,4,0,1,5,7,3,16,-8,0,0,-5,-7,15,1,-10,9,0,NA
2020-03-04,2,0,-4,13,-12,-2,0,-16,0,1,1,1,-4,-2,2,-12,21,-16,-13,-34,0,2,0,0,3,6,6,0,-18,0,2,19,-7,-18,2,-5,7,0,NA
2020-03-05,5,0,11,15,2,4,0,0,3,6,14,5,4,-1,0,-8,7,-11,-13,-30,-5,5,13,3,10,9,7,17,-15,0,3,10,0,-5,12,2,8,0,NA
2020-03-06,6,NA,-8,21,-4,6,0,-16,7,10,24,9,5,11,-6,-8,9,-16,-15,-31,0,4,17,0,11,9,9,18,-7,0,5,11,2,-6,8,-5,15,0,NA
2020-03-07,6,NA,8,17,-9,2,0,-2,11,9,23,8,4,6,-4,-8,9,-12,-4,-24,9,9,0,2,31,7,9,0,-8,NA,14,13,8,1,11,-5,12,0,NA
2020-03-08,6,NA,23,29,-10,0,0,2,9,2,33,9,0,16,-12,-8,0,-13,-11,-23,17,9,8,1,25,9,5,25,-5,NA,4,0,-12,34,16,2,11,0,NA
2020-03-09,3,0,-6,28,-4,10,0,-8,2,4,8,1,-2,1,-6,-10,10,-7,-5,-36,14,11,0,4,14,4,3,4,-11,0,1,23,0,1,5,-15,9,0,NA
2020-03-10,3,0,4,11,0,10,0,4,1,4,7,4,-1,9,-16,-8,14,-15,-3,-33,7,12,0,2,14,5,3,16,0,0,4,12,-9,15,9,-3,9,0,NA
