date,QA
2020-02-15,5
2020-02-16,3
2020-02-17,4
2020-02-18,4
2020-02-19,4
2020-02-20,3
2020-02-21,2
2020-02-22,5
2020-02-23,5
2020-02-24,5
2020-02-25,4
2020-02-26,4
2020-02-27,4
2020-02-28,4
2020-02-29,6
2020-03-01,4
2020-03-02,5
2020-03-03,5
2020-03-04,5
2020-03-05,5
2020-03-06,4
2020-03-07,7
2020-03-08,6
2020-03-09,6
2020-03-10,2
2020-03-11,2
2020-03-12,0
2020-03-13,-4
2020-03-14,0
2020-03-15,-5
2020-03-16,-8
2020-03-17,-15
2020-03-18,-20
2020-03-19,-22
2020-03-20,-24
2020-03-21,-18
2020-03-22,-26
2020-03-23,-27
2020-03-24,-29
2020-03-25,-29
2020-03-26,-30
2020-03-27,-32
2020-03-28,-25
2020-03-29,-31
2020-03-30,-31
2020-03-31,-32
2020-04-01,-33
2020-04-02,-35
2020-04-03,-36
2020-04-04,-29
2020-04-05,-36
2020-04-06,-36
2020-04-07,-37
2020-04-08,-37
2020-04-09,-37
2020-04-10,-40
2020-04-11,-39
